model,seed,rho_target,leak,input_scale,d_max,ipc_kset,capture_pct_vs_ref
real,0,0.95,0.8,1.0,30,4.9928460121154785,100.0
real,0,0.95,0.8,1.0,50,4.9928460121154785,100.0
real,0,0.95,0.8,1.0,80,4.9928460121154785,100.0
shuffle_weights,0,0.95,0.8,1.0,30,6.828412413597107,100.0
shuffle_weights,0,0.95,0.8,1.0,50,6.828412413597107,100.0
shuffle_weights,0,0.95,0.8,1.0,80,6.828412413597107,100.0
cel_randN,0,0.95,0.8,1.0,30,10.336722671985626,100.0
cel_randN,0,0.95,0.8,1.0,50,10.336722671985626,100.0
cel_randN,0,0.95,0.8,1.0,80,10.336722671985626,100.0
er_randN,0,0.95,0.8,1.0,30,13.065275073051453,100.0
er_randN,0,0.95,0.8,1.0,50,13.065275073051453,100.0
er_randN,0,0.95,0.8,1.0,80,13.065275073051453,100.0
ws_p01_randN,0,0.95,0.8,1.0,30,12.971140265464783,100.0
ws_p01_randN,0,0.95,0.8,1.0,50,12.971140265464783,100.0
ws_p01_randN,0,0.95,0.8,1.0,80,12.971140265464783,100.0
conn_shuf,0,0.95,0.8,1.0,30,5.910445749759674,100.0
conn_shuf,0,0.95,0.8,1.0,50,5.910445749759674,100.0
conn_shuf,0,0.95,0.8,1.0,80,5.910445749759674,100.0
local_sign,0,0.95,0.8,1.0,30,5.949504137039185,100.0
local_sign,0,0.95,0.8,1.0,50,5.949504137039185,100.0
local_sign,0,0.95,0.8,1.0,80,5.949504137039185,100.0
conn_shuf_only,0,0.95,0.8,1.0,30,6.408910095691681,100.0
conn_shuf_only,0,0.95,0.8,1.0,50,6.408910095691681,100.0
conn_shuf_only,0,0.95,0.8,1.0,80,6.408910095691681,100.0
cel_sample,0,0.95,0.8,1.0,30,3.6921653747558594,100.0
cel_sample,0,0.95,0.8,1.0,50,3.6921653747558594,100.0
cel_sample,0,0.95,0.8,1.0,80,3.6921653747558594,100.0
local_sign+flat,0,0.95,0.8,1.0,30,6.953496754169464,100.0
local_sign+flat,0,0.95,0.8,1.0,50,6.953496754169464,100.0
local_sign+flat,0,0.95,0.8,1.0,80,6.953496754169464,100.0
local_sign+sample,0,0.95,0.8,1.0,30,3.7486140727996826,100.0
local_sign+sample,0,0.95,0.8,1.0,50,3.7486140727996826,100.0
local_sign+sample,0,0.95,0.8,1.0,80,3.7486140727996826,100.0
local_sign+binary,0,0.95,0.8,1.0,30,5.084333062171936,100.0
local_sign+binary,0,0.95,0.8,1.0,50,5.084333062171936,100.0
local_sign+binary,0,0.95,0.8,1.0,80,5.084333062171936,100.0
global_sign_pres,0,0.95,0.8,1.0,30,6.407496154308319,100.0
global_sign_pres,0,0.95,0.8,1.0,50,6.407496154308319,100.0
global_sign_pres,0,0.95,0.8,1.0,80,6.407496154308319,100.0
binary+shuffle,0,0.95,0.8,1.0,30,6.105836868286133,100.0
binary+shuffle,0,0.95,0.8,1.0,50,6.105836868286133,100.0
binary+shuffle,0,0.95,0.8,1.0,80,6.105836868286133,100.0
real,1,0.95,0.8,1.0,30,6.470699310302734,100.0
real,1,0.95,0.8,1.0,50,6.470699310302734,100.0
real,1,0.95,0.8,1.0,80,6.470699310302734,100.0
shuffle_weights,1,0.95,0.8,1.0,30,5.072490036487579,100.0
shuffle_weights,1,0.95,0.8,1.0,50,5.072490036487579,100.0
shuffle_weights,1,0.95,0.8,1.0,80,5.072490036487579,100.0
cel_randN,1,0.95,0.8,1.0,30,11.812167823314667,100.0
cel_randN,1,0.95,0.8,1.0,50,11.812167823314667,100.0
cel_randN,1,0.95,0.8,1.0,80,11.812167823314667,100.0
er_randN,1,0.95,0.8,1.0,30,13.137102544307709,100.0
er_randN,1,0.95,0.8,1.0,50,13.137102544307709,100.0
er_randN,1,0.95,0.8,1.0,80,13.137102544307709,100.0
ws_p01_randN,1,0.95,0.8,1.0,30,13.666016161441803,100.0
ws_p01_randN,1,0.95,0.8,1.0,50,13.666016161441803,100.0
ws_p01_randN,1,0.95,0.8,1.0,80,13.666016161441803,100.0
conn_shuf,1,0.95,0.8,1.0,30,5.429193437099457,100.0
conn_shuf,1,0.95,0.8,1.0,50,5.429193437099457,100.0
conn_shuf,1,0.95,0.8,1.0,80,5.429193437099457,100.0
local_sign,1,0.95,0.8,1.0,30,6.01406466960907,100.0
local_sign,1,0.95,0.8,1.0,50,6.01406466960907,100.0
local_sign,1,0.95,0.8,1.0,80,6.01406466960907,100.0
conn_shuf_only,1,0.95,0.8,1.0,30,5.874570369720459,100.0
conn_shuf_only,1,0.95,0.8,1.0,50,5.874570369720459,100.0
conn_shuf_only,1,0.95,0.8,1.0,80,5.874570369720459,100.0
cel_sample,1,0.95,0.8,1.0,30,5.262440025806427,100.0
cel_sample,1,0.95,0.8,1.0,50,5.262440025806427,100.0
cel_sample,1,0.95,0.8,1.0,80,5.262440025806427,100.0
local_sign+flat,1,0.95,0.8,1.0,30,7.378118097782135,100.0
local_sign+flat,1,0.95,0.8,1.0,50,7.378118097782135,100.0
local_sign+flat,1,0.95,0.8,1.0,80,7.378118097782135,100.0
local_sign+sample,1,0.95,0.8,1.0,30,5.65636420249939,100.0
local_sign+sample,1,0.95,0.8,1.0,50,5.65636420249939,100.0
local_sign+sample,1,0.95,0.8,1.0,80,5.65636420249939,100.0
local_sign+binary,1,0.95,0.8,1.0,30,3.062192916870117,100.0
local_sign+binary,1,0.95,0.8,1.0,50,3.062192916870117,100.0
local_sign+binary,1,0.95,0.8,1.0,80,3.062192916870117,100.0
global_sign_pres,1,0.95,0.8,1.0,30,5.323621928691864,100.0
global_sign_pres,1,0.95,0.8,1.0,50,5.323621928691864,100.0
global_sign_pres,1,0.95,0.8,1.0,80,5.323621928691864,100.0
binary+shuffle,1,0.95,0.8,1.0,30,5.03364372253418,100.0
binary+shuffle,1,0.95,0.8,1.0,50,5.03364372253418,100.0
binary+shuffle,1,0.95,0.8,1.0,80,5.03364372253418,100.0
real,2,0.95,0.8,1.0,30,3.5273905992507935,100.0
real,2,0.95,0.8,1.0,50,3.5273905992507935,100.0
real,2,0.95,0.8,1.0,80,3.5273905992507935,100.0
shuffle_weights,2,0.95,0.8,1.0,30,3.5726882815361023,100.0
shuffle_weights,2,0.95,0.8,1.0,50,3.5726882815361023,100.0
shuffle_weights,2,0.95,0.8,1.0,80,3.5726882815361023,100.0
cel_randN,2,0.95,0.8,1.0,30,10.125560343265533,100.0
cel_randN,2,0.95,0.8,1.0,50,10.125560343265533,100.0
cel_randN,2,0.95,0.8,1.0,80,10.125560343265533,100.0
er_randN,2,0.95,0.8,1.0,30,12.33704149723053,100.0
er_randN,2,0.95,0.8,1.0,50,12.33704149723053,100.0
er_randN,2,0.95,0.8,1.0,80,12.33704149723053,100.0
ws_p01_randN,2,0.95,0.8,1.0,30,11.72131061553955,100.0
ws_p01_randN,2,0.95,0.8,1.0,50,11.72131061553955,100.0
ws_p01_randN,2,0.95,0.8,1.0,80,11.72131061553955,100.0
conn_shuf,2,0.95,0.8,1.0,30,3.8010124564170837,100.0
conn_shuf,2,0.95,0.8,1.0,50,3.8010124564170837,100.0
