mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR
shuffle,0,0.6,0.6,0.1,3.510571002960205,4.075851917266846,2.242919921875,2.3181862831115723
shuffle,0,0.6,0.6,0.5,2.439439535140991,3.998868942260742,2.4964566230773926,3.3009376525878906
shuffle,0,0.6,0.6,1.0,1.9720051288604736,3.075248956680298,3.596684694290161,6.408141136169434
shuffle,0,0.6,0.6,1.5,1.537954330444336,1.7567698955535889,3.4486966133117676,6.811403751373291
shuffle,0,0.6,0.8,0.1,4.297163963317871,5.862517833709717,2.329350709915161,2.4265737533569336
shuffle,0,0.6,0.8,0.5,4.495001316070557,6.681239604949951,2.8669652938842773,4.0765228271484375
shuffle,0,0.6,0.8,1.0,1.9921948909759521,3.3817269802093506,3.654438018798828,6.843704700469971
shuffle,0,0.6,0.8,1.5,2.780651807785034,4.967659950256348,4.284597396850586,9.02841854095459
shuffle,0,0.6,1.0,0.1,5.629857063293457,6.510946273803711,2.6969478130340576,2.821397304534912
shuffle,0,0.6,1.0,0.5,4.787649631500244,6.922542572021484,3.4926722049713135,5.16594123840332
shuffle,0,0.6,1.0,1.0,3.690868377685547,4.413178443908691,4.71380090713501,9.233484268188477
shuffle,0,0.6,1.0,1.5,2.7193641662597656,3.705221176147461,5.179332733154297,11.596887588500977
shuffle,0,0.8,0.6,0.1,3.8367295265197754,4.7735514640808105,3.0228474140167236,3.163827657699585
shuffle,0,0.8,0.6,0.5,1.4088633060455322,2.4277427196502686,4.502594947814941,7.161126613616943
shuffle,0,0.8,0.6,1.0,1.507875919342041,2.4618494510650635,4.360186576843262,8.214391708374023
shuffle,0,0.8,0.6,1.5,1.8856847286224365,2.138416290283203,5.012119293212891,11.046329498291016
shuffle,0,0.8,0.8,0.1,4.544482231140137,5.9435834884643555,3.0957963466644287,3.273404121398926
shuffle,0,0.8,0.8,0.5,4.173876762390137,5.287222385406494,4.264636039733887,6.4982008934021
shuffle,0,0.8,0.8,1.0,2.1281440258026123,3.066622257232666,5.3003926277160645,11.045987129211426
shuffle,0,0.8,0.8,1.5,2.8811612129211426,3.8605246543884277,5.795004844665527,13.341655731201172
shuffle,0,0.8,1.0,0.1,6.921621322631836,6.918046951293945,3.9293618202209473,4.193873882293701
