mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,seed,src
binary+shuffle,350,0.6,0.6,0.1,3.8701772689819336,4.285629391670227,1.6390801668167114,1.6822304725646973,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,0.6,0.5,3.572965621948242,5.4730184674263,1.9126914739608765,2.463535785675049,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,0.6,1.0,2.875351905822754,3.754333019256592,2.1867072582244873,3.374480962753296,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,0.6,1.5,2.456779718399048,3.650855302810669,2.341765880584717,3.996232032775879,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,0.8,0.1,4.257084369659424,4.749703049659729,1.7302582263946533,1.7765530347824097,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,0.8,0.5,3.3226993083953857,4.653572201728821,2.0494112968444824,2.6784708499908447,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,0.8,1.0,2.5791208744049072,4.0171433091163635,2.3688502311706543,3.7548890113830566,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,0.8,1.5,1.1899693012237549,1.6293824911117554,2.545706272125244,4.492926120758057,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,1.0,0.1,4.933891296386719,5.637259602546692,1.8585479259490967,1.9123766422271729,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,1.0,0.5,3.8741345405578613,4.789491772651672,2.2412109375,2.9887735843658447,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
binary+shuffle,350,0.6,1.0,1.0,4.202223777770996,6.550741910934448,2.623006582260132,4.299908638000488,0.0013939599739387631,0.04729728400707245,35050345,chunk_14
