mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR
shuffle,0,0.6,0.6,0.1,4.460289001464844,5.940612316131592,2.385105848312378,2.488405227661133
shuffle,0,0.6,0.6,0.5,2.8440887928009033,4.072994232177734,2.8008315563201904,3.8826918601989746
shuffle,0,0.6,0.6,1.0,2.705686092376709,3.880166530609131,3.344970464706421,5.9946208000183105
shuffle,0,0.6,0.6,1.5,1.8816673755645752,2.675583600997925,3.6615631580352783,7.3748321533203125
shuffle,0,0.6,0.8,0.1,4.39398193359375,5.626842975616455,2.4682631492614746,2.586660146713257
shuffle,0,0.6,0.8,0.5,3.5278337001800537,5.0395188331604,3.088132381439209,4.342019081115723
shuffle,0,0.6,0.8,1.0,2.8034684658050537,3.770702600479126,3.711956024169922,6.6990861892700195
shuffle,0,0.6,0.8,1.5,3.1050167083740234,4.000615119934082,3.9914755821228027,8.249673843383789
shuffle,0,0.6,1.0,0.1,6.204936981201172,7.184952735900879,2.6930391788482666,2.818861961364746
shuffle,0,0.6,1.0,0.5,4.60883903503418,5.431888580322266,3.7711970806121826,5.890927314758301
shuffle,0,0.6,1.0,1.0,3.1895482540130615,5.071469783782959,4.891409873962402,9.902032852172852
shuffle,0,0.6,1.0,1.5,3.0846025943756104,3.082956314086914,5.088665962219238,11.40897274017334
shuffle,0,0.8,0.6,0.1,2.8649489879608154,3.275747299194336,3.006530284881592,3.1765291690826416
shuffle,0,0.8,0.6,0.5,2.7466893196105957,3.756174325942993,4.093973159790039,5.983553409576416
shuffle,0,0.8,0.6,1.0,1.2558753490447998,1.7830121517181396,4.853127479553223,9.829996109008789
shuffle,0,0.8,0.6,1.5,1.8622477054595947,2.725764274597168,5.157478332519531,10.96904468536377
shuffle,0,0.8,0.8,0.1,6.852479934692383,7.698138236999512,3.3875927925109863,3.562372922897339
shuffle,0,0.8,0.8,0.5,3.908393621444702,5.389638900756836,4.640582084655762,7.398148536682129
shuffle,0,0.8,0.8,1.0,1.9170634746551514,1.920328974723816,5.391083717346191,10.832152366638184
shuffle,0,0.8,0.8,1.5,1.8021305799484253,2.7593514919281006,5.877749919891357,13.50900936126709
shuffle,0,0.8,1.0,0.1,7.295126914978027,10.183551788330078,4.171779155731201,4.592659950256348
shuffle,0,0.8,1.0,0.5,5.620089054107666,7.521394729614258,5.110334873199463,8.205760955810547
shuffle,0,0.8,1.0,1.0,3.8081140518188477,5.6559739112854,7.676798343658447,16.535404205322266
shuffle,0,0.8,1.0,1.5,3.828545093536377,5.890091896057129,8.932812690734863,23.094562530517578
shuffle,0,0.95,0.6,0.1,4.343379020690918,4.650871276855469,4.338489532470703,4.570383548736572
shuffle,0,0.95,0.6,0.5,2.0204527378082275,2.8569226264953613,4.7749481201171875,7.49658203125
shuffle,0,0.95,0.6,1.0,2.000941038131714,2.0437629222869873,6.289797306060791,12.952871322631836
shuffle,0,0.95,0.6,1.5,0.9457115530967712,0.910667359828949,7.092586994171143,16.8739070892334
shuffle,0,0.95,0.8,0.1,4.676079750061035,4.617131233215332,4.816996097564697,5.110107421875
shuffle,0,0.95,0.8,0.5,2.963150978088379,4.205609321594238,6.746271133422852,11.256625175476074
shuffle,0,0.95,0.8,1.0,2.843625783920288,3.610074996948242,6.942348957061768,14.859216690063477
shuffle,0,0.95,0.8,1.5,2.565277099609375,3.5457024574279785,7.6703104972839355,18.494516372680664
shuffle,0,0.95,1.0,0.1,6.484531402587891,6.888720989227295,4.700565338134766,5.020785808563232
shuffle,0,0.95,1.0,0.5,5.3842926025390625,7.133790016174316,7.610105991363525,13.155067443847656
shuffle,0,0.95,1.0,1.0,4.825007438659668,7.045312881469727,10.494762420654297,25.00237274169922
shuffle,0,0.95,1.0,1.5,3.9875450134277344,6.0138044357299805,12.484319686889648,32.68178176879883
shuffle,0,1.05,0.6,0.1,2.813537836074829,4.192955017089844,4.045938491821289,4.935847759246826
shuffle,0,1.05,0.6,0.5,2.6611220836639404,2.6626482009887695,8.501545906066895,13.099762916564941
shuffle,0,1.05,0.6,1.0,1.8327925205230713,2.840630531311035,7.337508678436279,15.522372245788574
shuffle,0,1.05,0.6,1.5,1.7786363363265991,2.3087387084960938,9.67559814453125,24.146265029907227
shuffle,0,1.05,0.8,0.1,5.04880428314209,6.090324401855469,5.425877094268799,6.43918514251709
shuffle,0,1.05,0.8,0.5,3.733492851257324,5.748507022857666,7.869401931762695,14.096697807312012
shuffle,0,1.05,0.8,1.0,4.086359024047852,5.4693708419799805,9.926453590393066,22.74138832092285
shuffle,0,1.05,0.8,1.5,2.967331886291504,4.662853717803955,9.884293556213379,24.404014587402344
shuffle,0,1.05,1.0,0.1,5.699942588806152,7.563274383544922,6.9086785316467285,8.45599365234375
shuffle,0,1.05,1.0,0.5,4.530301570892334,7.15802526473999,12.532816886901855,23.41227912902832
shuffle,0,1.05,1.0,1.0,4.925298690795898,5.663717269897461,13.566617965698242,32.29745101928711
shuffle,0,1.05,1.0,1.5,7.055424690246582,10.72248649597168,15.446617126464844,40.95418930053711
shuffle,1,0.6,0.6,0.1,3.6583943367004395,4.479738712310791,2.232738733291626,2.3043601512908936
shuffle,1,0.6,0.6,0.5,1.4124951362609863,2.528519868850708,2.8302934169769287,3.9884629249572754
shuffle,1,0.6,0.6,1.0,1.5186021327972412,2.0805211067199707,3.423352003097534,6.10739278793335
shuffle,1,0.6,0.6,1.5,0.9960231184959412,1.3022394180297852,3.500044345855713,6.875842094421387
shuffle,1,0.6,0.8,0.1,4.493560791015625,5.018157005310059,2.2767436504364014,2.359711170196533
shuffle,1,0.6,0.8,0.5,4.421143054962158,4.970272541046143,3.2275211811065674,4.775963306427002
shuffle,1,0.6,0.8,1.0,3.3921051025390625,5.215168476104736,4.10606575012207,7.712325096130371
shuffle,1,0.6,0.8,1.5,2.754368543624878,3.6643428802490234,3.9330408573150635,7.797994613647461
shuffle,1,0.6,1.0,0.1,7.12399959564209,8.726164817810059,2.6763949394226074,2.8161139488220215
shuffle,1,0.6,1.0,0.5,5.804427146911621,7.691922187805176,3.8689138889312744,5.9674296379089355
shuffle,1,0.6,1.0,1.0,3.7145259380340576,4.388771057128906,4.765610694885254,9.616912841796875
shuffle,1,0.6,1.0,1.5,3.887936592102051,5.599433898925781,5.056156158447266,11.19344711303711
shuffle,1,0.8,0.6,0.1,4.351850986480713,5.220027446746826,2.913809299468994,3.1099302768707275
shuffle,1,0.8,0.6,0.5,2.1719048023223877,3.042725086212158,3.3659722805023193,4.890402793884277
shuffle,1,0.8,0.6,1.0,1.2041393518447876,1.8193023204803467,4.5711350440979,8.685263633728027
shuffle,1,0.8,0.6,1.5,1.1276121139526367,1.3436336517333984,4.912434101104736,10.926416397094727
shuffle,1,0.8,0.8,0.1,6.7439470291137695,7.408767223358154,3.1131699085235596,3.2723379135131836
shuffle,1,0.8,0.8,0.5,3.1876256465911865,4.275542736053467,4.690201282501221,7.392418384552002
shuffle,1,0.8,0.8,1.0,3.827321767807007,5.575324058532715,5.366657257080078,10.717164993286133
shuffle,1,0.8,0.8,1.5,2.9520111083984375,4.943892478942871,6.086108684539795,13.869732856750488
shuffle,1,0.8,1.0,0.1,6.97330379486084,7.953771591186523,4.340703964233398,4.731359958648682
shuffle,1,0.8,1.0,0.5,5.386552810668945,7.331755638122559,6.170961380004883,10.359732627868652
shuffle,1,0.8,1.0,1.0,4.50185489654541,6.760905742645264,7.061544895172119,15.365168571472168
shuffle,1,0.8,1.0,1.5,4.179965972900391,5.629942893981934,8.34829044342041,20.746631622314453
shuffle,1,0.95,0.6,0.1,4.879220962524414,4.927055358886719,3.7233970165252686,3.9580864906311035
shuffle,1,0.95,0.6,0.5,2.1745645999908447,2.5202713012695312,5.377234935760498,8.567899703979492
shuffle,1,0.95,0.6,1.0,1.8939746618270874,2.7520651817321777,6.880428314208984,14.147720336914062
shuffle,1,0.95,0.6,1.5,0.9736483097076416,1.008215308189392,6.435413837432861,15.332924842834473
shuffle,1,0.95,0.8,0.1,6.005190849304199,6.010298252105713,5.100356578826904,5.51773738861084
shuffle,1,0.95,0.8,0.5,3.3773787021636963,4.20499849319458,6.814472675323486,10.961010932922363
shuffle,1,0.95,0.8,1.0,3.501054286956787,4.909487724304199,7.879927635192871,17.207843780517578
shuffle,1,0.95,0.8,1.5,2.6102025508880615,2.591522693634033,7.645430564880371,18.234251022338867
shuffle,1,0.95,1.0,0.1,6.8673505783081055,6.965712547302246,4.8938798904418945,5.319059371948242
shuffle,1,0.95,1.0,0.5,4.857211112976074,7.332174777984619,9.441359519958496,17.347566604614258
shuffle,1,0.95,1.0,1.0,5.242118835449219,6.810901641845703,10.888949394226074,23.977706909179688
shuffle,1,0.95,1.0,1.5,3.8306679725646973,4.495401859283447,11.39923095703125,30.007835388183594
shuffle,1,1.05,0.6,0.1,2.2465028762817383,2.42690110206604,5.2375946044921875,6.294681549072266
shuffle,1,1.05,0.6,0.5,2.9809439182281494,3.1901416778564453,6.591838836669922,10.58370590209961
shuffle,1,1.05,0.6,1.0,1.0498106479644775,1.4302116632461548,8.339113235473633,17.655961990356445
shuffle,1,1.05,0.6,1.5,1.4927644729614258,2.4498651027679443,8.867924690246582,21.700382232666016
shuffle,1,1.05,0.8,0.1,7.197052001953125,11.210502624511719,6.144669055938721,7.341061115264893
shuffle,1,1.05,0.8,0.5,4.4020891189575195,5.187881946563721,8.81633186340332,14.875225067138672
shuffle,1,1.05,0.8,1.0,1.9424352645874023,1.9289534091949463,10.250869750976562,23.0073299407959
shuffle,1,1.05,0.8,1.5,2.953150749206543,4.512792110443115,9.775971412658691,24.34551239013672
shuffle,1,1.05,1.0,0.1,7.402956962585449,8.777695655822754,7.915170192718506,9.646014213562012
shuffle,1,1.05,1.0,0.5,7.6385955810546875,9.004341125488281,11.404945373535156,20.351909637451172
shuffle,1,1.05,1.0,1.0,6.05995512008667,8.761204719543457,15.896531105041504,37.622169494628906
shuffle,1,1.05,1.0,1.5,5.909317970275879,9.393720626831055,15.726181983947754,41.61134338378906
shuffle,2,0.6,0.6,0.1,4.154349327087402,5.375487327575684,2.2064411640167236,2.298095941543579
shuffle,2,0.6,0.6,0.5,2.257026433944702,3.103868007659912,2.8609907627105713,3.996866464614868
shuffle,2,0.6,0.6,1.0,2.0041792392730713,2.7737178802490234,3.251397132873535,5.679014205932617
shuffle,2,0.6,0.6,1.5,0.9427841901779175,1.2184584140777588,3.4831032752990723,6.8054375648498535
shuffle,2,0.6,0.8,0.1,4.683252811431885,4.692764759063721,2.2972564697265625,2.4052374362945557
shuffle,2,0.6,0.8,0.5,3.894650459289551,5.941766262054443,3.1164391040802,4.44959020614624
shuffle,2,0.6,0.8,1.0,1.9424245357513428,3.154534339904785,3.756608486175537,7.005474090576172
shuffle,2,0.6,0.8,1.5,2.8525819778442383,3.6278269290924072,4.132739543914795,8.653645515441895
shuffle,2,0.6,1.0,0.1,5.466738700866699,5.4624810218811035,2.599424362182617,2.720977783203125
shuffle,2,0.6,1.0,0.5,5.860500335693359,7.742701053619385,3.5968990325927734,5.274904251098633
shuffle,2,0.6,1.0,1.0,3.926504135131836,4.571977615356445,4.607335090637207,8.943653106689453
shuffle,2,0.6,1.0,1.5,2.9732840061187744,4.336124897003174,5.42777156829834,12.201751708984375
shuffle,2,0.8,0.6,0.1,3.6287362575531006,3.81032395362854,2.990435838699341,3.1318295001983643
shuffle,2,0.8,0.6,0.5,3.42106032371521,3.7500925064086914,3.8486642837524414,5.66590690612793
shuffle,2,0.8,0.6,1.0,1.467861294746399,1.502647876739502,4.55901575088501,8.57158374786377
shuffle,2,0.8,0.6,1.5,1.6137405633926392,1.8485623598098755,4.832075595855713,10.645264625549316
shuffle,2,0.8,0.8,0.1,5.204779148101807,6.179880619049072,3.0983667373657227,3.2761220932006836
shuffle,2,0.8,0.8,0.5,4.13144588470459,5.990817070007324,4.396393775939941,6.876951694488525
shuffle,2,0.8,0.8,1.0,2.9617021083831787,4.08573579788208,4.965976238250732,10.082257270812988
shuffle,2,0.8,0.8,1.5,2.291626453399658,3.780588150024414,6.3466572761535645,15.020757675170898
shuffle,2,0.8,1.0,0.1,7.698577404022217,9.461166381835938,3.6622323989868164,3.9429657459259033
shuffle,2,0.8,1.0,0.5,5.887688636779785,7.826723098754883,5.079850196838379,8.362833976745605
shuffle,2,0.8,1.0,1.0,4.742868423461914,7.0594000816345215,5.9686760902404785,12.16846752166748
shuffle,2,0.8,1.0,1.5,3.575709104537964,5.2028422355651855,7.36232852935791,17.236886978149414
shuffle,2,0.95,0.6,0.1,4.569494247436523,4.678103446960449,4.007270812988281,4.229467391967773
shuffle,2,0.95,0.6,0.5,2.319507360458374,2.5191283226013184,4.783862113952637,7.160064220428467
shuffle,2,0.95,0.6,1.0,1.1729130744934082,2.111619234085083,5.947521686553955,12.055899620056152
shuffle,2,0.95,0.6,1.5,0.9239647388458252,0.9184775948524475,6.111690044403076,14.88794994354248
shuffle,2,0.95,0.8,0.1,5.99648380279541,5.999325275421143,4.744582653045654,5.118465900421143
shuffle,2,0.95,0.8,0.5,4.077760219573975,4.110382080078125,6.778656005859375,11.194130897521973
shuffle,2,0.95,0.8,1.0,2.942575693130493,4.754471778869629,7.624459266662598,16.607715606689453
shuffle,2,0.95,0.8,1.5,3.2431745529174805,5.001694679260254,8.360209465026855,21.128145217895508
shuffle,2,0.95,1.0,0.1,7.078244209289551,7.075597286224365,5.435888290405273,5.926028251647949
shuffle,2,0.95,1.0,0.5,5.387515068054199,7.084348678588867,8.186762809753418,14.235126495361328
shuffle,2,0.95,1.0,1.0,3.9730098247528076,5.547735691070557,10.44328498840332,23.6900691986084
shuffle,2,0.95,1.0,1.5,4.618132591247559,7.039704322814941,11.794754981994629,30.527755737304688
shuffle,2,1.05,0.6,0.1,3.5194835662841797,5.086374759674072,4.612359046936035,5.456390380859375
shuffle,2,1.05,0.6,0.5,2.4538354873657227,3.0004944801330566,6.78831672668457,10.978545188903809
shuffle,2,1.05,0.6,1.0,1.824500322341919,1.9831950664520264,7.90934419631958,17.085060119628906
shuffle,2,1.05,0.6,1.5,0.9379048347473145,1.5827667713165283,8.583772659301758,20.960874557495117
shuffle,2,1.05,0.8,0.1,4.801024436950684,5.94471549987793,6.023667335510254,7.284117221832275
shuffle,2,1.05,0.8,0.5,4.210746765136719,5.1612067222595215,7.305230140686035,11.886115074157715
shuffle,2,1.05,0.8,1.0,3.8253400325775146,5.616846561431885,9.892075538635254,22.35550880432129
shuffle,2,1.05,0.8,1.5,2.872816562652588,2.8662800788879395,10.60676383972168,27.3875789642334
shuffle,2,1.05,1.0,0.1,6.475437164306641,9.138750076293945,7.014141082763672,8.822793960571289
shuffle,2,1.05,1.0,0.5,4.727480888366699,7.039392948150635,12.362061500549316,21.437095642089844
shuffle,2,1.05,1.0,1.0,6.525853633880615,9.320844650268555,13.982415199279785,33.20896911621094
shuffle,2,1.05,1.0,1.5,6.631446361541748,10.515809059143066,15.951193809509277,40.87410354614258
shuffle,3,0.6,0.6,0.1,3.1870532035827637,3.5404233932495117,2.2420639991760254,2.3318824768066406
shuffle,3,0.6,0.6,0.5,2.38065505027771,3.7403321266174316,2.713627338409424,3.835289478302002
shuffle,3,0.6,0.6,1.0,1.2683008909225464,1.8870470523834229,3.3498520851135254,5.802517890930176
shuffle,3,0.6,0.6,1.5,1.744828224182129,2.7082204818725586,3.325549602508545,6.330236911773682
shuffle,3,0.6,0.8,0.1,4.876255512237549,6.085221767425537,2.390207529067993,2.5139095783233643
shuffle,3,0.6,0.8,0.5,2.744896411895752,4.651793003082275,3.2688114643096924,4.894923210144043
shuffle,3,0.6,0.8,1.0,3.411128282546997,4.407866477966309,3.780534029006958,7.161375045776367
shuffle,3,0.6,0.8,1.5,3.1596601009368896,3.6035232543945312,4.269100189208984,9.036783218383789
shuffle,3,0.6,1.0,0.1,6.112771987915039,6.4651288986206055,2.6024200916290283,2.7304880619049072
shuffle,3,0.6,1.0,0.5,4.473005294799805,5.966280937194824,3.5874221324920654,5.328057289123535
shuffle,3,0.6,1.0,1.0,3.935831308364868,5.71733283996582,4.429124355316162,8.607651710510254
shuffle,3,0.6,1.0,1.5,3.7509195804595947,5.614568710327148,4.707657814025879,10.49072265625
shuffle,3,0.8,0.6,0.1,5.235715866088867,5.245783805847168,2.861358404159546,2.983942985534668
shuffle,3,0.8,0.6,0.5,3.045196533203125,3.9854326248168945,3.862504720687866,5.701287269592285
shuffle,3,0.8,0.6,1.0,1.5785350799560547,1.8392592668533325,4.724741458892822,9.228559494018555
shuffle,3,0.8,0.6,1.5,0.7720792293548584,1.6181483268737793,4.945117950439453,10.778162002563477
shuffle,3,0.8,0.8,0.1,5.169140338897705,5.161861896514893,3.127164602279663,3.342890977859497
shuffle,3,0.8,0.8,0.5,3.837611436843872,4.912201881408691,3.8750851154327393,5.849853038787842
shuffle,3,0.8,0.8,1.0,2.405043125152588,3.4231698513031006,5.271434307098389,10.621206283569336
shuffle,3,0.8,0.8,1.5,0.9977994561195374,1.6458650827407837,5.807090759277344,13.062360763549805
shuffle,3,0.8,1.0,0.1,8.593522071838379,10.480154991149902,3.696486711502075,3.945000410079956
shuffle,3,0.8,1.0,0.5,4.445037841796875,6.923181533813477,5.643345355987549,9.404026985168457
shuffle,3,0.8,1.0,1.0,4.0487380027771,5.023779392242432,6.988243579864502,14.992467880249023
shuffle,3,0.8,1.0,1.5,2.099374771118164,3.7987706661224365,8.028355598449707,20.35291862487793
shuffle,3,0.95,0.6,0.1,3.9358859062194824,3.752012252807617,3.7621607780456543,3.9237372875213623
shuffle,3,0.95,0.6,0.5,2.8710641860961914,3.614039182662964,5.592202663421631,8.95959186553955
shuffle,3,0.95,0.6,1.0,1.9448904991149902,2.021552801132202,5.874793529510498,11.60095500946045
shuffle,3,0.95,0.6,1.5,1.3309139013290405,1.6617002487182617,6.2115278244018555,14.421367645263672
shuffle,3,0.95,0.8,0.1,5.637100696563721,5.646391868591309,3.9216513633728027,4.1031622886657715
shuffle,3,0.95,0.8,0.5,2.02176833152771,2.98760724067688,5.5624237060546875,9.097023963928223
shuffle,3,0.95,0.8,1.0,3.7741332054138184,4.863387584686279,6.812489032745361,14.001106262207031
shuffle,3,0.95,0.8,1.5,1.9376370906829834,2.8330636024475098,7.794370651245117,19.395057678222656
shuffle,3,0.95,1.0,0.1,9.655177116394043,11.143410682678223,4.755440711975098,5.142978191375732
shuffle,3,0.95,1.0,0.5,6.338512420654297,7.272660732269287,8.792969703674316,15.504966735839844
shuffle,3,0.95,1.0,1.0,5.076315879821777,7.367834091186523,9.429000854492188,21.57293128967285
shuffle,3,0.95,1.0,1.5,4.098043918609619,5.813556671142578,10.997084617614746,28.741044998168945
shuffle,3,1.05,0.6,0.1,2.66237473487854,5.030350208282471,4.613204002380371,5.505306720733643
shuffle,3,1.05,0.6,0.5,2.6097960472106934,3.2235193252563477,5.978218078613281,9.250852584838867
shuffle,3,1.05,0.6,1.0,1.405014991760254,1.4339284896850586,6.930542945861816,14.073190689086914
shuffle,3,1.05,0.6,1.5,0.010332167148590088,0.3741529583930969,7.349005699157715,16.892803192138672
shuffle,3,1.05,0.8,0.1,5.36998176574707,8.427996635437012,5.462286472320557,6.563385963439941
shuffle,3,1.05,0.8,0.5,3.8248109817504883,4.562832355499268,8.474964141845703,15.011213302612305
shuffle,3,1.05,0.8,1.0,3.5152783393859863,4.988524436950684,10.3038969039917,22.58184051513672
shuffle,3,1.05,0.8,1.5,3.235105514526367,3.2287375926971436,10.199146270751953,25.86440086364746
shuffle,3,1.05,1.0,0.1,7.747976303100586,10.832145690917969,7.184431076049805,8.941640853881836
shuffle,3,1.05,1.0,0.5,5.842185974121094,7.698879241943359,10.752740859985352,19.601377487182617
shuffle,3,1.05,1.0,1.0,7.161715030670166,10.183988571166992,13.569535255432129,30.846956253051758
shuffle,3,1.05,1.0,1.5,5.1438212394714355,6.947457790374756,13.20058536529541,34.24761199951172
shuffle,4,0.6,0.6,0.1,2.693711280822754,3.5056800842285156,2.325322151184082,2.4328794479370117
shuffle,4,0.6,0.6,0.5,2.0584213733673096,3.0883615016937256,2.7030179500579834,3.769350528717041
shuffle,4,0.6,0.6,1.0,1.8118886947631836,2.5664660930633545,3.2076303958892822,5.566839694976807
shuffle,4,0.6,0.6,1.5,0.7526150345802307,0.7542371153831482,3.5257363319396973,6.861225605010986
shuffle,4,0.6,0.8,0.1,4.852026462554932,5.012881278991699,2.5034947395324707,2.632742166519165
shuffle,4,0.6,0.8,0.5,3.6436710357666016,4.496402263641357,2.957958936691284,4.294754981994629
shuffle,4,0.6,0.8,1.0,3.5996153354644775,4.37327241897583,3.821726083755493,6.928439140319824
shuffle,4,0.6,0.8,1.5,2.6786036491394043,3.5035400390625,4.498831748962402,9.327092170715332
shuffle,4,0.6,1.0,0.1,4.980085372924805,6.806883335113525,2.646015167236328,2.779965877532959
shuffle,4,0.6,1.0,0.5,5.049321174621582,7.298638343811035,3.5279107093811035,5.345134258270264
shuffle,4,0.6,1.0,1.0,4.099164009094238,6.230717182159424,4.528269290924072,8.922270774841309
shuffle,4,0.6,1.0,1.5,2.785205602645874,3.818763017654419,5.352747917175293,12.384661674499512
shuffle,4,0.8,0.6,0.1,4.292240619659424,5.889483451843262,2.6428732872009277,2.7798969745635986
shuffle,4,0.8,0.6,0.5,1.6051143407821655,1.713851809501648,3.851783037185669,5.762196063995361
shuffle,4,0.8,0.6,1.0,1.25041925907135,1.280813455581665,4.415673732757568,8.329551696777344
shuffle,4,0.8,0.6,1.5,1.0904035568237305,1.8156672716140747,4.979964256286621,10.736617088317871
shuffle,4,0.8,0.8,0.1,4.698678016662598,5.643820285797119,3.1735267639160156,3.3282902240753174
shuffle,4,0.8,0.8,0.5,3.026874542236328,4.811212539672852,4.717118263244629,7.738982200622559
shuffle,4,0.8,0.8,1.0,3.769015073776245,4.662073135375977,5.283681869506836,10.606743812561035
shuffle,4,0.8,0.8,1.5,1.7730610370635986,2.6749844551086426,6.530361175537109,15.288094520568848
shuffle,4,0.8,1.0,0.1,6.976070404052734,8.525150299072266,3.406179904937744,3.644683837890625
shuffle,4,0.8,1.0,0.5,5.848804473876953,7.88883113861084,5.691897869110107,9.576604843139648
shuffle,4,0.8,1.0,1.0,5.590161323547363,5.588921546936035,6.788379192352295,14.628002166748047
shuffle,4,0.8,1.0,1.5,2.971187114715576,3.955911636352539,7.328630447387695,18.125844955444336
shuffle,4,0.95,0.6,0.1,3.4242749214172363,3.9649367332458496,4.06881856918335,4.304314136505127
shuffle,4,0.95,0.6,0.5,2.0408935546875,3.044022798538208,5.270313262939453,8.14953327178955
shuffle,4,0.95,0.6,1.0,1.8589792251586914,1.8793885707855225,5.688189506530762,11.382112503051758
shuffle,4,0.95,0.6,1.5,2.2368578910827637,2.242706775665283,6.919661045074463,16.296903610229492
shuffle,4,0.95,0.8,0.1,5.838760852813721,7.143347263336182,4.140156269073486,4.498422145843506
shuffle,4,0.95,0.8,0.5,3.9583215713500977,5.5930023193359375,5.010970115661621,8.13708209991455
shuffle,4,0.95,0.8,1.0,2.967151165008545,4.156423568725586,7.020280838012695,14.841280937194824
shuffle,4,0.95,0.8,1.5,2.879261016845703,3.3084921836853027,8.127903938293457,19.717876434326172
shuffle,4,0.95,1.0,0.1,6.356956481933594,7.980108737945557,5.144282817840576,5.606157302856445
shuffle,4,0.95,1.0,0.5,6.851677894592285,9.04409408569336,7.840656757354736,13.37807559967041
shuffle,4,0.95,1.0,1.0,4.435275077819824,6.358437538146973,9.899004936218262,22.2517147064209
shuffle,4,0.95,1.0,1.5,4.722466468811035,5.950518608093262,11.57758903503418,29.538183212280273
shuffle,4,1.05,0.6,0.1,2.2946219444274902,2.681586742401123,5.112188339233398,6.058321952819824
shuffle,4,1.05,0.6,0.5,3.23244047164917,3.4656341075897217,5.999350070953369,9.836947441101074
shuffle,4,1.05,0.6,1.0,0.9593092203140259,1.055736780166626,7.41688871383667,15.931787490844727
shuffle,4,1.05,0.6,1.5,1.4913370609283447,1.893892526626587,7.966228008270264,19.45197296142578
shuffle,4,1.05,0.8,0.1,6.2342987060546875,8.07366943359375,5.55033540725708,6.6596999168396
shuffle,4,1.05,0.8,0.5,2.812347888946533,3.401973247528076,9.797277450561523,16.766193389892578
shuffle,4,1.05,0.8,1.0,3.4254088401794434,4.38904333114624,9.118581771850586,20.46394157409668
shuffle,4,1.05,0.8,1.5,1.8359270095825195,2.671287775039673,9.404784202575684,24.04539680480957
shuffle,4,1.05,1.0,0.1,6.99739933013916,11.042227745056152,7.063737392425537,8.880064010620117
shuffle,4,1.05,1.0,0.5,6.625765800476074,9.822587966918945,11.353819847106934,21.132280349731445
shuffle,4,1.05,1.0,1.0,5.868013381958008,8.445340156555176,13.090263366699219,29.89189910888672
shuffle,4,1.05,1.0,1.5,3.8948726654052734,5.628293991088867,13.558465957641602,35.36996841430664
shuffle,5,0.6,0.6,0.1,3.681342363357544,4.143784999847412,2.230987071990967,2.319010019302368
shuffle,5,0.6,0.6,0.5,2.6157259941101074,3.1818695068359375,2.662216901779175,3.7947299480438232
