EI_bal,frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
206,1,0,0.8,0.2,0.5,1.2191162109375,1.732944667339325,17.975290298461914,21.238906860351562
206,1,0,0.8,0.2,1.0,1.2359240055084229,1.7617216110229492,35.95948791503906,29.093870162963867
206,1,0,0.8,0.2,2.0,0.0,0.0,69.34756469726562,69.48568725585938
206,1,0,0.8,0.5,0.5,0.0,0.0,98.36105346679688,106.1976318359375
206,1,0,0.8,0.5,1.0,1.0453429222106934,1.302119255065918,91.85285186767578,93.59738159179688
206,1,0,0.8,0.5,2.0,1.8751914501190186,3.0415677428245544,115.1338882446289,117.50192260742188
206,1,0,0.8,0.8,0.5,1.3247368335723877,1.3268518447875977,146.33688354492188,147.98048400878906
206,1,0,0.8,0.8,1.0,0.6655385494232178,0.6590398550033569,158.84188842773438,163.27395629882812
206,1,0,0.8,0.8,2.0,0.0,0.0,152.54965209960938,173.26254272460938
206,1,0,1.0,0.2,0.5,0.0,0.0,53.25322341918945,90.29187774658203
206,1,0,1.0,0.2,1.0,0.6594030261039734,0.8987069129943848,58.77914810180664,59.987213134765625
206,1,0,1.0,0.2,2.0,0.05517876148223877,0.059916555881500244,78.66228485107422,83.29806518554688
206,1,0,1.0,0.5,0.5,0.03170180320739746,0.029917120933532715,65.166259765625,68.24824523925781
206,1,0,1.0,0.5,1.0,0.0,0.0,112.09258270263672,124.47807312011719
206,1,0,1.0,0.5,2.0,0.8200111985206604,1.2798916697502136,130.71572875976562,141.93077087402344
206,1,0,1.0,0.8,0.5,0.9677612781524658,0.970004677772522,145.49374389648438,143.93850708007812
206,1,0,1.0,0.8,1.0,0.9429525136947632,0.9474911689758301,134.5575408935547,140.37867736816406
206,1,0,1.0,0.8,2.0,0.0,0.0,183.3794403076172,188.2996063232422
206,1,0,1.2,0.2,0.5,0.0,0.0,20.841890335083008,13.484904289245605
206,1,0,1.2,0.2,1.0,1.239872932434082,1.883523941040039,63.82558822631836,60.75559616088867
206,1,0,1.2,0.2,2.0,0.0,0.0,47.87027359008789,48.16400909423828
206,1,0,1.2,0.5,0.5,2.0178720951080322,2.4676966667175293,76.47786712646484,79.38220977783203
206,1,0,1.2,0.5,1.0,0.0,0.0,86.69139099121094,88.6214599609375
206,1,0,1.2,0.5,2.0,1.7579606771469116,2.2499343156814575,141.69403076171875,152.53794860839844
206,1,0,1.2,0.8,0.5,1.9996662139892578,2.13294118642807,130.69223022460938,129.12461853027344
206,1,0,1.2,0.8,1.0,1.6799529790878296,1.9410851001739502,159.1265411376953,163.18551635742188
206,1,0,1.2,0.8,2.0,1.770165205001831,2.617547929286957,176.09873962402344,180.9479217529297
206,1,1,0.8,0.2,0.5,2.192915678024292,2.317870855331421,52.54574966430664,60.22050857543945
206,1,1,0.8,0.2,1.0,0.94963139295578,1.0969639420509338,62.7342414855957,82.48387908935547
206,1,1,0.8,0.2,2.0,0.8332595825195312,1.2928890585899353,70.84847259521484,78.10333251953125
206,1,1,0.8,0.5,0.5,0.0,0.0,120.55242919921875,121.83186340332031
206,1,1,0.8,0.5,1.0,0.3801265358924866,0.3825554847717285,143.58108520507812,146.47042846679688
206,1,1,0.8,0.5,2.0,1.7458672523498535,2.01763916015625,157.31008911132812,165.5865936279297
206,1,1,0.8,0.8,0.5,0.22836405038833618,0.2283039689064026,190.2796173095703,193.2711944580078
206,1,1,0.8,0.8,1.0,1.433279275894165,1.4942397475242615,203.07479858398438,206.6650848388672
206,1,1,0.8,0.8,2.0,2.543630838394165,2.5439363718032837,204.69749450683594,210.8415069580078
206,1,1,1.0,0.2,0.5,0.2629256844520569,0.2649138569831848,58.445003509521484,63.32880401611328
206,1,1,1.0,0.2,1.0,1.592724323272705,1.9399870038032532,74.14680480957031,84.1412124633789
206,1,1,1.0,0.2,2.0,0.015995442867279053,0.1771671175956726,73.3035888671875,74.60753631591797
206,1,1,1.0,0.5,0.5,0.0,0.0,105.02933502197266,128.0172119140625
206,1,1,1.0,0.5,1.0,1.6489040851593018,1.8579380512237549,126.73033905029297,132.27699279785156
206,1,1,1.0,0.5,2.0,2.0627684593200684,2.3161453008651733,154.238525390625,162.43820190429688
206,1,1,1.0,0.8,0.5,0.48357975482940674,0.4840726852416992,196.77052307128906,194.14321899414062
206,1,1,1.0,0.8,1.0,1.7668592929840088,1.8365437388420105,202.32107543945312,202.0508575439453
206,1,1,1.0,0.8,2.0,2.3314356803894043,2.3320378065109253,206.92935180664062,211.75868225097656
206,1,1,1.2,0.2,0.5,0.6822474598884583,0.790830135345459,58.84154510498047,59.6684684753418
206,1,1,1.2,0.2,1.0,1.637084722518921,2.1139315366744995,46.7032356262207,73.53871154785156
206,1,1,1.2,0.2,2.0,0.1504465937614441,0.15707319974899292,93.00323486328125,112.9041976928711
206,1,1,1.2,0.5,0.5,0.1715543270111084,0.17315953969955444,121.5605697631836,121.37042236328125
206,1,1,1.2,0.5,1.0,1.2674299478530884,1.446610152721405,150.09381103515625,157.52529907226562
206,1,1,1.2,0.5,2.0,0.6973680853843689,1.2781492471694946,125.62965393066406,147.81735229492188
206,1,1,1.2,0.8,0.5,0.7101716995239258,0.710816502571106,195.73544311523438,195.53114318847656
206,1,1,1.2,0.8,1.0,2.0518546104431152,2.076389491558075,201.12257385253906,203.2213592529297
206,1,1,1.2,0.8,2.0,3.297212600708008,3.432496964931488,207.3016815185547,217.57872009277344
206,1,2,0.8,0.2,0.5,0.0,0.0,74.25114440917969,87.89989471435547
206,1,2,0.8,0.2,1.0,0.0,0.0,84.5875473022461,114.04197692871094
206,1,2,0.8,0.2,2.0,0.0,0.0,119.85692596435547,126.18661499023438
206,1,2,0.8,0.5,0.5,1.1906201839447021,1.1947799921035767,157.82626342773438,157.16696166992188
206,1,2,0.8,0.5,1.0,0.0,0.0043579936027526855,155.42733764648438,162.30543518066406
206,1,2,0.8,0.5,2.0,1.615837574005127,1.6885475516319275,168.47216796875,174.62413024902344
206,1,2,0.8,0.8,0.5,0.5754923224449158,0.5768126249313354,192.54653930664062,191.5808868408203
206,1,2,0.8,0.8,1.0,2.3128864765167236,2.3743362426757812,194.62493896484375,199.77468872070312
206,1,2,0.8,0.8,2.0,0.0,0.0,199.0784149169922,203.07469177246094
