mode,src,group_id,metric,dispersion,n_hparams
sign_test_og_cel0.0,chunk_0,0,GR,0.2636173711966248,48
sign_test_og_cel0.0,chunk_0,0,IPC,0.2796572853874296,48
sign_test_og_cel0.0,chunk_0,0,KR,0.1990928369695842,48
sign_test_og_cel0.0,chunk_0,0,MC,0.16133320378582156,48
sign_test_og_cel0.0,chunk_0,1,GR,0.2994845107199178,48
sign_test_og_cel0.0,chunk_0,1,IPC,0.28057912116471073,48
sign_test_og_cel0.0,chunk_0,1,KR,0.22942217970419504,48
sign_test_og_cel0.0,chunk_0,1,MC,0.17324550030135893,48
sign_test_og_cel0.0,chunk_0,10,GR,0.2507492209420021,48
sign_test_og_cel0.0,chunk_0,10,IPC,0.25221493421734603,48
sign_test_og_cel0.0,chunk_0,10,KR,0.17471227404255507,48
sign_test_og_cel0.0,chunk_0,10,MC,0.15163526795976368,48
sign_test_og_cel0.0,chunk_0,11,GR,0.3140924497102611,48
sign_test_og_cel0.0,chunk_0,11,IPC,0.2661597357552035,48
sign_test_og_cel0.0,chunk_0,11,KR,0.24245210792886607,48
sign_test_og_cel0.0,chunk_0,11,MC,0.14141201885462396,48
sign_test_og_cel0.0,chunk_0,12,GR,0.24680972216142477,48
sign_test_og_cel0.0,chunk_0,12,IPC,0.22436165717811105,48
sign_test_og_cel0.0,chunk_0,12,KR,0.17333724614730428,48
sign_test_og_cel0.0,chunk_0,12,MC,0.1317047845750369,48
sign_test_og_cel0.0,chunk_0,2,GR,0.2345458289996148,48
sign_test_og_cel0.0,chunk_0,2,IPC,0.28088665389583173,48
sign_test_og_cel0.0,chunk_0,2,KR,0.16587351898568523,48
sign_test_og_cel0.0,chunk_0,2,MC,0.15296512956349706,48
sign_test_og_cel0.0,chunk_0,3,GR,0.3427131084010685,48
sign_test_og_cel0.0,chunk_0,3,IPC,0.2992171911513187,48
sign_test_og_cel0.0,chunk_0,3,KR,0.25907016580703884,48
sign_test_og_cel0.0,chunk_0,3,MC,0.17677183878984917,48
sign_test_og_cel0.0,chunk_0,4,GR,0.2801578292363527,48
sign_test_og_cel0.0,chunk_0,4,IPC,0.2580362128017337,48
sign_test_og_cel0.0,chunk_0,4,KR,0.188844505008669,48
sign_test_og_cel0.0,chunk_0,4,MC,0.15595545846961517,48
sign_test_og_cel0.0,chunk_0,5,GR,0.26515028917452543,48
sign_test_og_cel0.0,chunk_0,5,IPC,0.2566248866874251,48
sign_test_og_cel0.0,chunk_0,5,KR,0.19982648534220301,48
sign_test_og_cel0.0,chunk_0,5,MC,0.12750561426246396,48
sign_test_og_cel0.0,chunk_0,6,GR,0.23595307720894934,48
sign_test_og_cel0.0,chunk_0,6,IPC,0.3118042437045912,48
sign_test_og_cel0.0,chunk_0,6,KR,0.16848107077145924,48
sign_test_og_cel0.0,chunk_0,6,MC,0.19268647185934684,48
sign_test_og_cel0.0,chunk_0,7,GR,0.2610366643360763,48
sign_test_og_cel0.0,chunk_0,7,IPC,0.2608077017392077,48
sign_test_og_cel0.0,chunk_0,7,KR,0.17544866811350746,48
sign_test_og_cel0.0,chunk_0,7,MC,0.1594038418012262,48
sign_test_og_cel0.0,chunk_0,8,GR,0.23554080834368568,48
sign_test_og_cel0.0,chunk_0,8,IPC,0.2695142203146343,48
sign_test_og_cel0.0,chunk_0,8,KR,0.1519892522343479,48
sign_test_og_cel0.0,chunk_0,8,MC,0.1429465307825716,48
sign_test_og_cel0.0,chunk_0,9,GR,0.3194820108101031,48
sign_test_og_cel0.0,chunk_0,9,IPC,0.30688474614103595,48
sign_test_og_cel0.0,chunk_0,9,KR,0.22396588052917338,48
sign_test_og_cel0.0,chunk_0,9,MC,0.19766163907059325,48
sign_test_og_cel0.0,chunk_1,13,GR,0.2856309783767363,48
sign_test_og_cel0.0,chunk_1,13,IPC,0.24122876052752998,48
sign_test_og_cel0.0,chunk_1,13,KR,0.19841454476651013,48
sign_test_og_cel0.0,chunk_1,13,MC,0.13685080299343014,48
sign_test_og_cel0.0,chunk_1,14,GR,0.22167568513385486,48
sign_test_og_cel0.0,chunk_1,14,IPC,0.2736522400490744,48
sign_test_og_cel0.0,chunk_1,14,KR,0.16833783806639613,48
sign_test_og_cel0.0,chunk_1,14,MC,0.14269283623317897,48
sign_test_og_cel0.0,chunk_1,15,GR,0.25031136206770216,48
sign_test_og_cel0.0,chunk_1,15,IPC,0.26321379494812436,48
sign_test_og_cel0.0,chunk_1,15,KR,0.15456976591428756,48
sign_test_og_cel0.0,chunk_1,15,MC,0.15227632085794698,48
sign_test_og_cel0.0,chunk_1,16,GR,0.24627502711271995,48
sign_test_og_cel0.0,chunk_1,16,IPC,0.274342724625984,48
sign_test_og_cel0.0,chunk_1,16,KR,0.16092930831822733,48
sign_test_og_cel0.0,chunk_1,16,MC,0.15671457481913387,48
sign_test_og_cel0.0,chunk_1,17,GR,0.2678664172248065,48
sign_test_og_cel0.0,chunk_1,17,IPC,0.2967628886674954,48
sign_test_og_cel0.0,chunk_1,17,KR,0.1854474459266323,48
sign_test_og_cel0.0,chunk_1,17,MC,0.17867348349440607,48
sign_test_og_cel0.0,chunk_1,18,GR,0.3225419101655542,48
sign_test_og_cel0.0,chunk_1,18,IPC,0.27833728053261764,48
sign_test_og_cel0.0,chunk_1,18,KR,0.2360913212646014,48
sign_test_og_cel0.0,chunk_1,18,MC,0.1884105676627013,48
sign_test_og_cel0.0,chunk_1,19,GR,0.25966610565894516,48
sign_test_og_cel0.0,chunk_1,19,IPC,0.2719707444936012,48
sign_test_og_cel0.0,chunk_1,19,KR,0.20952640099678024,48
sign_test_og_cel0.0,chunk_1,19,MC,0.15831819149005052,48
sign_test_og_cel0.0,chunk_1,20,GR,0.2580690757981802,48
sign_test_og_cel0.0,chunk_1,20,IPC,0.2604222919268063,48
sign_test_og_cel0.0,chunk_1,20,KR,0.20766466818090157,48
sign_test_og_cel0.0,chunk_1,20,MC,0.1408752701120643,48
sign_test_og_cel0.0,chunk_1,21,GR,0.30981879447562516,48
sign_test_og_cel0.0,chunk_1,21,IPC,0.3212781259488989,48
sign_test_og_cel0.0,chunk_1,21,KR,0.23355325113594486,48
sign_test_og_cel0.0,chunk_1,21,MC,0.18594595286393995,48
sign_test_og_cel0.0,chunk_1,22,GR,0.24341694562336294,48
sign_test_og_cel0.0,chunk_1,22,IPC,0.30782941734706404,48
sign_test_og_cel0.0,chunk_1,22,KR,0.15245471306012895,48
sign_test_og_cel0.0,chunk_1,22,MC,0.18093165273760564,48
sign_test_og_cel0.0,chunk_1,23,GR,0.24832718664334108,48
sign_test_og_cel0.0,chunk_1,23,IPC,0.25765913190218165,48
sign_test_og_cel0.0,chunk_1,23,KR,0.1765037041895602,48
sign_test_og_cel0.0,chunk_1,23,MC,0.14661954874600144,48
sign_test_og_cel0.0,chunk_1,24,GR,0.24317034549225788,48
sign_test_og_cel0.0,chunk_1,24,IPC,0.27790298322243767,48
sign_test_og_cel0.0,chunk_1,24,KR,0.15993309858504354,48
sign_test_og_cel0.0,chunk_1,24,MC,0.1506939348799047,48
sign_test_og_cel0.0,chunk_1,25,GR,0.3087255264474903,48
sign_test_og_cel0.0,chunk_1,25,IPC,0.3001811227998323,48
sign_test_og_cel0.0,chunk_1,25,KR,0.24040409289280287,48
sign_test_og_cel0.0,chunk_1,25,MC,0.1837021586576329,48
sign_test_og_cel0.0,chunk_10,130,GR,0.288369318764228,48
sign_test_og_cel0.0,chunk_10,130,IPC,0.3012731244572134,48
sign_test_og_cel0.0,chunk_10,130,KR,0.20287971805869037,48
sign_test_og_cel0.0,chunk_10,130,MC,0.17044668651545983,48
sign_test_og_cel0.0,chunk_10,131,GR,0.2618355318517438,48
sign_test_og_cel0.0,chunk_10,131,IPC,0.2861184526527261,48
sign_test_og_cel0.0,chunk_10,131,KR,0.1920007694858109,48
sign_test_og_cel0.0,chunk_10,131,MC,0.17910163265267653,48
sign_test_og_cel0.0,chunk_10,132,GR,0.288111619753284,48
sign_test_og_cel0.0,chunk_10,132,IPC,0.2578538195140587,48
sign_test_og_cel0.0,chunk_10,132,KR,0.22543882496232906,48
sign_test_og_cel0.0,chunk_10,132,MC,0.1379263627177025,48
sign_test_og_cel0.0,chunk_10,133,GR,0.2791427820461759,48
sign_test_og_cel0.0,chunk_10,133,IPC,0.30573366835494964,48
sign_test_og_cel0.0,chunk_10,133,KR,0.21961797346884618,48
sign_test_og_cel0.0,chunk_10,133,MC,0.18798141235467197,48
sign_test_og_cel0.0,chunk_10,134,GR,0.22478948125797982,48
sign_test_og_cel0.0,chunk_10,134,IPC,0.25107545966717837,48
sign_test_og_cel0.0,chunk_10,134,KR,0.14327790932632886,48
sign_test_og_cel0.0,chunk_10,134,MC,0.13299888978755664,48
sign_test_og_cel0.0,chunk_10,135,GR,0.24334819397473187,48
sign_test_og_cel0.0,chunk_10,135,IPC,0.2921355150539924,48
sign_test_og_cel0.0,chunk_10,135,KR,0.1737120538987385,48
sign_test_og_cel0.0,chunk_10,135,MC,0.17331564649216982,48
sign_test_og_cel0.0,chunk_10,136,GR,0.27905803749938213,48
sign_test_og_cel0.0,chunk_10,136,IPC,0.2971718008816779,48
sign_test_og_cel0.0,chunk_10,136,KR,0.23756787432217233,48
sign_test_og_cel0.0,chunk_10,136,MC,0.1653406495645086,48
sign_test_og_cel0.0,chunk_10,137,GR,0.3027101122344233,48
sign_test_og_cel0.0,chunk_10,137,IPC,0.2923889840415537,48
sign_test_og_cel0.0,chunk_10,137,KR,0.2407138993547081,48
sign_test_og_cel0.0,chunk_10,137,MC,0.16394703566100727,48
sign_test_og_cel0.0,chunk_10,138,GR,0.32172348312929855,48
sign_test_og_cel0.0,chunk_10,138,IPC,0.2519741887667417,48
sign_test_og_cel0.0,chunk_10,138,KR,0.24428686885372916,48
sign_test_og_cel0.0,chunk_10,138,MC,0.16889486709281976,48
sign_test_og_cel0.0,chunk_10,139,GR,0.2981654571110766,48
sign_test_og_cel0.0,chunk_10,139,IPC,0.27691463978365244,48
sign_test_og_cel0.0,chunk_10,139,KR,0.2411341096939501,48
sign_test_og_cel0.0,chunk_10,139,MC,0.16329493564939732,48
sign_test_og_cel0.0,chunk_10,140,GR,0.2279080895946534,48
sign_test_og_cel0.0,chunk_10,140,IPC,0.2408775132706754,48
sign_test_og_cel0.0,chunk_10,140,KR,0.17896398162582317,48
sign_test_og_cel0.0,chunk_10,140,MC,0.14268950085346652,48
sign_test_og_cel0.0,chunk_10,141,GR,0.27311419267970305,48
sign_test_og_cel0.0,chunk_10,141,IPC,0.2653610871176054,48
sign_test_og_cel0.0,chunk_10,141,KR,0.20510174018951347,48
sign_test_og_cel0.0,chunk_10,141,MC,0.13674233523267426,48
sign_test_og_cel0.0,chunk_11,142,GR,0.2494909138029485,48
sign_test_og_cel0.0,chunk_11,142,IPC,0.26074069435733815,48
sign_test_og_cel0.0,chunk_11,142,KR,0.17205375845729615,48
sign_test_og_cel0.0,chunk_11,142,MC,0.1418668807856875,48
sign_test_og_cel0.0,chunk_11,143,GR,0.32391313338724764,48
sign_test_og_cel0.0,chunk_11,143,IPC,0.2922740172511121,48
sign_test_og_cel0.0,chunk_11,143,KR,0.24969733163060231,48
sign_test_og_cel0.0,chunk_11,143,MC,0.1613236057163184,48
sign_test_og_cel0.0,chunk_11,144,GR,0.2917457991604579,48
sign_test_og_cel0.0,chunk_11,144,IPC,0.27647648213358894,48
sign_test_og_cel0.0,chunk_11,144,KR,0.19009090593015385,48
sign_test_og_cel0.0,chunk_11,144,MC,0.16584550042738522,48
sign_test_og_cel0.0,chunk_11,145,GR,0.29241702080915033,48
sign_test_og_cel0.0,chunk_11,145,IPC,0.2869943690870147,48
sign_test_og_cel0.0,chunk_11,145,KR,0.2253764636784812,48
sign_test_og_cel0.0,chunk_11,145,MC,0.17188346818400393,48
sign_test_og_cel0.0,chunk_11,146,GR,0.3236718610606926,48
sign_test_og_cel0.0,chunk_11,146,IPC,0.2523609773240068,48
sign_test_og_cel0.0,chunk_11,146,KR,0.2434035082709027,48
sign_test_og_cel0.0,chunk_11,146,MC,0.16020424522247897,48
sign_test_og_cel0.0,chunk_11,147,GR,0.29256801653274916,48
sign_test_og_cel0.0,chunk_11,147,IPC,0.23255264168580664,48
sign_test_og_cel0.0,chunk_11,147,KR,0.19843474459572238,48
sign_test_og_cel0.0,chunk_11,147,MC,0.130877110181798,48
sign_test_og_cel0.0,chunk_11,148,GR,0.2409729501039454,48
sign_test_og_cel0.0,chunk_11,148,IPC,0.26914694461915284,48
sign_test_og_cel0.0,chunk_11,148,KR,0.16195121305533206,48
sign_test_og_cel0.0,chunk_11,148,MC,0.1338559263371127,48
sign_test_og_cel0.0,chunk_11,149,GR,0.2863728767163818,48
sign_test_og_cel0.0,chunk_11,149,IPC,0.29882765943265277,48
sign_test_og_cel0.0,chunk_11,149,KR,0.22704899789449173,48
sign_test_og_cel0.0,chunk_11,149,MC,0.17463654502595288,48
sign_test_og_cel0.0,chunk_11,150,GR,0.3042683689812959,48
sign_test_og_cel0.0,chunk_11,150,IPC,0.3113362055415567,48
sign_test_og_cel0.0,chunk_11,150,KR,0.23909398283521016,48
sign_test_og_cel0.0,chunk_11,150,MC,0.17820782926080958,48
sign_test_og_cel0.0,chunk_11,151,GR,0.25748436014473963,48
sign_test_og_cel0.0,chunk_11,151,IPC,0.25570771423075345,48
sign_test_og_cel0.0,chunk_11,151,KR,0.18058221765196397,48
sign_test_og_cel0.0,chunk_11,151,MC,0.1360108489929969,48
sign_test_og_cel0.0,chunk_11,152,GR,0.23165313422130074,48
sign_test_og_cel0.0,chunk_11,152,IPC,0.27074632986189184,48
sign_test_og_cel0.0,chunk_11,152,KR,0.17025175722620645,48
sign_test_og_cel0.0,chunk_11,152,MC,0.15263713946501975,48
sign_test_og_cel0.0,chunk_11,153,GR,0.2840011159021724,48
sign_test_og_cel0.0,chunk_11,153,IPC,0.2755021168498049,48
sign_test_og_cel0.0,chunk_11,153,KR,0.19775521792304454,48
sign_test_og_cel0.0,chunk_11,153,MC,0.16764415477536626,48
sign_test_og_cel0.0,chunk_12,154,GR,0.24759481425804877,48
sign_test_og_cel0.0,chunk_12,154,IPC,0.31508846412261793,48
sign_test_og_cel0.0,chunk_12,154,KR,0.17943498129178315,48
sign_test_og_cel0.0,chunk_12,154,MC,0.17252751889262796,48
sign_test_og_cel0.0,chunk_12,155,GR,0.3141337835325673,48
sign_test_og_cel0.0,chunk_12,155,IPC,0.2644329360063914,48
sign_test_og_cel0.0,chunk_12,155,KR,0.2190956471114083,48
sign_test_og_cel0.0,chunk_12,155,MC,0.162543738076277,48
sign_test_og_cel0.0,chunk_12,156,GR,0.24081933728931715,48
sign_test_og_cel0.0,chunk_12,156,IPC,0.3082581283670529,48
sign_test_og_cel0.0,chunk_12,156,KR,0.18238465405311421,48
sign_test_og_cel0.0,chunk_12,156,MC,0.17231576918328356,48
sign_test_og_cel0.0,chunk_12,157,GR,0.26476924529764895,48
sign_test_og_cel0.0,chunk_12,157,IPC,0.26758841411140694,48
sign_test_og_cel0.0,chunk_12,157,KR,0.18636745906169663,48
sign_test_og_cel0.0,chunk_12,157,MC,0.1684989184719681,48
sign_test_og_cel0.0,chunk_12,158,GR,0.27156992008159136,48
sign_test_og_cel0.0,chunk_12,158,IPC,0.2868703370884958,48
sign_test_og_cel0.0,chunk_12,158,KR,0.20396036206213564,48
sign_test_og_cel0.0,chunk_12,158,MC,0.18164531139860834,48
sign_test_og_cel0.0,chunk_12,159,GR,0.27380063502211094,48
sign_test_og_cel0.0,chunk_12,159,IPC,0.26450879805580435,48
sign_test_og_cel0.0,chunk_12,159,KR,0.1999369018384439,48
sign_test_og_cel0.0,chunk_12,159,MC,0.15488291551062475,48
sign_test_og_cel0.0,chunk_12,160,GR,0.27276936104176963,48
sign_test_og_cel0.0,chunk_12,160,IPC,0.28844428899452024,48
sign_test_og_cel0.0,chunk_12,160,KR,0.16033694246486083,48
sign_test_og_cel0.0,chunk_12,160,MC,0.1440938241914346,48
sign_test_og_cel0.0,chunk_12,161,GR,0.2757327432190527,48
sign_test_og_cel0.0,chunk_12,161,IPC,0.2494594875251444,48
sign_test_og_cel0.0,chunk_12,161,KR,0.19568145338453702,48
sign_test_og_cel0.0,chunk_12,161,MC,0.14519166180316,48
sign_test_og_cel0.0,chunk_12,162,GR,0.2902510089110317,48
sign_test_og_cel0.0,chunk_12,162,IPC,0.2716561744019432,48
sign_test_og_cel0.0,chunk_12,162,KR,0.18997870128498948,48
sign_test_og_cel0.0,chunk_12,162,MC,0.15258335172858142,48
sign_test_og_cel0.0,chunk_12,163,GR,0.2964461610011079,48
sign_test_og_cel0.0,chunk_12,163,IPC,0.30114554569619006,48
sign_test_og_cel0.0,chunk_12,163,KR,0.21727174066356383,48
sign_test_og_cel0.0,chunk_12,163,MC,0.1790994866313288,48
sign_test_og_cel0.0,chunk_12,164,GR,0.2520112581979631,48
sign_test_og_cel0.0,chunk_12,164,IPC,0.2865744664214057,48
sign_test_og_cel0.0,chunk_12,164,KR,0.14965840428153765,48
sign_test_og_cel0.0,chunk_12,164,MC,0.155761295487689,48
sign_test_og_cel0.0,chunk_12,165,GR,0.2346316289866152,48
sign_test_og_cel0.0,chunk_12,165,IPC,0.2764908563304768,48
sign_test_og_cel0.0,chunk_12,165,KR,0.1739287429045029,48
sign_test_og_cel0.0,chunk_12,165,MC,0.13781213631611736,48
sign_test_og_cel0.0,chunk_13,166,GR,0.33851170900147903,48
sign_test_og_cel0.0,chunk_13,166,IPC,0.2879649421088806,48
sign_test_og_cel0.0,chunk_13,166,KR,0.23223028418213812,48
sign_test_og_cel0.0,chunk_13,166,MC,0.15486232395594565,48
sign_test_og_cel0.0,chunk_13,167,GR,0.25799255936970805,48
sign_test_og_cel0.0,chunk_13,167,IPC,0.2875550243939582,48
sign_test_og_cel0.0,chunk_13,167,KR,0.2029133029296109,48
sign_test_og_cel0.0,chunk_13,167,MC,0.1819054546629455,48
sign_test_og_cel0.0,chunk_13,168,GR,0.3031216601270932,48
sign_test_og_cel0.0,chunk_13,168,IPC,0.2697119827941812,48
sign_test_og_cel0.0,chunk_13,168,KR,0.22060774407026246,48
sign_test_og_cel0.0,chunk_13,168,MC,0.1681946447056517,48
sign_test_og_cel0.0,chunk_13,169,GR,0.272186019064703,48
sign_test_og_cel0.0,chunk_13,169,IPC,0.2788669872366461,48
sign_test_og_cel0.0,chunk_13,169,KR,0.22630569599413908,48
sign_test_og_cel0.0,chunk_13,169,MC,0.17472339690722102,48
sign_test_og_cel0.0,chunk_13,170,GR,0.275205810831678,48
sign_test_og_cel0.0,chunk_13,170,IPC,0.2759462639251109,48
sign_test_og_cel0.0,chunk_13,170,KR,0.18389172835021714,48
sign_test_og_cel0.0,chunk_13,170,MC,0.16031796324072595,48
sign_test_og_cel0.0,chunk_13,171,GR,0.2554263282038146,48
sign_test_og_cel0.0,chunk_13,171,IPC,0.2799099827670436,48
sign_test_og_cel0.0,chunk_13,171,KR,0.20851651618462927,48
sign_test_og_cel0.0,chunk_13,171,MC,0.16034623414407717,48
sign_test_og_cel0.0,chunk_13,172,GR,0.2691507963638,48
sign_test_og_cel0.0,chunk_13,172,IPC,0.2611838383993527,48
sign_test_og_cel0.0,chunk_13,172,KR,0.19551396241037483,48
sign_test_og_cel0.0,chunk_13,172,MC,0.15532177938033093,48
sign_test_og_cel0.0,chunk_13,173,GR,0.23209817057773968,48
sign_test_og_cel0.0,chunk_13,173,IPC,0.30310597287956537,48
sign_test_og_cel0.0,chunk_13,173,KR,0.1852178459096764,48
sign_test_og_cel0.0,chunk_13,173,MC,0.15342757434292717,48
sign_test_og_cel0.0,chunk_13,174,GR,0.2604632854957329,48
sign_test_og_cel0.0,chunk_13,174,IPC,0.28834349072081145,48
