model,neuron_bias,capacity_threshold,order,parity,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
binary_base,0.0,0.0,1,odd,3.7274940517445443,0.5351565384446142,3.782939722735364,2.0040314731584234
binary_base,0.0,0.0,2,even,0.18178938883071377,0.026746842624046925,0.18191777093139194,0.09773634823977234
binary_base,0.0,0.0,3,odd,1.859997760349484,0.5066668300332656,1.8942152630912261,1.0
binary_base,0.0,0.0,4,even,0.16894670449505395,0.021457179554161883,0.16846302718298034,0.0908316709280928
binary_base,0.0,0.0,5,odd,0.8387109857022523,0.34757701351486076,0.8828555174003725,0.45092042774538765
binary_base,0.0,0.0,6,even,0.16511608389541144,0.023796820824901914,0.17326241117249305,0.08877219500758268
binary_base,0.0,0.0,7,odd,0.3061014645721646,0.1082494798666751,0.27912264157107813,0.16457087803947124
binary_base,0.0,0.0,8,even,0.1908838466076616,0.03444167540179628,0.1871127982004097,0.1026258475557495
binary_base,0.0,0.0,9,odd,0.2037431034859667,0.028304883382994764,0.20267517380881372,0.10953943484732176
binary_base,0.0,0.0,10,even,0.17378189260303775,0.03699691264312474,0.1737083808087263,0.09343123755718127
binary_base,0.0,0.001,1,odd,3.7165443479374516,0.5360152154343779,3.7711959670414217,2.0094508959959945
binary_base,0.0,0.001,2,even,0.16933248920831828,0.027756064342470972,0.16947214014362544,0.09155422088524848
binary_base,0.0,0.001,3,odd,1.8495323052396997,0.5073300425538735,1.883362713677343,1.0
binary_base,0.0,0.001,4,even,0.15607980988570488,0.021729850447414153,0.1563572256709449,0.08438879896476148
binary_base,0.0,0.001,5,odd,0.8272348186990712,0.34802063120009874,0.8736252872622572,0.4472670287269524
binary_base,0.0,0.001,6,even,0.1527393877215218,0.025088009412014747,0.15856195765081793,0.08258270876848876
binary_base,0.0,0.001,7,odd,0.2929965405666735,0.10851744548620233,0.26520229707239196,0.15841655738405774
binary_base,0.0,0.001,8,even,0.17944533721311018,0.0360676984321501,0.17653238400816917,0.09702200751224728
binary_base,0.0,0.001,9,odd,0.19202749255346135,0.029018050101868403,0.18915641243802384,0.1038248923846586
binary_base,0.0,0.001,10,even,0.16153394882567226,0.038229053906904856,0.1632828658912331,0.0873377276882641
binary_base,0.0,0.005,1,odd,3.658683625026606,0.5304307333430465,3.7086879489943385,2.056982591541165
binary_base,0.0,0.005,2,even,0.09907915706280619,0.029505133059825384,0.1002119961194694,0.05570421554590775
binary_base,0.0,0.005,3,odd,1.7786653324496,0.5067714735195101,1.8233119559008628,1.0
binary_base,0.0,0.005,4,even,0.08113346139434725,0.0209182878545155,0.0764022006187588,0.04561479886866027
binary_base,0.0,0.005,5,odd,0.7600083674071356,0.3494602877943702,0.8059374943841249,0.4272913816566283
binary_base,0.0,0.005,6,even,0.07921862555667758,0.023365764889610455,0.07866188953630626,0.044538241180861554
binary_base,0.0,0.005,7,odd,0.22557948131579905,0.1050571008314096,0.19678376195952296,0.1268251408516116
binary_base,0.0,0.005,8,even,0.10347170627210289,0.03384057610057679,0.10020962893031538,0.05817379154154895
binary_base,0.0,0.005,9,odd,0.11655931724235416,0.03193253383193438,0.12368733272887766,0.06553189918073414
binary_base,0.0,0.005,10,even,0.0884377023205161,0.0395318430677155,0.08262764452956617,0.04972138417895547
binary_base,0.0,0.01,1,odd,3.605299249989912,0.5320680343872733,3.6811659396626055,2.0892997036957186
binary_base,0.0,0.01,2,even,0.047750868881121275,0.02278943598358872,0.046249622479081154,0.027672009807457435
