mode,src,group_id,metric,dispersion,n_hparams
binary+conshuffle+wshuffle,chunk_0,0,GR,0.7263608523241938,48
binary+conshuffle+wshuffle,chunk_0,0,IPC,0.3058564498832472,48
binary+conshuffle+wshuffle,chunk_0,0,KR,0.5799789166852038,48
binary+conshuffle+wshuffle,chunk_0,0,MC,0.44956414668412475,48
binary+conshuffle+wshuffle,chunk_0,1,GR,0.6726520266563817,48
binary+conshuffle+wshuffle,chunk_0,1,IPC,0.2946593618956936,48
binary+conshuffle+wshuffle,chunk_0,1,KR,0.47920633896118964,48
binary+conshuffle+wshuffle,chunk_0,1,MC,0.3942979147182206,48
binary+conshuffle+wshuffle,chunk_0,2,GR,0.6925318454320188,48
binary+conshuffle+wshuffle,chunk_0,2,IPC,0.33372492237575546,48
binary+conshuffle+wshuffle,chunk_0,2,KR,0.494057815283348,48
binary+conshuffle+wshuffle,chunk_0,2,MC,0.42964361330401407,48
binary+conshuffle+wshuffle,chunk_0,3,GR,0.6960664219378426,48
binary+conshuffle+wshuffle,chunk_0,3,IPC,0.3140912062528505,48
binary+conshuffle+wshuffle,chunk_0,3,KR,0.5199655985030954,48
binary+conshuffle+wshuffle,chunk_0,3,MC,0.41720443977936444,48
binary+conshuffle+wshuffle,chunk_0,4,GR,0.7110342726091584,48
binary+conshuffle+wshuffle,chunk_0,4,IPC,0.3124999697438452,48
binary+conshuffle+wshuffle,chunk_0,4,KR,0.5567431298305986,48
binary+conshuffle+wshuffle,chunk_0,4,MC,0.44404566795399714,48
binary+conshuffle+wshuffle,chunk_0,5,GR,0.7032640028718121,48
binary+conshuffle+wshuffle,chunk_0,5,IPC,0.2905546661753504,48
binary+conshuffle+wshuffle,chunk_0,5,KR,0.5496608801115426,48
binary+conshuffle+wshuffle,chunk_0,5,MC,0.40981345355509846,48
binary+conshuffle+wshuffle,chunk_0,6,GR,0.7173211683525269,48
binary+conshuffle+wshuffle,chunk_0,6,IPC,0.3120283577617647,48
binary+conshuffle+wshuffle,chunk_0,6,KR,0.5290851451221917,48
binary+conshuffle+wshuffle,chunk_0,6,MC,0.41378493931925014,48
binary+conshuffle+wshuffle,chunk_0,7,GR,0.6656689615630148,48
binary+conshuffle+wshuffle,chunk_0,7,IPC,0.3223861805922452,48
binary+conshuffle+wshuffle,chunk_0,7,KR,0.46983534970843516,48
binary+conshuffle+wshuffle,chunk_0,7,MC,0.41262641358459223,48
binary+conshuffle+wshuffle,chunk_1,10,GR,0.7190983153707188,48
binary+conshuffle+wshuffle,chunk_1,10,IPC,0.2813396872247015,48
binary+conshuffle+wshuffle,chunk_1,10,KR,0.5527461823409191,48
binary+conshuffle+wshuffle,chunk_1,10,MC,0.4522794084484705,48
binary+conshuffle+wshuffle,chunk_1,11,GR,0.6709049129184813,48
binary+conshuffle+wshuffle,chunk_1,11,IPC,0.2980942253134616,48
binary+conshuffle+wshuffle,chunk_1,11,KR,0.48776493389859427,48
binary+conshuffle+wshuffle,chunk_1,11,MC,0.41101439267316886,48
binary+conshuffle+wshuffle,chunk_1,12,GR,0.6851411639648629,48
binary+conshuffle+wshuffle,chunk_1,12,IPC,0.3141209813048793,48
