mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src
shuffle,0,0.6,0.6,0.1,7.974729537963867,9.622474253177645,4.231500625610352,4.587268829345703,chunk_0
shuffle,0,0.6,0.6,0.5,5.996163845062256,9.489012777805328,5.315855979919434,8.501228332519531,chunk_0
shuffle,0,0.6,0.6,1.0,3.778904914855957,5.339973628520966,5.817915439605713,11.083621978759766,chunk_0
shuffle,0,0.6,0.6,1.5,2.801257848739624,4.510830700397492,5.817323684692383,12.595964431762695,chunk_0
shuffle,0,0.6,0.8,0.1,8.936010360717773,10.592226922512054,4.183392524719238,4.510972023010254,chunk_0
shuffle,0,0.6,0.8,0.5,5.3105058670043945,8.912674903869629,5.27130651473999,8.492414474487305,chunk_0
shuffle,0,0.6,0.8,1.0,3.648099660873413,5.185686826705933,7.329542636871338,15.213746070861816,chunk_0
shuffle,0,0.6,0.8,1.5,4.000540733337402,4.872387290000916,8.050251960754395,18.98095703125,chunk_0
shuffle,0,0.6,1.0,0.1,10.085180282592772,12.416350662708282,4.101910591125488,4.408105850219727,chunk_0
shuffle,0,0.6,1.0,0.5,6.584430694580078,9.774952471256256,7.63140058517456,12.953819274902344,chunk_0
shuffle,0,0.6,1.0,1.0,6.282403945922852,8.069596290588379,9.904019355773926,21.293920516967773,chunk_0
shuffle,0,0.6,1.0,1.5,3.6420469284057617,4.854302704334259,10.18224811553955,25.101821899414062,chunk_0
shuffle,0,0.8,0.6,0.1,9.472804069519045,10.633395254611967,5.902419567108154,6.725289821624756,chunk_0
shuffle,0,0.8,0.6,0.5,5.91866397857666,8.981627106666565,7.828817844390869,13.51131534576416,chunk_0
shuffle,0,0.8,0.6,1.0,3.865198850631714,5.325745046138763,10.578845024108888,21.770647048950195,chunk_0
shuffle,0,0.8,0.6,1.5,3.032517194747925,4.447268784046173,10.256450653076172,23.842512130737305,chunk_0
shuffle,0,0.8,0.8,0.1,12.13090991973877,15.010958671569824,6.8133320808410645,7.723673820495605,chunk_0
shuffle,0,0.8,0.8,0.5,6.463291168212891,9.502334356307983,11.207204818725586,19.207046508789062,chunk_0
shuffle,0,0.8,0.8,1.0,3.426055192947388,4.120354115962982,9.885453224182127,21.03494453430176,chunk_0
shuffle,0,0.8,0.8,1.5,3.79388427734375,5.826384603977203,13.347015380859377,33.67002487182617,chunk_0
shuffle,0,0.8,1.0,0.1,13.794469833374023,17.06829857826233,9.597860336303713,12.039068222045898,chunk_0
shuffle,0,0.8,1.0,0.5,7.614575386047363,11.10413771867752,14.30013656616211,26.03454971313477,chunk_0
