mode,src,group_id,metric,dispersion,n_hparams
cel+randN,chunk_0,0,GR,0.6922125610666924,48
cel+randN,chunk_0,0,IPC,0.45624657029972593,48
cel+randN,chunk_0,0,KR,0.5927580522388901,48
cel+randN,chunk_0,0,MC,0.5354185261249167,48
cel+randN,chunk_0,1,GR,0.6861231924230156,48
cel+randN,chunk_0,1,IPC,0.40617208771879076,48
cel+randN,chunk_0,1,KR,0.5680028548555041,48
cel+randN,chunk_0,1,MC,0.512254756348984,48
cel+randN,chunk_0,10,GR,0.765314012433297,48
cel+randN,chunk_0,10,IPC,0.42403567856632907,48
cel+randN,chunk_0,10,KR,0.6584124874368457,48
cel+randN,chunk_0,10,MC,0.4965078856585036,48
cel+randN,chunk_0,11,GR,0.698876352574904,48
cel+randN,chunk_0,11,IPC,0.42887640213438194,48
cel+randN,chunk_0,11,KR,0.592149548296074,48
cel+randN,chunk_0,11,MC,0.5359278096373025,48
cel+randN,chunk_0,12,GR,0.6898685966775041,48
cel+randN,chunk_0,12,IPC,0.435177488436068,48
cel+randN,chunk_0,12,KR,0.5692417566515718,48
cel+randN,chunk_0,12,MC,0.550442498942235,48
cel+randN,chunk_0,13,GR,0.7214111016586855,48
cel+randN,chunk_0,13,IPC,0.4433707301567017,48
cel+randN,chunk_0,13,KR,0.6406682765491459,48
cel+randN,chunk_0,13,MC,0.5497287350706437,48
cel+randN,chunk_0,14,GR,0.7250008152499774,48
cel+randN,chunk_0,14,IPC,0.4420935273216142,48
cel+randN,chunk_0,14,KR,0.6491570541657582,48
cel+randN,chunk_0,14,MC,0.5364869897925796,48
cel+randN,chunk_0,2,GR,0.7415219990431356,48
cel+randN,chunk_0,2,IPC,0.42590788279508174,48
cel+randN,chunk_0,2,KR,0.6436712965998264,48
cel+randN,chunk_0,2,MC,0.5174459758191372,48
cel+randN,chunk_0,3,GR,0.7864142566617244,48
cel+randN,chunk_0,3,IPC,0.44306040312427086,48
cel+randN,chunk_0,3,KR,0.7017922114631966,48
cel+randN,chunk_0,3,MC,0.5439557410615518,48
cel+randN,chunk_0,4,GR,0.6496673513723148,48
cel+randN,chunk_0,4,IPC,0.4288625739428071,48
cel+randN,chunk_0,4,KR,0.5372004482442246,48
cel+randN,chunk_0,4,MC,0.5202235069603042,48
cel+randN,chunk_0,5,GR,0.6853374890837247,48
cel+randN,chunk_0,5,IPC,0.43129568476740865,48
cel+randN,chunk_0,5,KR,0.5891424779167211,48
cel+randN,chunk_0,5,MC,0.5346883185925386,48
cel+randN,chunk_0,6,GR,0.7311456691613765,48
cel+randN,chunk_0,6,IPC,0.4519392444987826,48
cel+randN,chunk_0,6,KR,0.6348750932579046,48
cel+randN,chunk_0,6,MC,0.5298353495559084,48
cel+randN,chunk_0,7,GR,0.7065568216432948,48
cel+randN,chunk_0,7,IPC,0.43290893858689017,48
cel+randN,chunk_0,7,KR,0.6013768466430931,48
cel+randN,chunk_0,7,MC,0.5276160673645063,48
cel+randN,chunk_0,8,GR,0.69565532114239,48
cel+randN,chunk_0,8,IPC,0.42449314936614285,48
cel+randN,chunk_0,8,KR,0.5947873318867408,48
cel+randN,chunk_0,8,MC,0.5019464182372583,48
cel+randN,chunk_0,9,GR,0.745106655125781,48
