mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,meansrc
weight_test0.0,18,0.6,0.6,0.1,3.700939655303955,4.006417512893677,1.4467473030090332,1.4858269691467285,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,0.6,0.5,4.028185844421387,5.661483526229858,1.999699354171753,2.597856044769287,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,0.6,1.0,2.6109671592712402,4.90712034702301,2.0133602619171143,3.079949140548706,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,0.6,1.5,2.625805377960205,4.515633583068848,2.079141139984131,3.535633087158203,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,0.8,0.1,5.036243438720703,5.197513520717621,1.6173791885375977,1.6664904356002808,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,0.8,0.5,4.929582595825195,6.368129014968872,1.860729455947876,2.4092555046081543,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,0.8,1.0,3.424433708190918,5.742721140384674,2.1185131072998047,3.27097749710083,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,0.8,1.5,2.351811170578003,4.074337065219879,2.370144844055176,4.297729969024658,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,1.0,0.1,5.169260501861572,5.686104774475098,1.7250518798828125,1.7773247957229614,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,1.0,0.5,3.4801716804504395,5.5714141726493835,2.113436222076416,2.830537796020508,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,1.0,1.0,3.9050674438476562,6.134308218955994,2.2553539276123047,3.5885438919067383,0.0013699823757633567,chunk_6
weight_test0.0,18,0.6,1.0,1.5,3.5683374404907227,4.548927128314972,2.65482759475708,4.685436248779297,0.0013699823757633567,chunk_6
weight_test0.0,18,0.8,0.6,0.1,4.0517473220825195,4.268408834934235,1.9727462530136108,2.0335564613342285,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,0.6,0.5,4.617364406585693,6.304615616798401,2.2964982986450195,3.202641248703003,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,0.6,1.0,3.331216812133789,4.335788249969482,2.5330748558044434,4.039881706237793,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,0.6,1.5,2.379424810409546,3.8495636582374573,2.663898229598999,4.768815517425537,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,0.8,0.1,5.228930473327637,5.790682256221771,2.2991316318511963,2.396426200866699,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,0.8,0.5,4.430347919464111,6.520881772041321,2.3588881492614746,3.0966153144836426,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,0.8,1.0,2.434659957885742,4.175847291946411,2.67497181892395,4.346456527709961,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,0.8,1.5,1.8452868461608887,2.9115719199180603,3.165062427520752,5.787986755371094,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,1.0,0.1,5.98414945602417,6.352797210216522,2.3429431915283203,2.401560068130493,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,1.0,0.5,5.274796009063721,7.917013049125671,2.995516061782837,4.00814962387085,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,1.0,1.0,4.792638778686523,7.314373075962067,3.097017288208008,5.2676615715026855,0.001826643361710012,chunk_6
weight_test0.0,18,0.8,1.0,1.5,3.5594444274902344,5.0802600383758545,2.9076671600341797,5.437928199768066,0.001826643361710012,chunk_6
weight_test0.0,18,0.95,0.6,0.1,5.582202434539795,6.135860323905945,2.0964741706848145,2.0988926887512207,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,0.6,0.5,3.954146146774292,5.793248116970062,1.9872709512710571,2.6582207679748535,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,0.6,1.0,2.2377872467041016,3.7429452538490295,3.084444999694824,5.1163010597229,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,0.6,1.5,1.80154287815094,2.6682258248329163,2.7275688648223877,5.078823089599609,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,0.8,0.1,5.530449390411377,6.362593114376068,2.1621625423431396,2.222175121307373,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,0.8,0.5,3.226087808609009,4.997374594211578,3.304370164871216,4.543784141540527,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,0.8,1.0,3.11330246925354,4.969837307929993,3.7415781021118164,6.748292446136475,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,0.8,1.5,2.265082836151123,2.615301549434662,3.7276737689971924,7.507256507873535,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,1.0,0.1,6.713289260864258,7.651920199394226,2.9453186988830566,3.1221816539764404,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,1.0,0.5,5.737491130828857,7.406434178352356,2.9543426036834717,4.096757411956787,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,1.0,1.0,3.191448450088501,4.966289699077606,4.966313362121582,9.791950225830078,0.002169138751924038,chunk_6
weight_test0.0,18,0.95,1.0,1.5,3.331770896911621,4.385724604129791,3.7572455406188965,7.588931083679199,0.002169138751924038,chunk_6
weight_test0.0,18,1.05,0.6,0.1,5.156651973724365,6.535948932170868,2.8386144638061523,3.1212003231048584,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,0.6,0.5,3.8962533473968506,5.470509231090546,3.6014115810394287,4.987687110900879,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,0.6,1.0,1.5377197265625,2.755516469478607,3.259833335876465,5.466911792755127,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,0.6,1.5,1.9114865064620972,2.9196953773498535,2.8440985679626465,5.199769496917725,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,0.8,0.1,4.794421672821045,6.555951714515686,2.5282485485076904,2.8606433868408203,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,0.8,0.5,3.663712501525879,5.133904576301575,3.49692964553833,4.868363857269287,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,0.8,1.0,2.157933235168457,3.6146251559257507,4.069573879241943,7.331947326660156,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,0.8,1.5,2.06378173828125,3.149440288543701,4.389515399932861,9.05423355102539,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,1.0,0.1,6.1223907470703125,8.707674026489258,2.513878345489502,2.856240749359131,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,1.0,0.5,4.879863262176514,6.536379754543304,3.7161672115325928,5.514044761657715,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,1.0,1.0,3.43674898147583,4.396463096141815,4.315903186798096,7.986831188201904,0.0023974692448973656,chunk_6
weight_test0.0,18,1.05,1.0,1.5,3.423563003540039,4.373666763305664,4.054650783538818,8.591347694396973,0.0023974692448973656,chunk_6
weight_test1.0,18,0.6,0.6,0.1,3.820087194442749,4.145738065242767,1.4906208515167236,1.5310518741607666,0.001377374166622758,chunk_6
weight_test1.0,18,0.6,0.6,0.5,3.81203031539917,5.150586009025574,2.0052101612091064,2.6014468669891357,0.0013661787379533052,chunk_6
weight_test1.0,18,0.6,0.6,1.0,3.0990421772003174,5.653249442577362,2.0432510375976562,3.1384496688842773,0.0013697108952328563,chunk_6
weight_test1.0,18,0.6,0.6,1.5,2.463061571121216,3.7870326042175293,2.150322914123535,3.6945960521698,0.0013821644242852926,chunk_6
weight_test1.0,18,0.6,0.8,0.1,5.116692543029785,5.292199730873108,1.609307885169983,1.6582940816879272,0.0013629645109176636,chunk_6
weight_test1.0,18,0.6,0.8,0.5,4.642123699188232,6.62671434879303,1.949223279953003,2.531475305557251,0.0013885959051549435,chunk_6
weight_test1.0,18,0.6,0.8,1.0,2.8486526012420654,4.971841514110565,2.113126039505005,3.2681312561035156,0.001334447879344225,chunk_6
weight_test1.0,18,0.6,0.8,1.5,2.284667491912842,3.660735070705414,2.455684185028076,4.515843391418457,0.0013856061268597841,chunk_6
weight_test1.0,18,0.6,1.0,0.1,5.23689079284668,5.778959512710571,1.7474901676177979,1.8020225763320923,0.0013814345002174377,chunk_6
weight_test1.0,18,0.6,1.0,0.5,3.4250354766845703,6.075482606887817,2.1146817207336426,2.8261539936065674,0.001364583964459598,chunk_6
weight_test1.0,18,0.6,1.0,1.0,2.9555301666259766,4.787546098232269,2.350586414337158,3.793691873550415,0.001377757522277534,chunk_6
weight_test1.0,18,0.6,1.0,1.5,3.492780923843384,4.77708625793457,2.735675573348999,4.864741802215576,0.0013723792508244514,chunk_6
weight_test1.0,18,0.8,0.6,0.1,4.072926998138428,4.294461607933044,1.979396939277649,2.041067123413086,0.0018448034534230828,chunk_6
weight_test1.0,18,0.8,0.6,0.5,4.46455192565918,6.436896324157715,2.4256300926208496,3.3792543411254883,0.0018611922860145569,chunk_6
weight_test1.0,18,0.8,0.6,1.0,3.2541725635528564,4.546413838863373,2.6461615562438965,4.218263149261475,0.0018230295972898602,chunk_6
weight_test1.0,18,0.8,0.6,1.5,3.082469940185547,3.3623040318489075,2.6821746826171875,4.8484015464782715,0.0018553015543147922,chunk_6
weight_test1.0,18,0.8,0.8,0.1,5.297338485717773,5.891720414161682,2.322918653488159,2.4232494831085205,0.0018441933207213879,chunk_6
weight_test1.0,18,0.8,0.8,0.5,4.236196994781494,5.749749779701233,2.4274415969848633,3.205064535140991,0.0018382471753284335,chunk_6
weight_test1.0,18,0.8,0.8,1.0,2.1862313747406006,3.1260480880737305,2.7388906478881836,4.467710971832275,0.0018127685179933906,chunk_6
weight_test1.0,18,0.8,0.8,1.5,1.3511227369308472,2.5572033524513245,3.331818103790283,6.183699607849121,0.0018401603447273374,chunk_6
weight_test1.0,18,0.8,1.0,0.1,5.973201751708984,6.350529193878174,2.3799941539764404,2.4444406032562256,0.0018241937505081296,chunk_6
weight_test1.0,18,0.8,1.0,0.5,4.6503825187683105,6.484257340431213,3.0157203674316406,4.052005290985107,0.0018335588974878192,chunk_6
weight_test1.0,18,0.8,1.0,1.0,3.5574684143066406,5.358766555786133,3.1771352291107178,5.438004493713379,0.0018094328697770834,chunk_6
weight_test1.0,18,0.8,1.0,1.5,3.670269012451172,5.018460929393768,2.9959964752197266,5.65525484085083,0.0018203230574727058,chunk_6
weight_test1.0,18,0.95,0.6,0.1,5.782744407653809,6.400675475597382,2.224661350250244,2.224661111831665,0.002196846529841423,chunk_6
weight_test1.0,18,0.95,0.6,0.5,4.475172996520996,6.902885138988495,2.040982961654663,2.7549757957458496,0.00217128312215209,chunk_6
weight_test1.0,18,0.95,0.6,1.0,3.1119112968444824,3.647308051586151,3.051234483718872,5.077239513397217,0.002143245190382004,chunk_6
weight_test1.0,18,0.95,0.6,1.5,1.9756689071655273,3.1367982029914856,2.7893426418304443,5.249311923980713,0.002160133793950081,chunk_6
weight_test1.0,18,0.95,0.8,0.1,5.611574172973633,6.45747184753418,2.23408842086792,2.295168161392212,0.002145270351320505,chunk_6
weight_test1.0,18,0.95,0.8,0.5,4.441003799438477,6.411287486553192,3.399827718734741,4.717888355255127,0.0021317056380212307,chunk_6
weight_test1.0,18,0.95,0.8,1.0,4.03672981262207,6.008696258068085,3.859497547149658,7.020560264587402,0.0021928586065769196,chunk_6
weight_test1.0,18,0.95,0.8,1.5,1.6516225337982178,2.6920175552368164,3.7974729537963867,7.715877056121826,0.0021751178428530693,chunk_6
weight_test1.0,18,0.95,1.0,0.1,6.934035778045654,7.904081642627716,2.9424211978912354,3.1208655834198,0.0021383101120591164,chunk_6
weight_test1.0,18,0.95,1.0,0.5,6.02325963973999,8.700505554676056,3.0074784755706787,4.203376770019531,0.002173936227336526,chunk_6
weight_test1.0,18,0.95,1.0,1.0,2.971069574356079,4.368558704853058,5.180273056030273,10.368192672729492,0.0021602418273687363,chunk_6
weight_test1.0,18,0.95,1.0,1.5,3.582944869995117,4.731122553348541,3.8835787773132324,7.94801139831543,0.0021342479158192873,chunk_6
weight_test1.0,18,1.05,0.6,0.1,4.810711860656738,5.600628852844238,2.949465274810791,3.251271963119507,0.0024017521645873785,chunk_6
weight_test1.0,18,1.05,0.6,0.5,4.094842910766602,5.685079574584961,3.616703748703003,5.010403156280518,0.002370384754613042,chunk_6
