mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,cosine_similaritysrc
weight_test0.01,0,0.6,0.6,0.1,3.9929208755493164,4.584263741970062,1.5450886487960815,1.6082558631896973,0.0013696920359507203,0.9999817609786987,manual
weight_test0.01,0,0.6,0.6,0.5,2.9190125465393066,3.9615598320961,2.0291030406951904,2.6051809787750244,0.001369847566820681,0.9999820590019226,manual
weight_test0.01,0,0.6,0.6,1.0,1.6768615245819092,2.430053234100342,2.0037782192230225,3.1075544357299805,0.0013697848189622164,0.9999829530715942,manual
weight_test0.01,0,0.6,0.6,1.5,2.556392192840576,3.674062132835388,2.0909759998321533,3.7017602920532227,0.0013703500153496861,0.9999824166297913,manual
weight_test0.01,0,0.6,0.8,0.1,4.600316524505615,5.144037365913391,1.6515090465545654,1.7069814205169678,0.0013698332477360964,0.9999827146530151,manual
weight_test0.01,0,0.6,0.8,0.5,3.5481534004211426,5.016902029514313,1.882193684577942,2.442258596420288,0.0013701107818633318,0.9999827742576599,manual
weight_test0.01,0,0.6,0.8,1.0,1.6924464702606201,2.64061039686203,2.018523931503296,3.237180233001709,0.0013701394200325012,0.9999825954437256,manual
weight_test0.01,0,0.6,0.8,1.5,1.6011321544647217,2.740802824497223,2.3573241233825684,4.107396125793457,0.0013694025110453367,0.9999828338623047,manual
weight_test0.01,0,0.6,1.0,0.1,4.873983383178711,5.730482220649719,1.6852898597717285,1.7544195652008057,0.0013700755080208182,0.9999819993972778,manual
weight_test0.01,0,0.6,1.0,0.5,4.6719651222229,6.446466028690338,1.9659357070922852,2.5628573894500732,0.0013700162526220083,0.9999827742576599,manual
weight_test0.01,0,0.6,1.0,1.0,2.960219383239746,4.05769944190979,2.3847830295562744,3.9282007217407227,0.001369814039207995,0.9999816417694092,manual
weight_test0.01,0,0.6,1.0,1.5,2.8512589931488037,4.435144245624542,2.6566901206970215,4.832860469818115,0.0013697051908820868,0.999982476234436,manual
weight_test0.01,0,0.8,0.6,0.1,5.1137800216674805,5.130667865276337,2.070812940597534,2.1195621490478516,0.0018265818944200873,0.9999827146530151,manual
weight_test0.01,0,0.8,0.6,0.5,4.213907241821289,6.360100150108337,1.9675432443618774,2.5654544830322266,0.0018269740976393223,0.9999828934669495,manual
weight_test0.01,0,0.8,0.6,1.0,2.0220484733581543,3.0355932116508484,2.507171154022217,3.9360511302948,0.0018267681589350104,0.9999822378158569,manual
weight_test0.01,0,0.8,0.6,1.5,1.6490097045898438,1.9384070038795471,2.5095012187957764,4.438398838043213,0.0018263183301314712,0.9999821186065674,manual
weight_test0.01,0,0.8,0.8,0.1,6.065855979919434,6.700434923171997,1.8804885149002075,1.950115442276001,0.0018270256696268916,0.9999818801879883,manual
weight_test0.01,0,0.8,0.8,0.5,4.189076900482178,6.66473263502121,2.0598232746124268,2.722026824951172,0.0018266037805005908,0.9999824166297913,manual
weight_test0.01,0,0.8,0.8,1.0,2.519212245941162,3.6376134157180786,2.7811269760131836,4.459015846252441,0.0018265573307871819,0.9999819397926331,manual
weight_test0.01,0,0.8,0.8,1.5,3.243482828140259,4.966510891914368,3.1437325477600098,5.92158842086792,0.0018267304403707385,0.9999824166297913,manual
weight_test0.01,0,0.8,1.0,0.1,6.302934646606445,6.951758623123169,2.2421586513519287,2.323354959487915,0.0018271610606461763,0.9999818801879883,manual
weight_test0.01,0,0.8,1.0,0.5,5.080733776092529,6.842831194400787,2.7129759788513184,3.7766969203948975,0.0018267956329509616,0.9999822974205017,manual
weight_test0.01,0,0.8,1.0,1.0,4.222132682800293,5.065888822078705,2.9011154174804688,4.87582540512085,0.0018270604778081179,0.999983012676239,manual
weight_test0.01,0,0.8,1.0,1.5,3.4499754905700684,4.434715628623962,3.627511739730835,7.1209001541137695,0.0018267491832375526,0.9999825954437256,manual
weight_test0.01,0,0.95,0.6,0.1,5.393518924713135,5.5489789843559265,2.168837070465088,2.313838481903076,0.0021698034834116697,0.9999818801879883,manual
weight_test0.01,0,0.95,0.6,0.5,3.5665950775146484,4.283742725849152,2.3704092502593994,3.2260007858276367,0.002168908715248108,0.9999807476997375,manual
weight_test0.01,0,0.95,0.6,1.0,2.5699615478515625,3.311614751815796,2.712371349334717,4.530791282653809,0.0021699387580156326,0.9999821782112122,manual
weight_test0.01,0,0.95,0.6,1.5,2.4703619480133057,2.8121047019958496,2.6974599361419678,4.937458038330078,0.0021694337483495474,0.9999825358390808,manual
weight_test0.01,0,0.95,0.8,0.1,5.184682369232178,5.910880148410797,2.1513636112213135,2.265328884124756,0.0021692353766411543,0.999982476234436,manual
weight_test0.01,0,0.95,0.8,0.5,4.17185640335083,5.3853976130485535,2.9894187450408936,4.182259559631348,0.002169885439798236,0.9999820590019226,manual
weight_test0.01,0,0.95,0.8,1.0,1.8713915348052979,2.3017478585243225,3.051905870437622,5.461660385131836,0.0021690146531909704,0.9999819993972778,manual
weight_test0.01,0,0.95,0.8,1.5,1.795116662979126,3.052483558654785,2.999049186706543,5.597177028656006,0.002169407671317458,0.9999819993972778,manual
weight_test0.01,0,0.95,1.0,0.1,6.149173736572266,7.109955906867981,2.3804705142974854,2.471768856048584,0.0021702698431909084,0.9999817609786987,manual
weight_test0.01,0,0.95,1.0,0.5,5.532233238220215,7.66643625497818,3.4571421146392822,4.995793342590332,0.002169906860217452,0.9999819993972778,manual
weight_test0.01,0,0.95,1.0,1.0,3.6135053634643555,5.509905397891998,3.8859574794769287,7.1546807289123535,0.002170032123103738,0.9999819397926331,manual
weight_test0.01,0,0.95,1.0,1.5,2.3550100326538086,4.099833846092224,3.57856822013855,7.096211910247803,0.0021694148890674114,0.9999821186065674,manual
weight_test0.01,0,1.05,0.6,0.1,2.9211843013763428,4.463077127933502,2.247296094894409,2.615847110748291,0.0023972317576408386,0.9999822378158569,manual
weight_test0.01,0,1.05,0.6,0.5,3.0740864276885986,4.002975165843964,3.432655096054077,4.762126445770264,0.0023971672635525465,0.9999811053276062,manual
weight_test0.01,0,1.05,0.6,1.0,2.599419116973877,3.3383669257164,3.3226146697998047,5.667181015014648,0.0023979900870472193,0.9999830722808838,manual
weight_test0.01,0,1.05,0.6,1.5,2.1952924728393555,3.717684745788574,3.176515579223633,5.7252373695373535,0.002396839438006282,0.9999818205833435,manual
weight_test0.01,0,1.05,0.8,0.1,4.983743190765381,6.131448268890381,2.921198844909668,3.244365930557251,0.0023976564407348633,0.999982476234436,manual
weight_test0.01,0,1.05,0.8,0.5,3.7667317390441895,5.250906467437744,3.5348141193389893,5.046041488647461,0.0023978110402822495,0.9999831318855286,manual
weight_test0.01,0,1.05,0.8,1.0,3.3256161212921143,4.507674872875214,3.260498285293579,5.650118350982666,0.002397415228188038,0.9999808669090271,manual
weight_test0.01,0,1.05,0.8,1.5,2.542830228805542,3.509899318218231,4.448980331420898,9.03085994720459,0.0023967421147972345,0.9999826550483704,manual
