mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src
local_sign+sample,175,0.6,0.6,0.1,4.680866241455078,5.174508988857269,1.9071544408798218,1.9698220491409302,chunk_7
local_sign+sample,175,0.6,0.6,0.5,4.2823896408081055,6.73953902721405,2.0328280925750732,2.742314338684082,chunk_7
local_sign+sample,175,0.6,0.6,1.0,2.8803043365478516,4.535926401615143,2.3505256175994873,3.7454984188079834,chunk_7
local_sign+sample,175,0.6,0.6,1.5,1.6229605674743652,2.484839975833893,3.012723445892334,5.465731143951416,chunk_7
local_sign+sample,175,0.6,0.8,0.1,5.107686996459961,5.846257150173187,1.8165181875228882,1.8855034112930298,chunk_7
local_sign+sample,175,0.6,0.8,0.5,3.9529566764831543,5.860370576381683,2.514660120010376,3.4195332527160645,chunk_7
local_sign+sample,175,0.6,0.8,1.0,2.2125167846679688,3.4400545954704285,3.1389105319976807,5.469422340393066,chunk_7
local_sign+sample,175,0.6,0.8,1.5,3.1627748012542725,4.641709208488464,3.0989859104156494,5.969611167907715,chunk_7
local_sign+sample,175,0.6,1.0,0.1,6.21624755859375,7.019921839237213,2.094449281692505,2.1871087551116943,chunk_7
local_sign+sample,175,0.6,1.0,0.5,5.564998626708984,8.208938539028168,2.9386322498321533,4.385423183441162,chunk_7
local_sign+sample,175,0.6,1.0,1.0,2.945117235183716,4.337734520435333,3.0893332958221436,5.345551490783691,chunk_7
local_sign+sample,175,0.6,1.0,1.5,2.7731921672821045,4.57736349105835,3.5525667667388916,7.072209358215332,chunk_7
local_sign+sample,175,0.8,0.6,0.1,5.406862258911133,5.929320394992828,1.8684059381484985,1.9403059482574463,chunk_7
local_sign+sample,175,0.8,0.6,0.5,4.487432956695557,7.185823738574982,2.63061785697937,3.682772397994995,chunk_7
local_sign+sample,175,0.8,0.6,1.0,2.057839870452881,3.4456323385238647,3.4988908767700195,5.857090950012207,chunk_7
local_sign+sample,175,0.8,0.6,1.5,2.6383681297302246,3.862592339515686,2.9398128986358643,5.475051403045654,chunk_7
local_sign+sample,175,0.8,0.8,0.1,7.001673698425293,8.251120388507843,2.9276700019836426,3.050682544708252,chunk_7
local_sign+sample,175,0.8,0.8,0.5,4.980780124664307,7.575064957141876,2.769577741622925,3.899874687194824,chunk_7
local_sign+sample,175,0.8,0.8,1.0,2.965627670288086,4.441870391368866,3.365074634552002,6.084331035614014,chunk_7
local_sign+sample,175,0.8,0.8,1.5,2.9363598823547363,4.69340980052948,3.773477554321289,7.833169937133789,chunk_7
local_sign+sample,175,0.8,1.0,0.1,7.594102382659912,8.81627506017685,2.791132688522339,2.915433406829834,chunk_7
local_sign+sample,175,0.8,1.0,0.5,4.795129776000977,7.735460102558136,4.125082969665527,6.3467631340026855,chunk_7
local_sign+sample,175,0.8,1.0,1.0,4.703640460968018,7.1574559807777405,4.693805694580078,9.007406234741211,chunk_7
local_sign+sample,175,0.8,1.0,1.5,4.38428258895874,6.31403523683548,5.126542091369629,10.70155143737793,chunk_7
local_sign+sample,175,0.95,0.6,0.1,6.630777359008789,7.527584671974182,3.667205810546875,3.917954683303833,chunk_7
local_sign+sample,175,0.95,0.6,0.5,6.269886016845703,9.020544350147247,2.800381898880005,3.89624285697937,chunk_7
local_sign+sample,175,0.95,0.6,1.0,3.429116725921631,5.080553472042084,3.470140218734741,6.015514850616455,chunk_7
local_sign+sample,175,0.95,0.6,1.5,2.0102028846740723,2.7943918704986572,3.9074714183807373,8.239559173583984,chunk_7
local_sign+sample,175,0.95,0.8,0.1,8.010263442993164,8.730684280395508,3.8039495944976807,3.9987545013427734,chunk_7
local_sign+sample,175,0.95,0.8,0.5,4.714420795440674,7.4151291847229,4.631296634674072,7.067016124725342,chunk_7
local_sign+sample,175,0.95,0.8,1.0,3.8978028297424316,6.15390545129776,3.899447202682495,7.198850631713867,chunk_7
local_sign+sample,175,0.95,0.8,1.5,2.407726764678955,3.0110315084457397,4.9405951499938965,11.267786979675293,chunk_7
local_sign+sample,175,0.95,1.0,0.1,8.690975189208984,10.188045263290405,3.3457510471343994,3.5091726779937744,chunk_7
local_sign+sample,175,0.95,1.0,0.5,6.551934719085693,8.497351884841919,4.868476867675781,7.847660541534424,chunk_7
local_sign+sample,175,0.95,1.0,1.0,4.659135818481445,5.914892792701721,5.581912994384766,11.577994346618652,chunk_7
local_sign+sample,175,0.95,1.0,1.5,3.6819891929626465,4.949820935726166,7.805790901184082,18.512468338012695,chunk_7
local_sign+sample,175,1.05,0.6,0.1,4.951160430908203,6.862917006015778,3.4143903255462646,3.962402582168579,chunk_7
local_sign+sample,175,1.05,0.6,0.5,5.37367057800293,7.70039689540863,4.462193489074707,6.407639026641846,chunk_7
local_sign+sample,175,1.05,0.6,1.0,1.8541438579559326,3.6100346446037292,4.509908199310303,8.33316707611084,chunk_7
local_sign+sample,175,1.05,0.6,1.5,2.293731689453125,3.7145674228668213,3.916405200958252,8.08100700378418,chunk_7
local_sign+sample,175,1.05,0.8,0.1,6.1670355796813965,9.339300751686096,4.055215358734131,4.592349529266357,chunk_7
local_sign+sample,175,1.05,0.8,0.5,4.022172451019287,5.7732590436935425,5.793433666229248,9.195671081542969,chunk_7
local_sign+sample,175,1.05,0.8,1.0,3.7390995025634766,4.678394377231598,5.938989162445068,11.866296768188477,chunk_7
local_sign+sample,175,1.05,0.8,1.5,3.521975040435791,4.440348029136658,5.850244522094727,13.421684265136719,chunk_7
local_sign+sample,175,1.05,1.0,0.1,5.144349098205566,4.9500938057899475,5.865715980529785,6.960592746734619,chunk_7
local_sign+sample,175,1.05,1.0,0.5,6.834981441497803,10.172846138477325,6.762561798095703,11.005777359008789,chunk_7
local_sign+sample,175,1.05,1.0,1.0,4.872140884399414,6.694844961166382,5.672579288482666,11.214738845825195,chunk_7
local_sign+sample,175,1.05,1.0,1.5,4.797877311706543,6.7117868065834045,6.839388370513916,16.256052017211914,chunk_7
local_sign+sample,176,0.6,0.6,0.1,4.908419609069824,5.339600622653961,1.7488458156585693,1.8075487613677979,chunk_7
local_sign+sample,176,0.6,0.6,0.5,4.855045795440674,6.817785382270813,2.49039626121521,3.395383834838867,chunk_7
local_sign+sample,176,0.6,0.6,1.0,2.5798122882843018,4.25660902261734,2.4881935119628906,3.9711403846740723,chunk_7
local_sign+sample,176,0.6,0.6,1.5,1.4910410642623901,2.257959246635437,2.9690139293670654,5.136308193206787,chunk_7
local_sign+sample,176,0.6,0.8,0.1,5.786482810974121,6.62162983417511,2.1459567546844482,2.230118751525879,chunk_7
local_sign+sample,176,0.6,0.8,0.5,4.45455265045166,6.585500419139862,2.39896559715271,3.2736573219299316,chunk_7
local_sign+sample,176,0.6,0.8,1.0,2.8910460472106934,4.86652547121048,2.7479665279388428,4.717709064483643,chunk_7
local_sign+sample,176,0.6,0.8,1.5,2.2751386165618896,3.231879413127899,2.9778826236724854,5.869504928588867,chunk_7
local_sign+sample,176,0.6,1.0,0.1,6.685266017913818,7.616702973842621,2.251237392425537,2.3455379009246826,chunk_7
local_sign+sample,176,0.6,1.0,0.5,5.521294116973877,7.907005846500397,2.5831825733184814,3.472506046295166,chunk_7
local_sign+sample,176,0.6,1.0,1.0,4.336819648742676,6.230241060256958,3.081850290298462,5.3698930740356445,chunk_7
local_sign+sample,176,0.6,1.0,1.5,3.8448619842529297,5.682371079921722,3.669111490249634,7.445457458496094,chunk_7
local_sign+sample,176,0.8,0.6,0.1,6.359098434448242,7.1176347732543945,2.459498643875122,2.5590667724609375,chunk_7
local_sign+sample,176,0.8,0.6,0.5,4.251250267028809,7.17616468667984,2.903500556945801,4.047830104827881,chunk_7
local_sign+sample,176,0.8,0.6,1.0,2.428926706314087,4.045026361942291,3.054987668991089,5.153892993927002,chunk_7
local_sign+sample,176,0.8,0.6,1.5,1.4817147254943848,2.6314286589622498,3.0595810413360596,5.828113079071045,chunk_7
local_sign+sample,176,0.8,0.8,0.1,6.921844959259033,7.706978023052216,2.7046902179718018,2.8148550987243652,chunk_7
local_sign+sample,176,0.8,0.8,0.5,6.041382312774658,8.659606873989105,3.31378173828125,4.644903659820557,chunk_7
local_sign+sample,176,0.8,0.8,1.0,3.5974104404449463,4.5143226981163025,3.62105131149292,6.411187171936035,chunk_7
local_sign+sample,176,0.8,0.8,1.5,2.808396100997925,3.2807835936546326,4.050601959228516,8.656889915466309,chunk_7
local_sign+sample,176,0.8,1.0,0.1,8.238653182983398,9.39535653591156,2.722007989883423,2.8541524410247803,chunk_7
local_sign+sample,176,0.8,1.0,0.5,5.488891124725342,7.479587614536285,3.204209089279175,4.51322603225708,chunk_7
local_sign+sample,176,0.8,1.0,1.0,5.6958417892456055,8.477739810943604,4.785920143127441,9.162793159484863,chunk_7
local_sign+sample,176,0.8,1.0,1.5,2.861950635910034,4.671813070774078,4.3152289390563965,9.182003021240234,chunk_7
local_sign+sample,176,0.95,0.6,0.1,6.553945541381836,7.291915059089661,2.539418935775757,2.6798348426818848,chunk_7
local_sign+sample,176,0.95,0.6,0.5,5.370721817016602,7.9427719712257385,3.3083410263061523,4.5925774574279785,chunk_7
local_sign+sample,176,0.95,0.6,1.0,1.5148043632507324,2.5447895526885986,4.799914836883545,8.922691345214844,chunk_7
local_sign+sample,176,0.95,0.6,1.5,2.4960432052612305,4.096343040466309,3.5987465381622314,7.503345012664795,chunk_7
local_sign+sample,176,0.95,0.8,0.1,7.985174655914307,8.93260383605957,3.3419432640075684,3.5094780921936035,chunk_7
local_sign+sample,176,0.95,0.8,0.5,5.682826042175293,7.819269001483917,3.340498685836792,4.800310134887695,chunk_7
local_sign+sample,176,0.95,0.8,1.0,3.0791850090026855,4.966638445854187,3.952685594558716,7.548358917236328,chunk_7
local_sign+sample,176,0.95,0.8,1.5,2.927853584289551,4.695878446102142,4.674523830413818,9.998993873596191,chunk_7
local_sign+sample,176,0.95,1.0,0.1,9.70401668548584,11.079566359519958,4.532341957092285,4.837884902954102,chunk_7
local_sign+sample,176,0.95,1.0,0.5,5.6352057456970215,8.763745248317719,6.559481143951416,10.945894241333008,chunk_7
local_sign+sample,176,0.95,1.0,1.0,4.022270202636719,6.095735251903534,5.391678810119629,10.640486717224121,chunk_7
local_sign+sample,176,0.95,1.0,1.5,3.579543113708496,4.5779160261154175,5.171150207519531,11.27992057800293,chunk_7
local_sign+sample,176,1.05,0.6,0.1,4.527048587799072,7.117990672588348,2.9844846725463867,3.424755573272705,chunk_7
local_sign+sample,176,1.05,0.6,0.5,5.195213794708252,7.81294572353363,4.3264265060424805,6.177892684936523,chunk_7
local_sign+sample,176,1.05,0.6,1.0,2.5245089530944824,4.612015783786774,4.956839561462402,9.113404273986816,chunk_7
local_sign+sample,176,1.05,0.6,1.5,1.9517066478729248,3.2797778844833374,5.43086051940918,11.680768013000488,chunk_7
local_sign+sample,176,1.05,0.8,0.1,7.232652187347412,10.410995602607727,3.282005548477173,3.6418323516845703,chunk_7
local_sign+sample,176,1.05,0.8,0.5,5.80383825302124,8.337814509868622,4.410695552825928,6.638444900512695,chunk_7
local_sign+sample,176,1.05,0.8,1.0,3.284214973449707,4.3012073040008545,7.231776237487793,14.242269515991211,chunk_7
local_sign+sample,176,1.05,0.8,1.5,3.6594033241271973,5.759839236736298,6.8083577156066895,14.968805313110352,chunk_7
local_sign+sample,176,1.05,1.0,0.1,7.2512288093566895,11.289697051048279,4.212819576263428,4.959122180938721,chunk_7
local_sign+sample,176,1.05,1.0,0.5,7.170958518981934,9.330357491970062,4.558055877685547,7.100629806518555,chunk_7
local_sign+sample,176,1.05,1.0,1.0,5.583641529083252,8.196284830570221,7.058772563934326,14.951652526855469,chunk_7
local_sign+sample,176,1.05,1.0,1.5,3.700608253479004,4.616789638996124,8.346096992492676,18.858856201171875,chunk_7
local_sign+sample,177,0.6,0.6,0.1,5.0253705978393555,5.704723954200745,2.1015772819519043,2.188082218170166,chunk_7
local_sign+sample,177,0.6,0.6,0.5,4.929544448852539,6.737848222255707,2.2988462448120117,2.989825487136841,chunk_7
local_sign+sample,177,0.6,0.6,1.0,3.214679718017578,4.674189805984497,2.612982749938965,4.163931846618652,chunk_7
local_sign+sample,177,0.6,0.6,1.5,3.171088933944702,4.702913999557495,2.7123863697052,5.044393539428711,chunk_7
local_sign+sample,177,0.6,0.8,0.1,5.410951614379883,6.046490252017975,1.9763692617416382,2.0322113037109375,chunk_7
local_sign+sample,177,0.6,0.8,0.5,4.238084316253662,6.442397117614746,2.487879753112793,3.3377065658569336,chunk_7
local_sign+sample,177,0.6,0.8,1.0,2.8288373947143555,2.9135910272598267,3.2112314701080322,5.516168594360352,chunk_7
local_sign+sample,177,0.6,0.8,1.5,2.0104873180389404,2.0598883032798767,2.8584275245666504,5.369287490844727,chunk_7
local_sign+sample,177,0.6,1.0,0.1,6.926276206970215,7.604302704334259,2.185506582260132,2.278787136077881,chunk_7
local_sign+sample,177,0.6,1.0,0.5,4.985619068145752,6.934662759304047,3.0119361877441406,4.484654903411865,chunk_7
local_sign+sample,177,0.6,1.0,1.0,2.904597282409668,5.205238461494446,3.6823434829711914,6.756478309631348,chunk_7
local_sign+sample,177,0.6,1.0,1.5,2.4552664756774902,3.4557748436927795,3.335109233856201,6.379175662994385,chunk_7
local_sign+sample,177,0.8,0.6,0.1,6.4224958419799805,6.810324549674988,2.0661487579345703,2.116278648376465,chunk_7
local_sign+sample,177,0.8,0.6,0.5,3.5066540241241455,5.528954863548279,2.5434088706970215,3.4891769886016846,chunk_7
local_sign+sample,177,0.8,0.6,1.0,1.2393168210983276,2.4083778858184814,3.4233200550079346,5.811178207397461,chunk_7
local_sign+sample,177,0.8,0.6,1.5,2.1677098274230957,3.4955771565437317,3.8546457290649414,7.690634727478027,chunk_7
local_sign+sample,177,0.8,0.8,0.1,6.864365100860596,7.853578209877014,2.6355626583099365,2.753819227218628,chunk_7
local_sign+sample,177,0.8,0.8,0.5,5.679587364196777,8.07640528678894,3.0958166122436523,4.347000598907471,chunk_7
local_sign+sample,177,0.8,0.8,1.0,3.1407930850982666,5.343069851398468,3.5497617721557617,6.448968887329102,chunk_7
local_sign+sample,177,0.8,0.8,1.5,2.647465705871582,3.810698986053467,4.738691329956055,10.013200759887695,chunk_7
local_sign+sample,177,0.8,1.0,0.1,8.556224822998047,9.65963226556778,2.7160868644714355,2.8551807403564453,chunk_7
local_sign+sample,177,0.8,1.0,0.5,5.88533878326416,9.201334357261658,3.5416111946105957,5.076996326446533,chunk_7
local_sign+sample,177,0.8,1.0,1.0,3.7827608585357666,4.77305006980896,4.326966762542725,8.619355201721191,chunk_7
local_sign+sample,177,0.8,1.0,1.5,3.5636191368103027,5.6429943442344666,5.324861526489258,12.022455215454102,chunk_7
local_sign+sample,177,0.95,0.6,0.1,7.963123321533203,9.060897588729858,2.809051036834717,3.0208611488342285,chunk_7
local_sign+sample,177,0.95,0.6,0.5,4.376242637634277,7.050623536109924,3.9971604347229004,5.789616584777832,chunk_7
local_sign+sample,177,0.95,0.6,1.0,2.8955588340759277,3.8774250149726868,4.709089279174805,8.952165603637695,chunk_7
local_sign+sample,177,0.95,0.6,1.5,1.966969609260559,2.54526025056839,4.000349044799805,7.895528793334961,chunk_7
local_sign+sample,177,0.95,0.8,0.1,7.797918319702148,8.939060270786285,3.7303786277770996,3.9636027812957764,chunk_7
local_sign+sample,177,0.95,0.8,0.5,4.903372764587402,7.927778363227844,4.742318153381348,7.314157962799072,chunk_7
local_sign+sample,177,0.95,0.8,1.0,3.9798994064331055,5.868355453014374,4.595336437225342,8.952120780944824,chunk_7
local_sign+sample,177,0.95,0.8,1.5,2.6095447540283203,3.9038180708885193,5.397146701812744,11.570480346679688,chunk_7
local_sign+sample,177,0.95,1.0,0.1,8.549198150634766,10.108705937862396,2.685490131378174,2.8070566654205322,chunk_7
local_sign+sample,177,0.95,1.0,0.5,5.197711944580078,7.352032244205475,4.129148960113525,6.75380802154541,chunk_7
local_sign+sample,177,0.95,1.0,1.0,4.544159412384033,6.29526686668396,6.178577899932861,12.806699752807617,chunk_7
local_sign+sample,177,0.95,1.0,1.5,3.0080888271331787,4.450648605823517,5.921021461486816,13.463557243347168,chunk_7
local_sign+sample,177,1.05,0.6,0.1,5.850894927978516,7.636478543281555,2.9857025146484375,3.275991439819336,chunk_7
local_sign+sample,177,1.05,0.6,0.5,4.45855188369751,6.434527814388275,4.69408655166626,6.841185569763184,chunk_7
local_sign+sample,177,1.05,0.6,1.0,2.8491272926330566,3.855885863304138,6.217106342315674,12.05378532409668,chunk_7
local_sign+sample,177,1.05,0.6,1.5,2.2370152473449707,3.4898043870925903,4.882277488708496,9.941973686218262,chunk_7
local_sign+sample,177,1.05,0.8,0.1,5.128543376922607,7.2541221380233765,3.260627508163452,3.7922582626342773,chunk_7
local_sign+sample,177,1.05,0.8,0.5,5.174509525299072,7.959069311618805,4.514075756072998,6.938321113586426,chunk_7
local_sign+sample,177,1.05,0.8,1.0,3.5394952297210693,5.860930025577545,3.8699841499328613,7.328810214996338,chunk_7
local_sign+sample,177,1.05,0.8,1.5,2.8947484493255615,4.21573269367218,6.338674068450928,13.575440406799316,chunk_7
local_sign+sample,177,1.05,1.0,0.1,7.813380241394043,12.77679306268692,4.3675537109375,5.103394031524658,chunk_7
local_sign+sample,177,1.05,1.0,0.5,7.1894683837890625,9.840510427951813,5.970304489135742,9.391401290893555,chunk_7
local_sign+sample,177,1.05,1.0,1.0,5.030267715454102,7.170934319496155,6.501368522644043,12.834121704101562,chunk_7
local_sign+sample,177,1.05,1.0,1.5,4.508275032043457,6.329111635684967,8.713973999023438,21.49359130859375,chunk_7
local_sign+sample,178,0.6,0.6,0.1,4.818084716796875,5.176282525062561,1.7654234170913696,1.8206698894500732,chunk_7
local_sign+sample,178,0.6,0.6,0.5,4.58164119720459,6.543180823326111,2.1512908935546875,2.911357879638672,chunk_7
local_sign+sample,178,0.6,0.6,1.0,2.7683751583099365,4.469450056552887,2.3960275650024414,3.8945841789245605,chunk_7
local_sign+sample,178,0.6,0.6,1.5,2.448967456817627,3.470280110836029,2.853841781616211,5.291021347045898,chunk_7
local_sign+sample,178,0.6,0.8,0.1,6.363124847412109,6.7620625495910645,1.9964877367019653,2.0645382404327393,chunk_7
local_sign+sample,178,0.6,0.8,0.5,4.726423263549805,6.984368085861206,2.4840152263641357,3.397693634033203,chunk_7
local_sign+sample,178,0.6,0.8,1.0,2.547628402709961,3.6958983540534973,2.8388938903808594,4.807555675506592,chunk_7
