mode,src,group_id,metric,dispersion,n_hparams
binary+shuffle,chunk_0,0,GR,0.4336864289068008,48
binary+shuffle,chunk_0,0,IPC,0.3345604415731423,48
binary+shuffle,chunk_0,0,KR,0.24329016477226237,48
binary+shuffle,chunk_0,0,MC,0.3298912093024654,48
binary+shuffle,chunk_0,1,GR,0.406077049584136,48
binary+shuffle,chunk_0,1,IPC,0.2972540850289881,48
binary+shuffle,chunk_0,1,KR,0.22012761014201312,48
binary+shuffle,chunk_0,1,MC,0.33263976117815763,48
binary+shuffle,chunk_0,2,GR,0.43454651751259926,48
binary+shuffle,chunk_0,2,IPC,0.2825324333853274,48
binary+shuffle,chunk_0,2,KR,0.27090295398425784,48
binary+shuffle,chunk_0,2,MC,0.28925028402124475,48
binary+shuffle,chunk_0,3,GR,0.40791557726102273,48
binary+shuffle,chunk_0,3,IPC,0.3500172960708597,48
binary+shuffle,chunk_0,3,KR,0.23709726223867375,48
binary+shuffle,chunk_0,3,MC,0.28948246375833514,48
binary+shuffle,chunk_0,4,GR,0.4373668571409059,48
binary+shuffle,chunk_0,4,IPC,0.2504996980234262,48
binary+shuffle,chunk_0,4,KR,0.2694617481594304,48
binary+shuffle,chunk_0,4,MC,0.230221201930151,48
binary+shuffle,chunk_1,5,GR,0.41566199942567295,48
binary+shuffle,chunk_1,5,IPC,0.3563490015399357,48
binary+shuffle,chunk_1,5,KR,0.23702702978443363,48
binary+shuffle,chunk_1,5,MC,0.33619212499770457,48
binary+shuffle,chunk_1,6,GR,0.4631865974268843,48
binary+shuffle,chunk_1,6,IPC,0.3228246885453789,48
binary+shuffle,chunk_1,6,KR,0.2944462155680386,48
binary+shuffle,chunk_1,6,MC,0.3162104889698037,48
binary+shuffle,chunk_1,7,GR,0.44187884893209795,48
binary+shuffle,chunk_1,7,IPC,0.27911300989421123,48
binary+shuffle,chunk_1,7,KR,0.26656707314906175,48
binary+shuffle,chunk_1,7,MC,0.3211222775472585,48
binary+shuffle,chunk_1,8,GR,0.4386387670328974,48
binary+shuffle,chunk_1,8,IPC,0.2738630086394321,48
binary+shuffle,chunk_1,8,KR,0.2643168294383361,48
binary+shuffle,chunk_1,8,MC,0.30885780711472827,48
binary+shuffle,chunk_1,9,GR,0.4361462569588203,48
binary+shuffle,chunk_1,9,IPC,0.27126938942671164,48
binary+shuffle,chunk_1,9,KR,0.26431679686452575,48
binary+shuffle,chunk_1,9,MC,0.24270274472617737,48
binary+shuffle,chunk_10,50,GR,0.44194034897567064,48
binary+shuffle,chunk_10,50,IPC,0.2941437847994617,48
binary+shuffle,chunk_10,50,KR,0.26481765547757025,48
binary+shuffle,chunk_10,50,MC,0.325934947363829,48
binary+shuffle,chunk_10,51,GR,0.41904127186916296,48
binary+shuffle,chunk_10,51,IPC,0.27266313446149226,48
binary+shuffle,chunk_10,51,KR,0.23546676154023596,48
binary+shuffle,chunk_10,51,MC,0.2878594802573748,48
binary+shuffle,chunk_10,52,GR,0.3798453646499776,48
binary+shuffle,chunk_10,52,IPC,0.3063029882862964,48
binary+shuffle,chunk_10,52,KR,0.22594488621782727,48
binary+shuffle,chunk_10,52,MC,0.3370251460093718,48
binary+shuffle,chunk_10,53,GR,0.45043573961600525,48
binary+shuffle,chunk_10,53,IPC,0.2894093071785212,48
binary+shuffle,chunk_10,53,KR,0.27057321530262346,48
binary+shuffle,chunk_10,53,MC,0.30928455862003496,48
binary+shuffle,chunk_10,54,GR,0.40810227773035657,48
binary+shuffle,chunk_10,54,IPC,0.30150308952409205,48
binary+shuffle,chunk_10,54,KR,0.2396769609790014,48
binary+shuffle,chunk_10,54,MC,0.2468681379980994,48
binary+shuffle,chunk_11,55,GR,0.3955884334690836,48
binary+shuffle,chunk_11,55,IPC,0.3074150336890069,48
binary+shuffle,chunk_11,55,KR,0.2245069452426665,48
binary+shuffle,chunk_11,55,MC,0.3019742707836103,48
binary+shuffle,chunk_11,56,GR,0.39712223926014456,48
binary+shuffle,chunk_11,56,IPC,0.2928994361592628,48
binary+shuffle,chunk_11,56,KR,0.23819447552069348,48
binary+shuffle,chunk_11,56,MC,0.31475209459400466,48
