mode,metric,mean_v11,n_groups_v11,mean_frac025,n_groups_frac025,delta,pct_delta,drop_from_a_to_b,pct_drop_from_a_to_b
binary+shuffle,GR,,,0.42993411212883587,100,,,,
cel+randN,GR,0.7776095550236505,500.0,0.7504683881393561,100,-0.027141166884294354,-3.490333511072774,0.027141166884294354,3.490333511072774
celW+connShuf,GR,0.5630934727663652,500.0,0.5442324293722213,100,-0.01886104339414396,-3.3495404060507825,0.01886104339414396,3.3495404060507825
cel_sample,GR,0.5552152849755018,500.0,0.5385964551175824,100,-0.016618829857919404,-2.99322268453987,0.016618829857919404,2.99322268453987
conn_shuf_only,GR,0.565192902014396,500.0,0.5489600932438908,100,-0.016232808770505147,-2.8720829141077364,0.016232808770505147,2.8720829141077364
er+randN,GR,0.7949294707125538,500.0,0.7754488578989267,100,-0.01948061281362712,-2.450608957316076,0.01948061281362712,2.450608957316076
global_sign_pres,GR,0.4470506803007075,500.0,0.4341208470663121,100,-0.012929833234395394,-2.892252221984804,0.012929833234395394,2.892252221984804
local_sign,GR,0.4967535493266173,500.0,0.47885042222967344,100,-0.01790312709694386,-3.6040260046883907,0.01790312709694386,3.6040260046883907
local_sign+binary,GR,0.43796957383279234,500.0,0.4241820606448764,100,-0.013787513187915934,-3.148052744225497,0.013787513187915934,3.148052744225497
local_sign+flat,GR,0.4722696015604552,500.0,0.4583474164316331,100,-0.013922185128822095,-2.947931665053381,0.013922185128822095,2.947931665053381
local_sign+sample,GR,0.5430274049615588,500.0,0.5271825173833091,100,-0.015844887578249645,-2.91787991425061,0.015844887578249645,2.91787991425061
real,GR,0.44120438853343,500.0,0.4332173119522912,100,-0.007987076581138841,-1.810289468717209,0.007987076581138841,1.810289468717209
shuffle,GR,0.5553555692353556,500.0,0.538430725771862,100,-0.016924843463493544,-3.047568873180944,0.016924843463493544,3.047568873180944
ws_p0.1+randN,GR,0.7955865424358153,500.0,0.7748400514740185,100,-0.020746490961796815,-2.6076975734504155,0.020746490961796815,2.6076975734504155
binary+shuffle,IPC,,,0.2993142258417506,100,,,,
cel+randN,IPC,0.5112478533932907,500.0,0.4421920189395282,100,-0.06905583445376251,-13.50731039659535,0.06905583445376251,13.50731039659535
celW+connShuf,IPC,0.37102252225368043,500.0,0.3273933700520316,100,-0.04362915220164881,-11.759165437352644,0.04362915220164881,11.759165437352644
cel_sample,IPC,0.37453671515178266,500.0,0.3169025990150959,100,-0.057634116136686786,-15.38810850982401,0.057634116136686786,15.38810850982401
conn_shuf_only,IPC,0.3861401978097853,500.0,0.3239135464966988,100,-0.06222665131308652,-16.11504103070349,0.06222665131308652,16.11504103070349
er+randN,IPC,0.49603627383161064,500.0,0.5625475443162001,100,0.06651127048458949,13.40854973585421,-0.06651127048458949,-13.40854973585421
global_sign_pres,IPC,0.3154571106131003,500.0,0.2997632069616541,100,-0.015693903651446184,-4.974972230280248,0.015693903651446184,4.974972230280248
local_sign,IPC,0.34046192033014505,500.0,0.31239974823645317,100,-0.028062172093691884,-8.242382016314796,0.028062172093691884,8.242382016314796
