mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src
shuffle,0,0.6,0.6,0.1,5.402424335479736,6.222300231456757,2.0057313442230225,2.0699801445007324,chunk_0
shuffle,0,0.6,0.6,0.5,4.875385284423828,6.943910300731659,2.2301416397094727,2.986095428466797,chunk_0
shuffle,0,0.6,0.6,1.0,3.403486967086792,5.181677162647247,2.443775177001953,3.8773303031921382,chunk_0
shuffle,0,0.6,0.6,1.5,1.995056629180908,3.100298047065735,2.745243549346924,4.955445289611816,chunk_0
shuffle,0,0.6,0.8,0.1,5.883840560913086,6.3804744482040405,1.9356436729431152,1.991389274597168,chunk_0
shuffle,0,0.6,0.8,0.5,4.745699405670166,7.362419188022613,2.2260282039642334,2.946962594985962,chunk_0
shuffle,0,0.6,0.8,1.0,3.87192177772522,6.168437302112579,2.6997179985046387,4.644323348999023,chunk_0
shuffle,0,0.6,0.8,1.5,2.14307165145874,3.1841986179351807,2.8845996856689453,5.347065448760986,chunk_0
shuffle,0,0.6,1.0,0.1,6.313425064086914,7.03402578830719,2.0574679374694824,2.139227867126465,chunk_0
shuffle,0,0.6,1.0,0.5,4.51703691482544,7.582052171230316,2.652390480041504,3.697521924972534,chunk_0
shuffle,0,0.6,1.0,1.0,4.111660480499268,6.694300830364227,3.2133877277374268,5.650961399078369,chunk_0
shuffle,0,0.6,1.0,1.5,3.861690044403076,5.302020192146301,3.21954083442688,6.647492408752441,chunk_0
shuffle,0,0.8,0.6,0.1,5.946763515472412,6.206458628177643,2.5078248977661133,2.586591482162476,chunk_0
shuffle,0,0.8,0.6,0.5,4.807507991790772,6.738766252994537,2.628659963607788,3.78510046005249,chunk_0
shuffle,0,0.8,0.6,1.0,2.520394325256348,4.154833555221558,3.000983953475952,5.07172966003418,chunk_0
shuffle,0,0.8,0.6,1.5,2.872983455657959,3.902898609638214,3.508711576461792,6.669506072998047,chunk_0
shuffle,0,0.8,0.8,0.1,6.706178188323975,7.639864206314087,2.146413564682007,2.227207660675049,chunk_0
shuffle,0,0.8,0.8,0.5,5.826597213745117,8.223205149173737,3.037635564804077,4.251661777496338,chunk_0
shuffle,0,0.8,0.8,1.0,3.446944236755371,4.810655474662781,3.1841886043548584,5.574082851409912,chunk_0
shuffle,0,0.8,0.8,1.5,3.284212350845337,4.896679520606995,3.656258583068848,7.852916240692139,chunk_0
shuffle,0,0.8,1.0,0.1,8.344070434570312,9.5259171128273,2.9380979537963867,3.069775342941284,chunk_0
shuffle,0,0.8,1.0,0.5,4.911739826202393,7.720104515552521,3.2716665267944336,4.801690578460693,chunk_0
shuffle,0,0.8,1.0,1.0,3.74679183959961,5.589900195598602,4.430601119995117,8.209189414978027,chunk_0
shuffle,0,0.8,1.0,1.5,3.990422248840332,5.07345312833786,4.392979621887207,9.328246116638184,chunk_0
shuffle,0,0.95,0.6,0.1,7.554489612579346,8.119954884052277,2.6878790855407715,2.7822020053863525,chunk_0
shuffle,0,0.95,0.6,0.5,5.18631649017334,8.105428695678711,4.039750099182129,5.855616569519043,chunk_0
shuffle,0,0.95,0.6,1.0,3.036919116973877,4.753457844257355,3.495964765548706,6.031572341918945,chunk_0
shuffle,0,0.95,0.6,1.5,1.498180627822876,1.8515897393226624,3.9125685691833496,7.791781902313232,chunk_0
shuffle,0,0.95,0.8,0.1,7.065890312194824,8.336943447589874,3.446372032165528,3.648846387863159,chunk_0
shuffle,0,0.95,0.8,0.5,6.563949108123779,8.885040640830994,4.455289840698242,6.402280807495117,chunk_0
shuffle,0,0.95,0.8,1.0,2.9256625175476074,4.213906109333038,4.296744346618652,8.113176345825195,chunk_0
shuffle,0,0.95,0.8,1.5,2.28895902633667,3.52740615606308,5.199858665466309,11.031867027282717,chunk_0
shuffle,0,0.95,1.0,0.1,9.676682472229004,10.636828005313872,3.381481885910034,3.526578426361084,chunk_0
shuffle,0,0.95,1.0,0.5,6.631399631500244,9.142682790756226,4.762500762939453,7.341235637664795,chunk_0
shuffle,0,0.95,1.0,1.0,3.064937114715576,4.817294955253601,6.615755558013916,12.796887397766112,chunk_0
shuffle,0,0.95,1.0,1.5,3.6054208278656006,5.721584856510162,5.3039069175720215,12.24070930480957,chunk_0
shuffle,0,1.05,0.6,0.1,4.407068252563477,6.700197517871857,2.74371337890625,3.0283381938934326,chunk_0
shuffle,0,1.05,0.6,0.5,3.7827091217041016,6.2824387550354,4.317474365234375,6.257979869842529,chunk_0
shuffle,0,1.05,0.6,1.0,3.83959698677063,5.085911631584168,4.039666175842285,7.161807537078857,chunk_0
shuffle,0,1.05,0.6,1.5,1.544991970062256,2.026236593723297,4.651642322540283,9.59099006652832,chunk_0
shuffle,0,1.05,0.8,0.1,7.304523468017578,10.079024374485016,3.393097162246704,3.7823915481567374,chunk_0
shuffle,0,1.05,0.8,0.5,6.295407295227051,9.867204904556274,4.794516086578369,7.1724934577941895,chunk_0
shuffle,0,1.05,0.8,1.0,2.658972978591919,3.2468557953834534,5.1974287033081055,10.522581100463867,chunk_0
shuffle,0,1.05,0.8,1.5,2.8660829067230225,4.349913477897644,4.853723526000977,10.215466499328612,chunk_0
shuffle,0,1.05,1.0,0.1,8.93393325805664,13.477148950099943,4.53774881362915,5.270259380340576,chunk_0
shuffle,0,1.05,1.0,0.5,6.866484642028809,9.571357429027556,5.073169708251953,8.064821243286133,chunk_0
shuffle,0,1.05,1.0,1.0,3.1891109943389893,4.881395936012268,8.222403526306152,16.80088233947754,chunk_0
shuffle,0,1.05,1.0,1.5,3.1482462882995605,4.817405641078949,9.05401611328125,21.77191925048828,chunk_0
shuffle,1,0.6,0.6,0.1,5.438076496124268,6.099556744098663,1.876450777053833,1.9432204961776731,chunk_0
shuffle,1,0.6,0.6,0.5,2.9302361011505127,4.57650089263916,2.5482325553894043,3.489403009414673,chunk_0
shuffle,1,0.6,0.6,1.0,3.1445541381835938,5.124128639698029,2.7434897422790527,4.645895957946777,chunk_0
shuffle,1,0.6,0.6,1.5,3.3617959022521973,4.08663672208786,2.750385284423828,4.929632663726807,chunk_0
shuffle,1,0.6,0.8,0.1,5.496865272521973,5.9867300391197205,1.814867377281189,1.876506328582764,chunk_0
shuffle,1,0.6,0.8,0.5,4.820430755615234,6.980263411998749,2.511806011199951,3.433001041412353,chunk_0
shuffle,1,0.6,0.8,1.0,2.7229247093200684,4.846724152565002,2.680084228515625,4.519798755645752,chunk_0
