mode,src,group_id,metric,dispersion,n_hparams
weight_test0.0,chunk_0,0,GR,0.4611441617540387,48
weight_test0.0,chunk_0,0,IPC,0.31783769222150243,48
weight_test0.0,chunk_0,0,KR,0.27465716199331425,48
weight_test0.0,chunk_0,0,MC,0.3852974444665705,48
weight_test0.0,chunk_0,1,GR,0.4486866027182615,48
weight_test0.0,chunk_0,1,IPC,0.28575227936357517,48
weight_test0.0,chunk_0,1,KR,0.28264585708482703,48
weight_test0.0,chunk_0,1,MC,0.3510386476370431,48
weight_test0.0,chunk_0,10,GR,0.4128962150860505,48
weight_test0.0,chunk_0,10,IPC,0.31555472536509793,48
weight_test0.0,chunk_0,10,KR,0.25774745659386833,48
weight_test0.0,chunk_0,10,MC,0.3954043864393059,48
weight_test0.0,chunk_0,11,GR,0.44729468200048295,48
weight_test0.0,chunk_0,11,IPC,0.2995735029509446,48
weight_test0.0,chunk_0,11,KR,0.28144389785784674,48
weight_test0.0,chunk_0,11,MC,0.3953987924875322,48
weight_test0.0,chunk_0,12,GR,0.41359314544013265,48
weight_test0.0,chunk_0,12,IPC,0.26983725198511,48
weight_test0.0,chunk_0,12,KR,0.24994133558698883,48
weight_test0.0,chunk_0,12,MC,0.3348343350282701,48
weight_test0.0,chunk_0,2,GR,0.451219614837239,48
weight_test0.0,chunk_0,2,IPC,0.2973836735058636,48
weight_test0.0,chunk_0,2,KR,0.2604248750382452,48
weight_test0.0,chunk_0,2,MC,0.3739639939366925,48
weight_test0.0,chunk_0,3,GR,0.4408625585959539,48
weight_test0.0,chunk_0,3,IPC,0.3198585052338478,48
weight_test0.0,chunk_0,3,KR,0.2741397323776062,48
weight_test0.0,chunk_0,3,MC,0.3841094691548367,48
weight_test0.0,chunk_0,4,GR,0.4438685656992796,48
weight_test0.0,chunk_0,4,IPC,0.3480002127731194,48
weight_test0.0,chunk_0,4,KR,0.2686082291584942,48
weight_test0.0,chunk_0,4,MC,0.39368137169642375,48
weight_test0.0,chunk_0,5,GR,0.4652506007714428,48
weight_test0.0,chunk_0,5,IPC,0.3073736409823284,48
