metric,baseline_mode,baseline_label,control_mode,control_label,baseline_mean_cv,control_mean_cv,delta_cv,pct_delta_cv,ci95_low,ci95_high,comparison_type,n
MC,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.4088194794380252,0.49832312372005816,0.08950364428203295,21.893194621026172,0.08374382896845023,0.09526345959561563,paired,200
MC,real,C. elegans,conn_shuf_only,Conn. shuffle,0.4088194794380252,0.4974315368479062,0.08861205740988098,21.67510646305054,0.08306831591135758,0.09415579890840436,paired,200
MC,real,C. elegans,shuffle,Wt. shuffle,0.4088194794380252,0.48948917063045877,0.08066969119243356,19.73235015692608,0.07486336423081197,0.08647601815405503,paired,200
IPC,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.2995417066518406,0.40491005614803766,0.10536834949619706,35.17652038307554,0.10110283470580211,0.10963386428659194,paired,200
IPC,real,C. elegans,conn_shuf_only,Conn. shuffle,0.2995417066518406,0.39484027469039246,0.09529856803855186,31.81479103653437,0.09113918635830827,0.0994579497187953,paired,200
IPC,real,C. elegans,shuffle,Wt. shuffle,0.2995417066518406,0.3935399036541407,0.09399819700230011,31.380670843127323,0.08921264276127444,0.0987837512433257,paired,200
KR,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.4054171933369355,0.5993954897342125,0.19397829639727704,47.84658854763096,0.1886233118944813,0.19933328090007277,paired,200
KR,real,C. elegans,conn_shuf_only,Conn. shuffle,0.4054171933369355,0.6126488037402649,0.20723161040332938,51.11564428179114,0.20162052156957447,0.21284269923708435,paired,200
KR,real,C. elegans,shuffle,Wt. shuffle,0.4054171933369355,0.5764986586468559,0.1710814653099204,42.198867764282866,0.1653074476094941,0.17685548301034668,paired,200
GR,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.5798991833194392,0.7261914521399704,0.14629226882053115,25.227190006223132,0.1429755370358974,0.149609000605165,paired,200
GR,real,C. elegans,conn_shuf_only,Conn. shuffle,0.5798991833194392,0.7226544311170753,0.14275524779763604,24.617252774953275,0.13893669724067065,0.1465737983546015,paired,200
GR,real,C. elegans,shuffle,Wt. shuffle,0.5798991833194392,0.7135792047280114,0.13368002140857216,23.052286544596512,0.13035006280040506,0.13700998001673953,paired,200
