metric,baseline_mode,baseline_label,control_mode,control_label,baseline_mean_cv,control_mean_cv,delta_cv,pct_delta_cv,ci95_low,ci95_high,comparison_type,n
MC,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.45260524101827193,0.42022449107737564,-0.03238074994089629,-7.154302912632217,-0.03617215533728449,-0.028589344544508122,paired,200
MC,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.45260524101827193,0.39497190596403703,-0.0576333350542349,-12.733687070121269,-0.06123200342849132,-0.05403466667997832,paired,200
MC,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.45260524101827193,0.39092156757620006,-0.061683673442071874,-13.62858134459421,-0.06524808952701916,-0.05811925735712466,paired,200
IPC,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.37972145754944464,0.35743837362162734,-0.022283083927817304,-5.868270935127694,-0.026600823788003165,-0.01796534406763136,paired,200
IPC,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.37972145754944464,0.3178806117868698,-0.061840845762574814,-16.285844408601097,-0.06563264848349173,-0.058049043041657956,paired,200
IPC,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.37972145754944464,0.31971081848803923,-0.06001063906140541,-15.803857766871458,-0.06350186984121528,-0.0565194082815956,paired,200
KR,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.5549819133506436,0.49240971409761564,-0.06257219925302798,-11.274637559853987,-0.06992707768631401,-0.055217320819741955,paired,200
KR,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.5549819133506436,0.4404798015759742,-0.1145021117746694,-20.631683487372626,-0.12139249580448663,-0.10761172774485217,paired,200
KR,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.5549819133506436,0.4400794117109139,-0.1149025016397297,-20.7038281564922,-0.12165688675629356,-0.10814811652316599,paired,200
GR,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.7259360045264043,0.6973190802260189,-0.028616924300385427,-3.9420725962001173,-0.03297155263603295,-0.024262295964738105,paired,200
GR,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.7259360045264043,0.6480210823126893,-0.07791492221371499,-10.733029044970177,-0.0822781295306617,-0.07355171489676852,paired,200
GR,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.7259360045264043,0.6537410556158099,-0.07219494891059441,-9.94508447858209,-0.07634054463159583,-0.06804935318959328,paired,200
