mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,scale_factor
sign_test_er0.0,spectral_radius,180,0.6,0.6,0.1,0.0,3.9905641078948975,4.689245616186781,1.5964105129241943,1.6353398561477661,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.6,0.1,0.1,3.960970878601074,5.765460060366195,1.6514594554901123,1.7389923334121704,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.6,0.5,0.0,3.078514814376831,5.200000900277609,1.8195219039916992,2.277233600616455,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.6,0.5,0.1,2.72918438911438,5.503544009185362,2.0269110202789307,2.71498441696167,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.6,1.0,0.0,2.8926472663879395,5.84295181644244,2.0909996032714844,3.147052764892578,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.6,1.0,0.1,2.0826895236968994,5.524142166056042,2.4011025428771973,3.9195218086242676,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.6,1.5,0.0,2.364183187484741,4.946356813880783,2.2723770141601562,3.807523488998413,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.6,1.5,0.1,2.0314157009124756,6.303897389012036,2.634351968765259,4.81351900100708,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.8,0.1,0.0,4.537116527557373,5.525914905683976,1.6872358322143555,1.7311623096466064,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
sign_test_er0.0,spectral_radius,180,0.6,0.8,0.1,0.1,4.482543468475342,6.573515178971775,1.7477729320526123,1.8447011709213257,0.0020165075547993183,0.04384017735719681,0.0,18012346,chunk_18,12.156911849975586,6.310862064361572,0.6000000238418579,0.049354639352855466
