mode,src,group_id,metric,dispersion,n_hparams
sign_test_er0.0,chunk_0,0,GR,0.3837106255780928,96
sign_test_er0.0,chunk_0,0,IPC,,96
sign_test_er0.0,chunk_0,0,KR,0.46592467075326993,96
sign_test_er0.0,chunk_0,0,MC,,96
sign_test_er0.0,chunk_0,1,GR,0.25769410160103934,96
sign_test_er0.0,chunk_0,1,IPC,,96
sign_test_er0.0,chunk_0,1,KR,0.484421267335856,96
sign_test_er0.0,chunk_0,1,MC,,96
sign_test_er0.0,chunk_0,2,GR,0.309481565487469,96
sign_test_er0.0,chunk_0,2,IPC,,96
sign_test_er0.0,chunk_0,2,KR,0.4829573852974811,96
sign_test_er0.0,chunk_0,2,MC,,96
sign_test_er0.0,chunk_0,3,GR,0.32357437893544655,96
sign_test_er0.0,chunk_0,3,IPC,,96
sign_test_er0.0,chunk_0,3,KR,0.44666142894318916,96
sign_test_er0.0,chunk_0,3,MC,,96
sign_test_er0.0,chunk_0,4,GR,0.27493991978217586,96
sign_test_er0.0,chunk_0,4,IPC,,96
sign_test_er0.0,chunk_0,4,KR,0.48417238783946065,96
sign_test_er0.0,chunk_0,4,MC,,96
sign_test_er0.0,chunk_0,5,GR,0.283483703107745,96
sign_test_er0.0,chunk_0,5,IPC,,96
sign_test_er0.0,chunk_0,5,KR,0.49922648378986834,96
sign_test_er0.0,chunk_0,5,MC,,96
sign_test_er0.0,chunk_0,6,GR,0.4124926574263352,96
sign_test_er0.0,chunk_0,6,IPC,,96
sign_test_er0.0,chunk_0,6,KR,0.5025884863992521,96
sign_test_er0.0,chunk_0,6,MC,,96
sign_test_er0.0,chunk_0,7,GR,0.30736409669866216,96
sign_test_er0.0,chunk_0,7,IPC,,96
sign_test_er0.0,chunk_0,7,KR,0.4661891079676297,96
sign_test_er0.0,chunk_0,7,MC,,96
sign_test_er0.0,chunk_0,8,GR,0.4303314829118574,96
sign_test_er0.0,chunk_0,8,IPC,,96
sign_test_er0.0,chunk_0,8,KR,0.4635864925595132,96
sign_test_er0.0,chunk_0,8,MC,,96
sign_test_er0.0,chunk_0,9,GR,0.27633207117128206,96
sign_test_er0.0,chunk_0,9,IPC,,96
sign_test_er0.0,chunk_0,9,KR,0.4805734477639965,96
sign_test_er0.0,chunk_0,9,MC,,96
sign_test_er0.0,chunk_1,10,GR,0.4250069767539168,96
sign_test_er0.0,chunk_1,10,IPC,,96
sign_test_er0.0,chunk_1,10,KR,0.48928324644090704,96
sign_test_er0.0,chunk_1,10,MC,,96
sign_test_er0.0,chunk_1,11,GR,0.28227739780567157,96
sign_test_er0.0,chunk_1,11,IPC,,96
sign_test_er0.0,chunk_1,11,KR,0.48590087482739863,96
sign_test_er0.0,chunk_1,11,MC,,96
sign_test_er0.0,chunk_1,12,GR,0.3605473545444724,96
sign_test_er0.0,chunk_1,12,IPC,,96
sign_test_er0.0,chunk_1,12,KR,0.4881094317062588,96
sign_test_er0.0,chunk_1,12,MC,,96
sign_test_er0.0,chunk_1,13,GR,0.3795262356577756,96
sign_test_er0.0,chunk_1,13,IPC,,96
sign_test_er0.0,chunk_1,13,KR,0.49262226889560434,96
sign_test_er0.0,chunk_1,13,MC,,96
sign_test_er0.0,chunk_1,14,GR,0.31647018276240757,96
sign_test_er0.0,chunk_1,14,IPC,,96
sign_test_er0.0,chunk_1,14,KR,0.47479157458541416,96
sign_test_er0.0,chunk_1,14,MC,,96
sign_test_er0.0,chunk_1,15,GR,0.2540804114518015,96
sign_test_er0.0,chunk_1,15,IPC,,96
sign_test_er0.0,chunk_1,15,KR,0.45924322559244374,96
sign_test_er0.0,chunk_1,15,MC,,96
sign_test_er0.0,chunk_1,16,GR,0.4677374407096505,96
sign_test_er0.0,chunk_1,16,IPC,,96
sign_test_er0.0,chunk_1,16,KR,0.4925041857353196,96
sign_test_er0.0,chunk_1,16,MC,,96
sign_test_er0.0,chunk_1,17,GR,0.2987987487692174,96
sign_test_er0.0,chunk_1,17,IPC,,96
sign_test_er0.0,chunk_1,17,KR,0.4644340259897165,96
sign_test_er0.0,chunk_1,17,MC,,96
sign_test_er0.0,chunk_1,18,GR,0.35245744676702057,96
sign_test_er0.0,chunk_1,18,IPC,,96
sign_test_er0.0,chunk_1,18,KR,0.48801751671372723,96
sign_test_er0.0,chunk_1,18,MC,,96
sign_test_er0.0,chunk_1,19,GR,0.3409792228305683,96
sign_test_er0.0,chunk_1,19,IPC,,96
sign_test_er0.0,chunk_1,19,KR,0.4927440618473532,96
sign_test_er0.0,chunk_1,19,MC,,96
sign_test_er0.0,chunk_10,100,GR,0.4323637562372357,96
