mode,src,group_id,metric,dispersion,n_hparams
binary+conshuffle+wshuffle,chunk_0,0,GR,0.46369016216695225,96
binary+conshuffle+wshuffle,chunk_0,0,IPC,,96
binary+conshuffle+wshuffle,chunk_0,0,KR,0.5695441483318571,96
binary+conshuffle+wshuffle,chunk_0,0,MC,,96
binary+conshuffle+wshuffle,chunk_0,1,GR,0.3554247360216048,96
binary+conshuffle+wshuffle,chunk_0,1,IPC,,96
binary+conshuffle+wshuffle,chunk_0,1,KR,0.5772594497879044,96
binary+conshuffle+wshuffle,chunk_0,1,MC,,96
binary+conshuffle+wshuffle,chunk_0,2,GR,0.4713600296745854,96
binary+conshuffle+wshuffle,chunk_0,2,IPC,,96
binary+conshuffle+wshuffle,chunk_0,2,KR,0.5886613662282747,96
binary+conshuffle+wshuffle,chunk_0,2,MC,,96
binary+conshuffle+wshuffle,chunk_0,3,GR,0.4812770622756774,96
binary+conshuffle+wshuffle,chunk_0,3,IPC,,96
binary+conshuffle+wshuffle,chunk_0,3,KR,0.5670241501768865,96
binary+conshuffle+wshuffle,chunk_0,3,MC,,96
binary+conshuffle+wshuffle,chunk_0,4,GR,0.36116935896989993,96
binary+conshuffle+wshuffle,chunk_0,4,IPC,,96
binary+conshuffle+wshuffle,chunk_0,4,KR,0.5536163015640794,96
binary+conshuffle+wshuffle,chunk_0,4,MC,,96
binary+conshuffle+wshuffle,chunk_0,5,GR,0.44931743837364685,96
binary+conshuffle+wshuffle,chunk_0,5,IPC,,96
binary+conshuffle+wshuffle,chunk_0,5,KR,0.6268493444157043,96
binary+conshuffle+wshuffle,chunk_0,5,MC,,96
binary+conshuffle+wshuffle,chunk_0,6,GR,0.4388705399835359,96
binary+conshuffle+wshuffle,chunk_0,6,IPC,,96
binary+conshuffle+wshuffle,chunk_0,6,KR,0.608168810053327,96
binary+conshuffle+wshuffle,chunk_0,6,MC,,96
binary+conshuffle+wshuffle,chunk_0,7,GR,0.4018587318710944,96
binary+conshuffle+wshuffle,chunk_0,7,IPC,,96
binary+conshuffle+wshuffle,chunk_0,7,KR,0.574296785655602,96
binary+conshuffle+wshuffle,chunk_0,7,MC,,96
binary+conshuffle+wshuffle,chunk_0,8,GR,0.46775887406381433,96
binary+conshuffle+wshuffle,chunk_0,8,IPC,,96
binary+conshuffle+wshuffle,chunk_0,8,KR,0.5672757220736114,96
binary+conshuffle+wshuffle,chunk_0,8,MC,,96
binary+conshuffle+wshuffle,chunk_0,9,GR,0.3880592874327426,96
binary+conshuffle+wshuffle,chunk_0,9,IPC,,96
binary+conshuffle+wshuffle,chunk_0,9,KR,0.5883436823432496,96
binary+conshuffle+wshuffle,chunk_0,9,MC,,96
binary+conshuffle+wshuffle,chunk_1,10,GR,0.4939204419198552,96
binary+conshuffle+wshuffle,chunk_1,10,IPC,,96
binary+conshuffle+wshuffle,chunk_1,10,KR,0.5853094002838738,96
binary+conshuffle+wshuffle,chunk_1,10,MC,,96
binary+conshuffle+wshuffle,chunk_1,11,GR,0.3434290193162129,96
binary+conshuffle+wshuffle,chunk_1,11,IPC,,96
binary+conshuffle+wshuffle,chunk_1,11,KR,0.569501662711151,96
binary+conshuffle+wshuffle,chunk_1,11,MC,,96
binary+conshuffle+wshuffle,chunk_1,12,GR,0.4259980785739299,96
binary+conshuffle+wshuffle,chunk_1,12,IPC,,96
binary+conshuffle+wshuffle,chunk_1,12,KR,0.5661570149827962,96
binary+conshuffle+wshuffle,chunk_1,12,MC,,96
binary+conshuffle+wshuffle,chunk_1,13,GR,0.484444448699301,96
binary+conshuffle+wshuffle,chunk_1,13,IPC,,96
binary+conshuffle+wshuffle,chunk_1,13,KR,0.5853020419697506,96
binary+conshuffle+wshuffle,chunk_1,13,MC,,96
binary+conshuffle+wshuffle,chunk_1,14,GR,0.37081267618069474,96
binary+conshuffle+wshuffle,chunk_1,14,IPC,,96
binary+conshuffle+wshuffle,chunk_1,14,KR,0.5628175490575638,96
binary+conshuffle+wshuffle,chunk_1,14,MC,,96
binary+conshuffle+wshuffle,chunk_1,15,GR,0.42811949208051203,96
binary+conshuffle+wshuffle,chunk_1,15,IPC,,96
binary+conshuffle+wshuffle,chunk_1,15,KR,0.5827386960492047,96
binary+conshuffle+wshuffle,chunk_1,15,MC,,96
binary+conshuffle+wshuffle,chunk_1,16,GR,0.4796163551610228,96
binary+conshuffle+wshuffle,chunk_1,16,IPC,,96
binary+conshuffle+wshuffle,chunk_1,16,KR,0.5803872544136234,96
binary+conshuffle+wshuffle,chunk_1,16,MC,,96
binary+conshuffle+wshuffle,chunk_1,17,GR,0.40982217672183635,96
binary+conshuffle+wshuffle,chunk_1,17,IPC,,96
binary+conshuffle+wshuffle,chunk_1,17,KR,0.5733409789723123,96
binary+conshuffle+wshuffle,chunk_1,17,MC,,96
binary+conshuffle+wshuffle,chunk_1,18,GR,0.5026852171872844,96
binary+conshuffle+wshuffle,chunk_1,18,IPC,,96
binary+conshuffle+wshuffle,chunk_1,18,KR,0.5877268096142533,96
binary+conshuffle+wshuffle,chunk_1,18,MC,,96
binary+conshuffle+wshuffle,chunk_1,19,GR,0.5188594637480509,96
binary+conshuffle+wshuffle,chunk_1,19,IPC,,96
binary+conshuffle+wshuffle,chunk_1,19,KR,0.5884000001526463,96
binary+conshuffle+wshuffle,chunk_1,19,MC,,96
binary+conshuffle+wshuffle,chunk_10,100,GR,0.4788023788639588,96
