mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,scale_factor
sign_test_er0.0,spectral_radius,70,0.6,0.6,0.1,0.0,,,5.0,4.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.6,0.1,0.1,,,7.0,4.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.6,0.5,0.0,,,9.0,5.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.6,0.5,0.1,,,13.0,6.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.6,1.0,0.0,,,12.0,5.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.6,1.0,0.1,,,17.0,7.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.6,1.5,0.0,,,15.0,5.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.6,1.5,0.1,,,20.0,6.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,0.1,0.0,,,6.0,4.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,0.1,0.1,,,8.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,0.5,0.0,,,11.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,0.5,0.1,,,15.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,1.0,0.0,,,13.0,4.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,1.0,0.1,,,17.0,4.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,1.5,0.0,,,15.0,4.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,0.8,1.5,0.1,,,21.0,4.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,0.1,0.0,,,6.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,0.1,0.1,,,8.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,0.5,0.0,,,12.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,0.5,0.1,,,16.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,1.0,0.0,,,15.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,1.0,0.1,,,20.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,1.5,0.0,,,18.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.6,1.0,1.5,0.1,,,23.0,3.0,0.002036306308582425,0.04273028299212456,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.6000003814697266,0.04983922055239179
sign_test_er0.0,spectral_radius,70,0.8,0.6,0.1,0.0,,,6.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.6,0.1,0.1,,,8.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.6,0.5,0.0,,,12.0,6.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.6,0.5,0.1,,,16.0,7.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.6,1.0,0.0,,,15.0,6.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.6,1.0,0.1,,,20.0,7.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.6,1.5,0.0,,,17.0,6.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.6,1.5,0.1,,,23.0,7.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,0.1,0.0,,,6.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,0.1,0.1,,,8.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,0.5,0.0,,,12.0,5.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,0.5,0.1,,,17.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,1.0,0.0,,,18.0,5.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,1.0,0.1,,,23.0,5.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,1.5,0.0,,,20.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,0.8,1.5,0.1,,,26.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,0.1,0.0,,,7.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,0.1,0.1,,,11.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,0.5,0.0,,,16.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,0.5,0.1,,,21.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,1.0,0.0,,,20.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,1.0,0.1,,,28.0,4.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,1.5,0.0,,,23.0,3.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.8,1.0,1.5,0.1,,,30.0,3.0,0.0027150751557201147,0.042730312794446945,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.8000001311302185,0.06645229406985573
sign_test_er0.0,spectral_radius,70,0.95,0.6,0.1,0.0,,,6.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.6,0.1,0.1,,,7.0,4.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.6,0.5,0.0,,,13.0,6.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.6,0.5,0.1,,,17.0,7.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.6,1.0,0.0,,,17.0,6.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.6,1.0,0.1,,,24.0,7.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.6,1.5,0.0,,,21.0,7.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.6,1.5,0.1,,,27.0,7.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,0.1,0.0,,,7.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,0.1,0.1,,,9.0,4.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,0.5,0.0,,,16.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,0.5,0.1,,,22.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,1.0,0.0,,,20.0,6.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,1.0,0.1,,,28.0,6.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,1.5,0.0,,,24.0,6.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,0.8,1.5,0.1,,,31.0,6.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,0.1,0.0,,,8.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,0.1,0.1,,,11.0,4.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,0.5,0.0,,,20.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,0.5,0.1,,,27.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,1.0,0.0,,,25.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,1.0,0.1,,,34.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,1.5,0.0,,,30.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,0.95,1.0,1.5,0.1,,,37.0,5.0,0.00322415167465806,0.04273029416799545,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,0.9500004053115845,0.07891209920795367
sign_test_er0.0,spectral_radius,70,1.05,0.6,0.1,0.0,,,6.0,5.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.6,0.1,0.1,,,7.0,4.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.6,0.5,0.0,,,15.0,7.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.6,0.5,0.1,,,21.0,8.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.6,1.0,0.0,,,20.0,6.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.6,1.0,0.1,,,27.0,8.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.6,1.5,0.0,,,22.0,8.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.6,1.5,0.1,,,29.0,9.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.8,0.1,0.0,,,7.0,5.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.8,0.1,0.1,,,9.0,4.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
sign_test_er0.0,spectral_radius,70,1.05,0.8,0.5,0.0,,,17.0,6.0,0.003563535865396261,0.042730286717414856,0.0,7012346,chunk_7,12.038711547851562,6.265897274017334,1.0500001907348633,0.08721863596668564
