mode,src,group_id,metric,dispersion,n_hparams
binary+conshuffle+wshuffle,chunk_0,0,GR,0.42374968067447144,96
binary+conshuffle+wshuffle,chunk_0,0,IPC,,96
binary+conshuffle+wshuffle,chunk_0,0,KR,0.42040997702817584,96
binary+conshuffle+wshuffle,chunk_0,0,MC,,96
binary+conshuffle+wshuffle,chunk_0,1,GR,0.4166534231802283,96
binary+conshuffle+wshuffle,chunk_0,1,IPC,,96
binary+conshuffle+wshuffle,chunk_0,1,KR,0.4174152426326274,96
binary+conshuffle+wshuffle,chunk_0,1,MC,,96
binary+conshuffle+wshuffle,chunk_0,2,GR,0.3593502318978071,96
binary+conshuffle+wshuffle,chunk_0,2,IPC,,96
binary+conshuffle+wshuffle,chunk_0,2,KR,0.4363435084881433,96
binary+conshuffle+wshuffle,chunk_0,2,MC,,96
binary+conshuffle+wshuffle,chunk_0,3,GR,0.4476317023170559,96
binary+conshuffle+wshuffle,chunk_0,3,IPC,,96
binary+conshuffle+wshuffle,chunk_0,3,KR,0.41214652796931966,96
binary+conshuffle+wshuffle,chunk_0,3,MC,,96
binary+conshuffle+wshuffle,chunk_0,4,GR,0.387164315137949,96
binary+conshuffle+wshuffle,chunk_0,4,IPC,,96
binary+conshuffle+wshuffle,chunk_0,4,KR,0.40231743768968575,96
binary+conshuffle+wshuffle,chunk_0,4,MC,,96
binary+conshuffle+wshuffle,chunk_0,5,GR,0.4137201213126091,96
binary+conshuffle+wshuffle,chunk_0,5,IPC,,96
binary+conshuffle+wshuffle,chunk_0,5,KR,0.4546293960784278,96
binary+conshuffle+wshuffle,chunk_0,5,MC,,96
binary+conshuffle+wshuffle,chunk_0,6,GR,0.47848310465121,96
binary+conshuffle+wshuffle,chunk_0,6,IPC,,96
binary+conshuffle+wshuffle,chunk_0,6,KR,0.43507813040561766,96
binary+conshuffle+wshuffle,chunk_0,6,MC,,96
binary+conshuffle+wshuffle,chunk_0,7,GR,0.44989494401095387,96
binary+conshuffle+wshuffle,chunk_0,7,IPC,,96
binary+conshuffle+wshuffle,chunk_0,7,KR,0.4331677416261896,96
binary+conshuffle+wshuffle,chunk_0,7,MC,,96
binary+conshuffle+wshuffle,chunk_0,8,GR,0.5004621241732198,96
binary+conshuffle+wshuffle,chunk_0,8,IPC,,96
binary+conshuffle+wshuffle,chunk_0,8,KR,0.4337212587583016,96
binary+conshuffle+wshuffle,chunk_0,8,MC,,96
binary+conshuffle+wshuffle,chunk_0,9,GR,0.4672909229715375,96
binary+conshuffle+wshuffle,chunk_0,9,IPC,,96
binary+conshuffle+wshuffle,chunk_0,9,KR,0.4199057023109126,96
binary+conshuffle+wshuffle,chunk_0,9,MC,,96
binary+conshuffle+wshuffle,chunk_1,10,GR,0.5061953508700853,96
binary+conshuffle+wshuffle,chunk_1,10,IPC,,96
binary+conshuffle+wshuffle,chunk_1,10,KR,0.43562956639217504,96
binary+conshuffle+wshuffle,chunk_1,10,MC,,96
binary+conshuffle+wshuffle,chunk_1,11,GR,0.39472764343641586,96
binary+conshuffle+wshuffle,chunk_1,11,IPC,,96
binary+conshuffle+wshuffle,chunk_1,11,KR,0.38832502224256377,96
binary+conshuffle+wshuffle,chunk_1,11,MC,,96
binary+conshuffle+wshuffle,chunk_1,12,GR,0.3628206742263515,96
binary+conshuffle+wshuffle,chunk_1,12,IPC,,96
binary+conshuffle+wshuffle,chunk_1,12,KR,0.43062885336773987,96
binary+conshuffle+wshuffle,chunk_1,12,MC,,96
binary+conshuffle+wshuffle,chunk_1,13,GR,0.3375212674685606,96
binary+conshuffle+wshuffle,chunk_1,13,IPC,,96
binary+conshuffle+wshuffle,chunk_1,13,KR,0.4196263507834834,96
binary+conshuffle+wshuffle,chunk_1,13,MC,,96
binary+conshuffle+wshuffle,chunk_1,14,GR,0.4248760324608168,96
binary+conshuffle+wshuffle,chunk_1,14,IPC,,96
binary+conshuffle+wshuffle,chunk_1,14,KR,0.38148489724034884,96
binary+conshuffle+wshuffle,chunk_1,14,MC,,96
binary+conshuffle+wshuffle,chunk_1,15,GR,0.4818189650868735,96
binary+conshuffle+wshuffle,chunk_1,15,IPC,,96
binary+conshuffle+wshuffle,chunk_1,15,KR,0.4351221965784672,96
binary+conshuffle+wshuffle,chunk_1,15,MC,,96
binary+conshuffle+wshuffle,chunk_1,16,GR,0.38672241185786416,96
binary+conshuffle+wshuffle,chunk_1,16,IPC,,96
binary+conshuffle+wshuffle,chunk_1,16,KR,0.4308694704030069,96
binary+conshuffle+wshuffle,chunk_1,16,MC,,96
binary+conshuffle+wshuffle,chunk_1,17,GR,0.47764951559671,96
binary+conshuffle+wshuffle,chunk_1,17,IPC,,96
binary+conshuffle+wshuffle,chunk_1,17,KR,0.4154442294206015,96
binary+conshuffle+wshuffle,chunk_1,17,MC,,96
binary+conshuffle+wshuffle,chunk_1,18,GR,0.3333883833168455,96
binary+conshuffle+wshuffle,chunk_1,18,IPC,,96
binary+conshuffle+wshuffle,chunk_1,18,KR,0.4390672427235616,96
binary+conshuffle+wshuffle,chunk_1,18,MC,,96
binary+conshuffle+wshuffle,chunk_1,19,GR,0.4249924544047282,96
binary+conshuffle+wshuffle,chunk_1,19,IPC,,96
binary+conshuffle+wshuffle,chunk_1,19,KR,0.43509284016228367,96
binary+conshuffle+wshuffle,chunk_1,19,MC,,96
binary+conshuffle+wshuffle,chunk_10,100,GR,0.41523112816414043,96
binary+conshuffle+wshuffle,chunk_10,100,IPC,,96
binary+conshuffle+wshuffle,chunk_10,100,KR,0.4389514241022263,96
binary+conshuffle+wshuffle,chunk_10,100,MC,,96
binary+conshuffle+wshuffle,chunk_10,101,GR,0.408331995069001,96
binary+conshuffle+wshuffle,chunk_10,101,IPC,,96
binary+conshuffle+wshuffle,chunk_10,101,KR,0.40726964604481275,96
binary+conshuffle+wshuffle,chunk_10,101,MC,,96
binary+conshuffle+wshuffle,chunk_10,102,GR,0.4393550876883402,96
binary+conshuffle+wshuffle,chunk_10,102,IPC,,96
binary+conshuffle+wshuffle,chunk_10,102,KR,0.44381891622122877,96
binary+conshuffle+wshuffle,chunk_10,102,MC,,96
binary+conshuffle+wshuffle,chunk_10,103,GR,0.3520898809957852,96
binary+conshuffle+wshuffle,chunk_10,103,IPC,,96
binary+conshuffle+wshuffle,chunk_10,103,KR,0.4283636192195722,96
binary+conshuffle+wshuffle,chunk_10,103,MC,,96
binary+conshuffle+wshuffle,chunk_10,104,GR,0.425769173038877,96
binary+conshuffle+wshuffle,chunk_10,104,IPC,,96
binary+conshuffle+wshuffle,chunk_10,104,KR,0.4264144989998606,96
binary+conshuffle+wshuffle,chunk_10,104,MC,,96
binary+conshuffle+wshuffle,chunk_10,105,GR,0.45485962422735765,96
binary+conshuffle+wshuffle,chunk_10,105,IPC,,96
binary+conshuffle+wshuffle,chunk_10,105,KR,0.40928997996859423,96
