mode,src,group_id,metric,dispersion,n_hparams
sign_test_er0.0,chunk_0,0,GR,0.19602487506971542,96
sign_test_er0.0,chunk_0,0,IPC,,96
sign_test_er0.0,chunk_0,0,KR,0.29326731539664846,96
sign_test_er0.0,chunk_0,0,MC,,96
sign_test_er0.0,chunk_0,1,GR,0.2251711799659127,96
sign_test_er0.0,chunk_0,1,IPC,,96
sign_test_er0.0,chunk_0,1,KR,0.28907417570348526,96
sign_test_er0.0,chunk_0,1,MC,,96
sign_test_er0.0,chunk_0,2,GR,0.2894422801942315,96
sign_test_er0.0,chunk_0,2,IPC,,96
sign_test_er0.0,chunk_0,2,KR,0.29696076487636347,96
sign_test_er0.0,chunk_0,2,MC,,96
sign_test_er0.0,chunk_0,3,GR,0.2761858705285847,96
sign_test_er0.0,chunk_0,3,IPC,,96
sign_test_er0.0,chunk_0,3,KR,0.26657710528319434,96
sign_test_er0.0,chunk_0,3,MC,,96
sign_test_er0.0,chunk_0,4,GR,0.23394560020933328,96
sign_test_er0.0,chunk_0,4,IPC,,96
sign_test_er0.0,chunk_0,4,KR,0.28917364589537226,96
sign_test_er0.0,chunk_0,4,MC,,96
sign_test_er0.0,chunk_0,5,GR,0.17830839848776095,96
sign_test_er0.0,chunk_0,5,IPC,,96
sign_test_er0.0,chunk_0,5,KR,0.2966582140676137,96
sign_test_er0.0,chunk_0,5,MC,,96
sign_test_er0.0,chunk_0,6,GR,0.1833894619538879,96
sign_test_er0.0,chunk_0,6,IPC,,96
sign_test_er0.0,chunk_0,6,KR,0.30809325561929507,96
sign_test_er0.0,chunk_0,6,MC,,96
sign_test_er0.0,chunk_0,7,GR,0.2035521958113591,96
sign_test_er0.0,chunk_0,7,IPC,,96
sign_test_er0.0,chunk_0,7,KR,0.28312177187151727,96
sign_test_er0.0,chunk_0,7,MC,,96
sign_test_er0.0,chunk_0,8,GR,0.2385581928038867,96
sign_test_er0.0,chunk_0,8,IPC,,96
sign_test_er0.0,chunk_0,8,KR,0.27996180256878705,96
sign_test_er0.0,chunk_0,8,MC,,96
sign_test_er0.0,chunk_0,9,GR,0.30047714304228385,96
sign_test_er0.0,chunk_0,9,IPC,,96
sign_test_er0.0,chunk_0,9,KR,0.29534115210459716,96
sign_test_er0.0,chunk_0,9,MC,,96
sign_test_er0.0,chunk_1,10,GR,0.19392050748324527,96
sign_test_er0.0,chunk_1,10,IPC,,96
sign_test_er0.0,chunk_1,10,KR,0.30184567863409417,96
sign_test_er0.0,chunk_1,10,MC,,96
sign_test_er0.0,chunk_1,11,GR,0.24187881839376454,96
sign_test_er0.0,chunk_1,11,IPC,,96
sign_test_er0.0,chunk_1,11,KR,0.2912285004600684,96
sign_test_er0.0,chunk_1,11,MC,,96
sign_test_er0.0,chunk_1,12,GR,0.25979892482452277,96
sign_test_er0.0,chunk_1,12,IPC,,96
sign_test_er0.0,chunk_1,12,KR,0.312355635211068,96
sign_test_er0.0,chunk_1,12,MC,,96
sign_test_er0.0,chunk_1,13,GR,0.19821914404105037,96
sign_test_er0.0,chunk_1,13,IPC,,96
sign_test_er0.0,chunk_1,13,KR,0.3042392529299958,96
sign_test_er0.0,chunk_1,13,MC,,96
sign_test_er0.0,chunk_1,14,GR,0.2892449317297528,96
sign_test_er0.0,chunk_1,14,IPC,,96
sign_test_er0.0,chunk_1,14,KR,0.2855683071872343,96
sign_test_er0.0,chunk_1,14,MC,,96
sign_test_er0.0,chunk_1,15,GR,0.27516347538468605,96
sign_test_er0.0,chunk_1,15,IPC,,96
sign_test_er0.0,chunk_1,15,KR,0.2670177628832671,96
sign_test_er0.0,chunk_1,15,MC,,96
sign_test_er0.0,chunk_1,16,GR,0.24771356932889818,96
sign_test_er0.0,chunk_1,16,IPC,,96
sign_test_er0.0,chunk_1,16,KR,0.3126788485559982,96
sign_test_er0.0,chunk_1,16,MC,,96
sign_test_er0.0,chunk_1,17,GR,0.29126141864442007,96
sign_test_er0.0,chunk_1,17,IPC,,96
sign_test_er0.0,chunk_1,17,KR,0.27161915034671974,96
sign_test_er0.0,chunk_1,17,MC,,96
sign_test_er0.0,chunk_1,18,GR,0.20715966075773856,96
sign_test_er0.0,chunk_1,18,IPC,,96
sign_test_er0.0,chunk_1,18,KR,0.30556002653162984,96
sign_test_er0.0,chunk_1,18,MC,,96
sign_test_er0.0,chunk_1,19,GR,0.24460499977547717,96
sign_test_er0.0,chunk_1,19,IPC,,96
sign_test_er0.0,chunk_1,19,KR,0.3025897159789463,96
sign_test_er0.0,chunk_1,19,MC,,96
sign_test_er0.0,chunk_10,100,GR,0.2163334956787111,96
sign_test_er0.0,chunk_10,100,IPC,,96
sign_test_er0.0,chunk_10,100,KR,0.3065158452927149,96
sign_test_er0.0,chunk_10,100,MC,,96
sign_test_er0.0,chunk_10,101,GR,0.23684865791811457,96
sign_test_er0.0,chunk_10,101,IPC,,96
sign_test_er0.0,chunk_10,101,KR,0.2820970659127569,96
sign_test_er0.0,chunk_10,101,MC,,96
sign_test_er0.0,chunk_10,102,GR,0.24246201894888705,96
sign_test_er0.0,chunk_10,102,IPC,,96
sign_test_er0.0,chunk_10,102,KR,0.3160417439735232,96
sign_test_er0.0,chunk_10,102,MC,,96
sign_test_er0.0,chunk_10,103,GR,0.2354244569906493,96
sign_test_er0.0,chunk_10,103,IPC,,96
sign_test_er0.0,chunk_10,103,KR,0.3105042191992189,96
sign_test_er0.0,chunk_10,103,MC,,96
sign_test_er0.0,chunk_10,104,GR,0.23732436440757188,96
sign_test_er0.0,chunk_10,104,IPC,,96
sign_test_er0.0,chunk_10,104,KR,0.2839755729130656,96
sign_test_er0.0,chunk_10,104,MC,,96
