mode,src,group_id,metric,mean,n_hparams
sign_test_er0.0,chunk_0,0,GR,2.9014002718031406,96
sign_test_er0.0,chunk_0,0,IPC,,96
sign_test_er0.0,chunk_0,0,KR,2.8895303023358188,96
sign_test_er0.0,chunk_0,0,MC,,96
sign_test_er0.0,chunk_0,0,cosine_similarity,0.04273030068725343,96
sign_test_er0.0,chunk_0,0,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,0,wt_mean,0.00287895550718525,96
sign_test_er0.0,chunk_0,1,GR,2.8593048291901746,96
sign_test_er0.0,chunk_0,1,IPC,,96
sign_test_er0.0,chunk_0,1,KR,3.120736909409364,96
sign_test_er0.0,chunk_0,1,MC,,96
sign_test_er0.0,chunk_0,1,cosine_similarity,0.042730314657092046,96
sign_test_er0.0,chunk_0,1,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,1,wt_mean,0.0028638582443818,96
sign_test_er0.0,chunk_0,2,GR,3.0379181231061616,96
sign_test_er0.0,chunk_0,2,IPC,,96
sign_test_er0.0,chunk_0,2,KR,2.956945113837719,96
sign_test_er0.0,chunk_0,2,MC,,96
sign_test_er0.0,chunk_0,2,cosine_similarity,0.03745837695896625,96
sign_test_er0.0,chunk_0,2,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,2,wt_mean,0.002866307157091725,96
sign_test_er0.0,chunk_0,3,GR,3.145403854548931,96
sign_test_er0.0,chunk_0,3,IPC,,96
sign_test_er0.0,chunk_0,3,KR,2.7883706217010817,96
sign_test_er0.0,chunk_0,3,MC,,96
sign_test_er0.0,chunk_0,3,cosine_similarity,0.04384016897529363,96
sign_test_er0.0,chunk_0,3,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,3,wt_mean,0.00286323629552495,96
sign_test_er0.0,chunk_0,4,GR,2.543085483213266,96
sign_test_er0.0,chunk_0,4,IPC,,96
sign_test_er0.0,chunk_0,4,KR,3.257378159711758,96
sign_test_er0.0,chunk_0,4,MC,,96
sign_test_er0.0,chunk_0,4,cosine_similarity,0.041620426811277776,96
sign_test_er0.0,chunk_0,4,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,4,wt_mean,0.002855800441466225,96
sign_test_er0.0,chunk_0,5,GR,2.658951253940662,96
sign_test_er0.0,chunk_0,5,IPC,,96
sign_test_er0.0,chunk_0,5,KR,3.064023702094952,96
sign_test_er0.0,chunk_0,5,MC,,96
sign_test_er0.0,chunk_0,5,cosine_similarity,0.03829077910631892,96
sign_test_er0.0,chunk_0,5,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,5,wt_mean,0.002871747536119025,96
sign_test_er0.0,chunk_0,6,GR,2.7928867526352406,96
sign_test_er0.0,chunk_0,6,IPC,,96
sign_test_er0.0,chunk_0,6,KR,2.8606442051629224,96
sign_test_er0.0,chunk_0,6,MC,,96
sign_test_er0.0,chunk_0,6,cosine_similarity,0.03773584775626655,96
sign_test_er0.0,chunk_0,6,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,6,wt_mean,0.00284225807990875,96
sign_test_er0.0,chunk_0,7,GR,2.8279048626621566,96
sign_test_er0.0,chunk_0,7,IPC,,96
sign_test_er0.0,chunk_0,7,KR,3.045422205080589,96
sign_test_er0.0,chunk_0,7,MC,,96
sign_test_er0.0,chunk_0,7,cosine_similarity,0.04467258416116235,96
sign_test_er0.0,chunk_0,7,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,7,wt_mean,0.002843296446371775,96
sign_test_er0.0,chunk_0,8,GR,2.812101268519958,96
sign_test_er0.0,chunk_0,8,IPC,,96
sign_test_er0.0,chunk_0,8,KR,3.0516186840832233,96
sign_test_er0.0,chunk_0,8,MC,,96
sign_test_er0.0,chunk_0,8,cosine_similarity,0.0402330635115504,96
sign_test_er0.0,chunk_0,8,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,8,wt_mean,0.00286429718835275,96
sign_test_er0.0,chunk_0,9,GR,3.32619900132219,96
sign_test_er0.0,chunk_0,9,IPC,,96
sign_test_er0.0,chunk_0,9,KR,2.8728515282273293,96
sign_test_er0.0,chunk_0,9,MC,,96
sign_test_er0.0,chunk_0,9,cosine_similarity,0.03773585893213745,96
sign_test_er0.0,chunk_0,9,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_0,9,wt_mean,0.002882744011003475,96
sign_test_er0.0,chunk_1,10,GR,2.375810573498408,96
sign_test_er0.0,chunk_1,10,IPC,,96
sign_test_er0.0,chunk_1,10,KR,3.127779004474481,96
sign_test_er0.0,chunk_1,10,MC,,96
sign_test_er0.0,chunk_1,10,cosine_similarity,0.041065485216677175,96
sign_test_er0.0,chunk_1,10,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_1,10,wt_mean,0.002872720826417175,96
sign_test_er0.0,chunk_1,11,GR,2.545975467811028,96
sign_test_er0.0,chunk_1,11,IPC,,96
sign_test_er0.0,chunk_1,11,KR,3.2022877323130765,96
sign_test_er0.0,chunk_1,11,MC,,96
sign_test_er0.0,chunk_1,11,cosine_similarity,0.0413429550826549,96
sign_test_er0.0,chunk_1,11,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_1,11,wt_mean,0.00283563783159475,96
sign_test_er0.0,chunk_1,12,GR,2.3408766202628613,96
sign_test_er0.0,chunk_1,12,IPC,,96
sign_test_er0.0,chunk_1,12,KR,3.642449208845695,96
sign_test_er0.0,chunk_1,12,MC,,96
sign_test_er0.0,chunk_1,12,cosine_similarity,0.041065493598580353,96
sign_test_er0.0,chunk_1,12,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_1,12,wt_mean,0.002875854726880725,96
sign_test_er0.0,chunk_1,13,GR,2.3375340464214482,96
sign_test_er0.0,chunk_1,13,IPC,,96
sign_test_er0.0,chunk_1,13,KR,3.2559320827325187,96
sign_test_er0.0,chunk_1,13,MC,,96
sign_test_er0.0,chunk_1,13,cosine_similarity,0.04051054082810875,96
sign_test_er0.0,chunk_1,13,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_1,13,wt_mean,0.0028630970045923497,96
sign_test_er0.0,chunk_1,14,GR,3.1638265550136566,96
sign_test_er0.0,chunk_1,14,IPC,,96
sign_test_er0.0,chunk_1,14,KR,2.925037423769633,96
sign_test_er0.0,chunk_1,14,MC,,96
sign_test_er0.0,chunk_1,14,cosine_similarity,0.04189789108932015,96
sign_test_er0.0,chunk_1,14,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_1,14,wt_mean,0.0028559656348078996,96
sign_test_er0.0,chunk_1,15,GR,3.0660448831816516,96
sign_test_er0.0,chunk_1,15,IPC,,96
sign_test_er0.0,chunk_1,15,KR,2.8733423091471195,96
sign_test_er0.0,chunk_1,15,MC,,96
sign_test_er0.0,chunk_1,15,cosine_similarity,0.042730291374027674,96
sign_test_er0.0,chunk_1,15,kl_to_gaussian,0.0,96
sign_test_er0.0,chunk_1,15,wt_mean,0.00284539326094085,96
