mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,scale_factor
real,spectral_radius,160,0.6,0.6,0.1,0.0,,,8.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.6,0.1,0.1,,,9.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.6,0.5,0.0,,,15.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.6,0.5,0.1,,,20.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.6,1.0,0.0,,,19.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.6,1.0,0.1,,,26.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.6,1.5,0.0,,,24.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.6,1.5,0.1,,,29.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.8,0.1,0.0,,,9.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.8,0.1,0.1,,,11.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.8,0.5,0.0,,,18.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
real,spectral_radius,160,0.6,0.8,0.5,0.1,,,23.0,,0.0009228195413015783,0.30317220091819763,0.6825477831120434,16012346,chunk_16,78.10224151611328,78.10224151611328,0.6000003218650818,0.007682237901920061
