mode,src,group_id,metric,dispersion,n_hparams
binary+conshuffle+wshuffle,chunk_0,0,GR,,96
binary+conshuffle+wshuffle,chunk_0,0,IPC,,96
binary+conshuffle+wshuffle,chunk_0,0,KR,0.5869785682604495,96
binary+conshuffle+wshuffle,chunk_0,0,MC,,96
binary+conshuffle+wshuffle,chunk_0,1,GR,,96
binary+conshuffle+wshuffle,chunk_0,1,IPC,,96
binary+conshuffle+wshuffle,chunk_0,1,KR,0.5977831396923023,96
binary+conshuffle+wshuffle,chunk_0,1,MC,,96
binary+conshuffle+wshuffle,chunk_0,2,GR,,96
binary+conshuffle+wshuffle,chunk_0,2,IPC,,96
binary+conshuffle+wshuffle,chunk_0,2,KR,0.6078798892614458,96
binary+conshuffle+wshuffle,chunk_0,2,MC,,96
binary+conshuffle+wshuffle,chunk_0,3,GR,,96
binary+conshuffle+wshuffle,chunk_0,3,IPC,,96
binary+conshuffle+wshuffle,chunk_0,3,KR,0.5892656711931021,96
binary+conshuffle+wshuffle,chunk_0,3,MC,,96
binary+conshuffle+wshuffle,chunk_0,4,GR,,96
binary+conshuffle+wshuffle,chunk_0,4,IPC,,96
binary+conshuffle+wshuffle,chunk_0,4,KR,0.5749026755662079,96
binary+conshuffle+wshuffle,chunk_0,4,MC,,96
binary+conshuffle+wshuffle,chunk_0,5,GR,,96
binary+conshuffle+wshuffle,chunk_0,5,IPC,,96
binary+conshuffle+wshuffle,chunk_0,5,KR,0.6449353415476576,96
binary+conshuffle+wshuffle,chunk_0,5,MC,,96
binary+conshuffle+wshuffle,chunk_0,6,GR,,96
binary+conshuffle+wshuffle,chunk_0,6,IPC,,96
binary+conshuffle+wshuffle,chunk_0,6,KR,0.6254034028455999,96
binary+conshuffle+wshuffle,chunk_0,6,MC,,96
binary+conshuffle+wshuffle,chunk_0,7,GR,,96
binary+conshuffle+wshuffle,chunk_0,7,IPC,,96
binary+conshuffle+wshuffle,chunk_0,7,KR,0.5983760110513967,96
binary+conshuffle+wshuffle,chunk_0,7,MC,,96
binary+conshuffle+wshuffle,chunk_0,8,GR,,96
binary+conshuffle+wshuffle,chunk_0,8,IPC,,96
binary+conshuffle+wshuffle,chunk_0,8,KR,0.5857308280634519,96
binary+conshuffle+wshuffle,chunk_0,8,MC,,96
binary+conshuffle+wshuffle,chunk_0,9,GR,,96
binary+conshuffle+wshuffle,chunk_0,9,IPC,,96
binary+conshuffle+wshuffle,chunk_0,9,KR,0.6030881303680783,96
binary+conshuffle+wshuffle,chunk_0,9,MC,,96
binary+conshuffle+wshuffle,chunk_1,10,GR,,96
binary+conshuffle+wshuffle,chunk_1,10,IPC,,96
binary+conshuffle+wshuffle,chunk_1,10,KR,0.5991804582398629,96
binary+conshuffle+wshuffle,chunk_1,10,MC,,96
binary+conshuffle+wshuffle,chunk_1,11,GR,,96
binary+conshuffle+wshuffle,chunk_1,11,IPC,,96
binary+conshuffle+wshuffle,chunk_1,11,KR,0.5804312712388452,96
binary+conshuffle+wshuffle,chunk_1,11,MC,,96
binary+conshuffle+wshuffle,chunk_1,12,GR,,96
binary+conshuffle+wshuffle,chunk_1,12,IPC,,96
binary+conshuffle+wshuffle,chunk_1,12,KR,0.5822518735827673,96
binary+conshuffle+wshuffle,chunk_1,12,MC,,96
binary+conshuffle+wshuffle,chunk_1,13,GR,,96
binary+conshuffle+wshuffle,chunk_1,13,IPC,,96
binary+conshuffle+wshuffle,chunk_1,13,KR,0.6067015596858268,96
binary+conshuffle+wshuffle,chunk_1,13,MC,,96
binary+conshuffle+wshuffle,chunk_1,14,GR,,96
binary+conshuffle+wshuffle,chunk_1,14,IPC,,96
binary+conshuffle+wshuffle,chunk_1,14,KR,0.5708734041114572,96
binary+conshuffle+wshuffle,chunk_1,14,MC,,96
binary+conshuffle+wshuffle,chunk_1,15,GR,,96
binary+conshuffle+wshuffle,chunk_1,15,IPC,,96
binary+conshuffle+wshuffle,chunk_1,15,KR,0.609478579390512,96
binary+conshuffle+wshuffle,chunk_1,15,MC,,96
binary+conshuffle+wshuffle,chunk_1,16,GR,,96
binary+conshuffle+wshuffle,chunk_1,16,IPC,,96
binary+conshuffle+wshuffle,chunk_1,16,KR,0.5943258486500795,96
binary+conshuffle+wshuffle,chunk_1,16,MC,,96
binary+conshuffle+wshuffle,chunk_1,17,GR,,96
binary+conshuffle+wshuffle,chunk_1,17,IPC,,96
binary+conshuffle+wshuffle,chunk_1,17,KR,0.5799772952399066,96
binary+conshuffle+wshuffle,chunk_1,17,MC,,96
binary+conshuffle+wshuffle,chunk_1,18,GR,,96
binary+conshuffle+wshuffle,chunk_1,18,IPC,,96
