mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,140,0.6,0.6,0.1,0.0,5.117076396942139,5.801195860764075,1.8187977075576782,1.8796769380569458,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.6,0.1,0.1,5.124286651611328,5.773487573666841,1.8891628980636597,2.0146825313568115,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.6,0.5,0.0,4.641185283660889,7.0377060108188765,2.1189005374908447,2.795880079269409,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.6,0.5,0.1,4.4846930503845215,6.783414129223161,2.3652069568634033,3.318807601928711,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.6,1.0,0.0,3.769803524017334,6.945542968749123,2.4210474491119385,3.865427255630493,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.6,1.0,0.1,2.838582992553711,5.053722178540966,2.7758429050445557,4.712411880493164,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.6,1.5,0.0,3.1401121616363525,6.091122601236805,2.5982062816619873,4.630075454711914,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.6,1.5,0.1,2.811500310897827,5.0352482864985575,2.999631643295288,5.68385648727417,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,0.1,0.0,5.739351749420166,6.68603196959004,1.9784265756607056,2.0487189292907715,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,0.1,0.1,5.686488151550293,6.513417144485487,2.0585319995880127,2.1983754634857178,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,0.5,0.0,4.933864116668701,7.909706687383647,2.3310725688934326,3.1286330223083496,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,0.5,0.1,4.971721172332764,7.463904277871052,2.6086370944976807,3.7092254161834717,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,1.0,0.0,3.391239881515503,5.999684886255061,2.67769193649292,4.394575595855713,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,1.0,0.1,3.679898262023926,4.541981978116226,3.0753824710845947,5.34248161315918,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,1.5,0.0,2.5877673625946045,4.482383357133415,2.8776581287384033,5.300020694732666,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,0.8,1.5,0.1,2.346418619155884,3.6016559979451017,3.325364589691162,6.476523399353027,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,0.1,0.0,6.477489471435547,7.6567055284463095,2.2457661628723145,2.3314249515533447,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,0.1,0.1,6.385625839233398,7.416127864332566,2.340341567993164,2.505599021911621,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,0.5,0.0,5.219949245452881,7.5036618861340685,2.659769296646118,3.6419589519500732,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,0.5,0.1,5.554855823516846,8.099358530892715,2.9787304401397705,4.307988166809082,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,1.0,0.0,4.521788597106934,7.384296290691054,3.0511465072631836,5.165916442871094,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,1.0,0.1,3.297950267791748,6.190745056185278,3.50295090675354,6.250027179718018,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,1.5,0.0,2.9239912033081055,6.3333009501951665,3.2741799354553223,6.251781463623047,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.6,1.0,1.5,0.1,3.8416037559509277,6.5086683896670365,3.7790963649749756,7.587342262268066,0.0006156653980724514,0.3294062614440918,0.657565065114348,14012346,chunk_14
real,140,0.8,0.6,0.1,0.0,6.058787822723389,6.87169293367711,2.174703598022461,2.261050224304199,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.6,0.1,0.1,6.031618595123291,6.778406568457854,2.268796682357788,2.4355735778808594,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.6,0.5,0.0,5.536853790283203,8.572079376841401,2.5579674243927,3.474463939666748,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,0.6,0.5,0.1,5.094461441040039,7.583257188750395,2.874462366104126,4.134649276733398,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
