mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,375,0.6,0.6,0.1,4.396582126617432,4.787236689826386,1.5223193168640137,1.5652551651000977,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,0.6,0.5,4.398922920227051,6.985449285617506,1.769905924797058,2.2145955562591553,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,0.6,1.0,3.452739715576172,6.202160188186738,2.0616095066070557,3.0437052249908447,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,0.6,1.5,2.7480099201202393,4.924504664750316,2.246488332748413,3.6446127891540527,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,0.8,0.1,4.755210876464844,5.3627860287587055,1.5968115329742432,1.6430184841156006,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,0.8,0.5,4.065370559692383,6.3341945040765495,1.8720749616622925,2.3752427101135254,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,0.8,1.0,4.082927227020264,7.194214368129337,2.2007381916046143,3.338528633117676,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,0.8,1.5,3.1975038051605225,5.436186507540306,2.410351037979126,4.047555923461914,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,1.0,0.1,5.229137420654297,6.287186018166068,1.7091277837753296,1.7596341371536255,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,1.0,0.5,4.637495517730713,7.674549065496649,2.023221731185913,2.605344295501709,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,1.0,1.0,3.097754955291748,4.583407842281673,2.4008729457855225,3.747995615005493,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.6,1.0,1.5,3.895190715789795,6.185062453587136,2.6415436267852783,4.600608825683594,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37512346,chunk_15
real,375,0.8,0.6,0.1,5.209321975708008,5.6977161851204166,1.7940375804901123,1.859857201576233,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,0.6,0.5,4.848984718322754,7.527582698459014,2.1071019172668457,2.6904118061065674,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,0.6,1.0,4.021204948425293,6.330389158091236,2.4679043292999268,3.7691755294799805,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,0.6,1.5,2.648188352584839,4.536996985053861,2.685286283493042,4.547775745391846,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,0.8,0.1,5.63207483291626,6.429399248907799,1.8984341621398926,1.9697017669677734,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,0.8,0.5,4.844947338104248,6.69148126897106,2.260660409927368,2.942460775375366,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,0.8,1.0,4.25709867477417,8.206471709148673,2.6858434677124023,4.253291130065918,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,0.8,1.5,2.0280487537384033,4.432715689497741,2.944498300552368,5.2151994705200195,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,1.0,0.1,6.28010368347168,7.404416224532918,2.0718071460723877,2.1496071815490723,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,1.0,0.5,4.767970085144043,7.447125127482979,2.5045053958892822,3.3258652687072754,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,1.0,1.0,3.1753785610198975,6.451732079036418,3.0152575969696045,4.956663131713867,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.8,1.0,1.5,3.484454393386841,6.054594060397989,3.3244354724884033,6.168736457824707,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37512346,chunk_15
real,375,0.95,0.6,0.1,5.405670166015625,5.960097986347932,2.205390691757202,2.3196442127227783,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,0.6,0.5,4.597041606903076,6.551904212362388,2.551121473312378,3.3212332725524902,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,0.6,1.0,3.7767131328582764,6.38441432804575,2.9326276779174805,4.603877067565918,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,0.6,1.5,3.002882242202759,5.688447269058644,3.149183511734009,5.515840530395508,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,0.8,0.1,6.184630870819092,7.032471707590178,2.327951669692993,2.4515297412872314,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,0.8,0.5,4.767281532287598,7.805898620018922,2.750671863555908,3.6747958660125732,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,0.8,1.0,4.11467170715332,7.172729918904285,3.228182315826416,5.300912380218506,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,0.8,1.5,2.4980387687683105,4.752438403799886,3.5037574768066406,6.472010612487793,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,1.0,0.1,7.156154155731201,8.31449864553177,2.5598161220550537,2.695016860961914,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,1.0,0.5,6.168252944946289,8.692629285953444,3.0937373638153076,4.241118907928467,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,1.0,1.0,4.728610038757324,7.524335913710161,3.695911169052124,6.345613956451416,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,0.95,1.0,1.5,4.833560466766357,8.270931403299215,4.039210319519043,7.870593547821045,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37512346,chunk_15
real,375,1.05,0.6,0.1,5.152120590209961,5.633079609036642,2.2109270095825195,2.385652780532837,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,0.6,0.5,3.630584239959717,5.3114252862001194,3.124213218688965,4.209890842437744,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,0.6,1.0,3.515272378921509,6.032058862252427,3.432049036026001,5.503398895263672,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,0.6,1.5,2.475809097290039,5.241230690627162,3.5800681114196777,6.422403335571289,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,0.8,0.1,5.522380828857422,6.3030888736560655,2.3625295162200928,2.5607433319091797,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,0.8,0.5,4.431056499481201,7.297114312451868,3.419037103652954,4.7736639976501465,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,0.8,1.0,3.5822393894195557,5.970776137448198,3.7906577587127686,6.406260013580322,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,0.8,1.5,3.6411378383636475,5.811812483316004,4.011663436889648,7.6344380378723145,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,1.0,0.1,7.1458659172058105,8.292217987693567,2.635787010192871,2.8684356212615967,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,1.0,0.5,4.438544273376465,6.9432711375104645,3.870577335357666,5.599926948547363,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,1.0,1.0,4.145721912384033,7.7774258898154045,4.374208450317383,7.776014804840088,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,375,1.05,1.0,1.5,4.110581874847412,6.9980990591612695,4.677083492279053,9.42928409576416,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37512346,chunk_15
real,376,0.6,0.6,0.1,3.723067283630371,4.381057541301892,1.5610287189483643,1.616041898727417,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,0.6,0.5,3.1945297718048096,4.5098464533059825,1.8395814895629883,2.38962721824646,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,0.6,1.0,3.1310126781463623,6.36347908475158,2.106849431991577,3.2729625701904297,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,0.6,1.5,2.4301722049713135,5.1947512457565495,2.2656962871551514,3.886037588119507,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,0.8,0.1,4.4843573570251465,5.437614806298191,1.649611234664917,1.7116206884384155,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,0.8,0.5,3.6008896827697754,5.5616475093108875,1.9612325429916382,2.5932865142822266,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,0.8,1.0,3.3272783756256104,5.96727742412877,2.262843608856201,3.6154232025146484,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,0.8,1.5,2.944784641265869,5.431892266028626,2.441006660461426,4.324604034423828,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,1.0,0.1,5.4252095222473145,6.586811206782315,1.7881555557250977,1.8600772619247437,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,1.0,0.5,4.852689743041992,6.923215468520934,2.149794578552246,2.8943819999694824,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,1.0,1.0,4.531470775604248,7.17784453169827,2.497659683227539,4.104704856872559,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.6,1.0,1.5,3.066389322280884,5.648635496290474,2.698462963104248,4.938338756561279,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37612346,chunk_15
real,376,0.8,0.6,0.1,4.381865978240967,5.213771231064904,1.8577830791473389,1.9290010929107666,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,0.6,0.5,4.2444024085998535,7.514772620117469,2.1924469470977783,2.894468307495117,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,0.6,1.0,2.9874444007873535,5.718972986638789,2.5005297660827637,4.023608207702637,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,0.6,1.5,2.638655662536621,4.765247087957107,2.675302505493164,4.8065667152404785,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,0.8,0.1,5.3571367263793945,6.443534524952206,1.9886499643325806,2.073662281036377,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,0.8,0.5,4.727434158325195,6.644248573315849,2.3814597129821777,3.2265148162841797,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,0.8,1.0,3.2843337059020996,5.429677404464428,2.7468981742858887,4.59431791305542,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,0.8,1.5,3.170488119125366,6.34082025370958,2.952545642852783,5.53900671005249,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,1.0,0.1,6.637018203735352,8.051514273547582,2.2108466625213623,2.316796064376831,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,1.0,0.5,5.188836574554443,7.680034462933904,2.696336269378662,3.756096839904785,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,1.0,1.0,3.3409671783447266,4.895924548809653,3.140800714492798,5.46408224105835,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.8,1.0,1.5,3.442195177078247,6.4143201359718205,3.3808910846710205,6.624426364898682,0.0012374025536701083,0.5628095865249634,0.8963917027065043,37612346,chunk_15
real,376,0.95,0.6,0.1,4.663869380950928,5.6084759549334535,2.3015027046203613,2.3731400966644287,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,0.6,0.5,3.3543410301208496,4.868851461462327,2.6374447345733643,3.50504207611084,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,0.6,1.0,3.1345906257629395,6.1034095514423825,2.925213575363159,4.8240509033203125,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,0.6,1.5,2.4673895835876465,4.951385987366393,3.0837337970733643,5.735485553741455,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,0.8,0.1,5.8056960105896,6.969074873720956,2.4659645557403564,2.565953254699707,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,0.8,0.5,5.003072261810303,8.314881567713172,2.887396812438965,3.9735493659973145,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,0.8,1.0,3.7332406044006348,6.766088519090523,3.2547073364257812,5.634398937225342,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,0.8,1.5,3.716913938522339,6.534459498588603,3.456641912460327,6.77100133895874,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,1.0,0.1,7.399695873260498,8.968621248026263,2.7731082439422607,2.913978338241577,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,1.0,0.5,5.612994194030762,8.849590374457279,3.3336589336395264,4.772480487823486,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,1.0,1.0,3.765486001968384,7.422134986880337,3.8129148483276367,6.933902263641357,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,0.95,1.0,1.5,3.5595340728759766,6.3952304716121375,4.0605082511901855,8.370951652526855,0.0014694154961034656,0.5628095865249634,0.8920824145035202,37612346,chunk_15
real,376,1.05,0.6,0.1,4.542916774749756,5.493269325532765,2.316915988922119,2.52994441986084,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,0.6,0.5,3.767488479614258,6.798324727985175,3.2588462829589844,4.6962103843688965,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,0.6,1.0,3.1112451553344727,5.948285633614986,3.377139091491699,5.665746688842773,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,0.6,1.5,1.7383722066879272,3.4717746777487015,3.455984354019165,6.572122573852539,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,0.8,0.1,5.7901811599731445,6.823092003570082,2.525688409805298,2.779430627822876,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,0.8,0.5,4.885788440704346,7.1069809687298715,3.569093704223633,5.273813724517822,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,0.8,1.0,4.350526809692383,7.126719180599345,3.7629220485687256,6.663219928741455,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,0.8,1.5,3.1998820304870605,6.070035473526453,3.8959062099456787,7.853893280029297,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,1.0,0.1,6.892043113708496,8.181844097569183,2.9072647094726562,3.230285882949829,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,1.0,0.5,4.305202484130859,7.5567408740591215,4.135843276977539,6.214754104614258,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,1.0,1.0,4.4386701583862305,7.456511670661712,4.441204071044922,8.330955505371094,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,376,1.05,1.0,1.5,3.508591890335083,6.854431031118253,4.638016223907471,9.886787414550781,0.0016240908298641443,0.5628097057342529,0.8963917266257883,37612346,chunk_15
real,377,0.6,0.6,0.1,3.943783760070801,4.51340697712817,1.7909109592437744,1.8573248386383057,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37712346,chunk_15
real,377,0.6,0.6,0.5,2.1455464363098145,3.096869455925116,2.1184329986572266,2.778639554977417,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37712346,chunk_15
real,377,0.6,0.6,1.0,2.5527472496032715,4.624273845540429,2.3911900520324707,3.743010997772217,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37712346,chunk_15
real,377,0.6,0.6,1.5,2.7905526161193848,4.926700222274661,2.522982120513916,4.374105453491211,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37712346,chunk_15
real,377,0.6,0.8,0.1,4.618585109710693,5.52038128406457,1.8942043781280518,1.967708945274353,0.0009280519443564117,0.5628097057342529,0.8963917938895556,37712346,chunk_15
