mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
global_sign_pres,100,0.6,0.6,0.1,5.806885242462158,7.252318126816704,2.290628433227539,2.391296148300171,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,0.6,0.5,4.98369836807251,8.496914785391837,2.87925386428833,4.063543319702148,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,0.6,1.0,3.826136589050293,6.4197397720263325,3.4112181663513184,5.9394145011901855,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,0.6,1.5,2.5300452709198,4.050684933570267,3.6583690643310547,7.174260139465332,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,0.8,0.1,6.800265789031982,8.52249858969492,2.579688549041748,2.710481882095337,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,0.8,0.5,4.225197792053223,7.303309148095714,3.3308606147766113,4.859490394592285,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,0.8,1.0,4.303171157836914,7.690356567511413,3.983217716217041,7.246985912322998,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,0.8,1.5,3.348109722137451,6.236107216241123,4.263435363769531,8.779048919677734,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,1.0,0.1,7.909206390380859,9.890894524320304,3.089365005493164,3.2699718475341797,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,1.0,0.5,5.3898210525512695,9.03206464058853,4.087553024291992,6.1533894538879395,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,1.0,1.0,4.214200496673584,6.700342980657155,4.884989261627197,9.23422622680664,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.6,1.0,1.5,3.6254916191101074,6.872660593165961,5.187431812286377,11.112488746643066,0.0009577306336723268,0.3383558988571167,0.6575650679207231,10012346,chunk_10
global_sign_pres,100,0.8,0.6,0.1,7.208007335662842,8.80752911207037,2.9522268772125244,3.105179786682129,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,0.6,0.5,5.2815141677856445,8.451437305378137,3.8827178478240967,5.745190620422363,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,0.6,1.0,4.19133996963501,7.220927836999792,4.654700756072998,8.56930923461914,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,0.6,1.5,2.9200236797332764,3.6584685559130357,4.964668273925781,10.312321662902832,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,0.8,0.1,8.330209732055664,10.252831954518797,3.4544851779937744,3.6773767471313477,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,0.8,0.5,5.575615882873535,8.918946536911562,4.690621852874756,7.240808486938477,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,0.8,1.0,4.350706577301025,6.826495823368099,5.644590377807617,10.87092113494873,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,0.8,1.5,3.94040846824646,6.136318530436483,5.985970973968506,13.032164573669434,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,1.0,0.1,9.676021575927734,12.046370891041217,4.452934265136719,4.80958890914917,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,1.0,0.5,6.490087032318115,9.929342434787344,6.121525764465332,9.799907684326172,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,1.0,1.0,5.174332618713379,8.99025721942644,7.261509895324707,14.48739242553711,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.8,1.0,1.5,4.487699508666992,7.21364279952266,7.589632987976074,17.089120864868164,0.0012769741006195545,0.33835577964782715,0.6575650528989263,10012346,chunk_10
global_sign_pres,100,0.95,0.6,0.1,8.359241485595703,9.959461857192338,3.5741710662841797,3.7866828441619873,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
global_sign_pres,100,0.95,0.6,0.5,5.454174995422363,8.23811822019303,4.853752136230469,7.46333122253418,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
global_sign_pres,100,0.95,0.6,1.0,4.360595226287842,7.038873459929611,5.841214656829834,11.145371437072754,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
global_sign_pres,100,0.95,0.6,1.5,3.224217653274536,5.739210627985585,6.187715530395508,13.275236129760742,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
global_sign_pres,100,0.95,0.8,0.1,9.614112854003906,11.543888017108884,4.3045654296875,4.649780750274658,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
global_sign_pres,100,0.95,0.8,0.5,5.71254825592041,9.66482521471903,6.013716697692871,9.679811477661133,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
global_sign_pres,100,0.95,0.8,1.0,4.328491687774658,6.1186288996188125,7.203762531280518,14.349579811096191,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
global_sign_pres,100,0.95,0.8,1.5,3.788429021835327,5.468270035062005,7.569474697113037,16.935773849487305,0.0015164067735895514,0.3383557200431824,0.657565093863299,10012346,chunk_10
