EI_bal,frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
176,1,0,0.0,0.2,0.5,0.0,0.0,71.2662124633789,101.18485260009766
176,1,0,0.0,0.2,1.0,0.5099095702171326,0.5171430110931396,15.396132469177246,13.21327018737793
176,1,0,0.0,0.2,2.0,0.0,0.0,83.10992431640625,85.49213409423828
176,1,0,0.0,0.5,0.5,0.0,0.0,125.00967407226562,136.3445281982422
176,1,0,0.0,0.5,1.0,0.0,0.0,135.5854034423828,152.9402618408203
176,1,0,0.0,0.5,2.0,0.0,0.0,144.62351989746094,149.60720825195312
176,1,0,0.0,0.8,0.5,0.0,0.0,178.9790496826172,175.7205047607422
176,1,0,0.0,0.8,1.0,0.0,0.0,186.56991577148438,185.82066345214844
176,1,0,0.0,0.8,2.0,0.0,0.0,178.76171875,176.1359405517578
176,1,1,0.0,0.2,0.5,0.0,0.0,73.36418914794922,72.30624389648438
176,1,1,0.0,0.2,1.0,0.02760535478591919,0.027715325355529785,34.744293212890625,33.22615432739258
176,1,1,0.0,0.2,2.0,0.012586772441864014,0.013917922973632812,35.45656204223633,83.15503692626953
176,1,1,0.0,0.5,0.5,0.0,0.0,150.89920043945312,145.08319091796875
176,1,1,0.0,0.5,1.0,0.0,0.0,128.87179565429688,149.20632934570312
176,1,1,0.0,0.5,2.0,0.0,0.0,142.62889099121094,141.3365936279297
176,1,1,0.0,0.8,0.5,0.0,0.0,193.96011352539062,193.03025817871094
176,1,1,0.0,0.8,1.0,0.0,0.0,192.01913452148438,192.26101684570312
176,1,1,0.0,0.8,2.0,0.0,0.0,191.30709838867188,194.04354858398438
176,1,2,0.0,0.2,0.5,0.0,0.0,52.15346908569336,55.13996505737305
176,1,2,0.0,0.2,1.0,0.22737765312194824,0.23020023107528687,29.99380111694336,35.57884216308594
176,1,2,0.0,0.2,2.0,0.0,0.0,56.4263916015625,64.64360046386719
176,1,2,0.0,0.5,0.5,0.0,0.0,125.42762756347656,126.37088012695312
176,1,2,0.0,0.5,1.0,0.0,0.0,127.62488555908203,129.1669158935547
176,1,2,0.0,0.5,2.0,0.0,0.0,127.44396209716797,127.3716049194336
176,1,2,0.0,0.8,0.5,0.0,0.0,181.95419311523438,181.684814453125
176,1,2,0.0,0.8,1.0,0.0,0.0,181.83596801757812,188.98593139648438
176,1,2,0.0,0.8,2.0,0.0,0.0,184.44985961914062,185.95626831054688
176,1,3,0.0,0.2,0.5,0.23805522918701172,0.23278802633285522,28.37373161315918,60.8423957824707
176,1,3,0.0,0.2,1.0,0.06409597396850586,0.0641661286354065,28.790800094604492,60.42116165161133
176,1,3,0.0,0.2,2.0,2.295745611190796,2.4807207584381104,9.077442169189453,20.95907974243164
176,1,3,0.0,0.5,0.5,0.0,0.0,58.35513687133789,55.78919219970703
176,1,3,0.0,0.5,1.0,0.0,0.0,55.181156158447266,56.550514221191406
176,1,3,0.0,0.5,2.0,0.07471084594726562,0.07461029291152954,57.51116180419922,56.73320007324219
176,1,3,0.0,0.8,0.5,0.0,0.0,19.198261260986328,41.93677520751953
176,1,3,0.0,0.8,1.0,0.6995105743408203,0.6769828200340271,17.205886840820312,35.838199615478516
176,1,3,0.0,0.8,2.0,0.7922223210334778,0.7986036539077759,15.982474327087402,35.1014289855957
176,1,4,0.0,0.2,0.5,0.994375467300415,0.9976587295532227,26.79266357421875,30.637399673461914
176,1,4,0.0,0.2,1.0,1.4071646928787231,1.291219413280487,25.881738662719727,24.452367782592773
176,1,4,0.0,0.2,2.0,0.9970942139625549,1.0006093978881836,28.8898983001709,31.342144012451172
176,1,4,0.0,0.5,0.5,0.0,0.0,110.87491607666016,117.0970230102539
176,1,4,0.0,0.5,1.0,0.0,0.0,112.20552062988281,117.4378433227539
176,1,4,0.0,0.5,2.0,0.18239307403564453,0.18185991048812866,104.63568115234375,103.25880432128906
176,1,4,0.0,0.8,0.5,0.7891215682029724,0.7925350069999695,16.28631591796875,48.02717590332031
176,1,4,0.0,0.8,1.0,0.027777135372161865,0.02981966733932495,49.093238830566406,76.01312255859375
176,1,4,0.0,0.8,2.0,0.0038760900497436523,0.005645692348480225,52.660404205322266,89.69176483154297
177,1,0,0.0,0.2,0.5,0.0,0.0,110.12030029296875,113.59270477294922
177,1,0,0.0,0.2,1.0,0.03557103872299194,0.038230836391448975,36.890525817871094,117.23056030273438
177,1,0,0.0,0.2,2.0,0.0,0.0,108.37081146240234,106.38130187988281
177,1,0,0.0,0.5,0.5,0.0,0.0,154.96023559570312,158.73770141601562
177,1,0,0.0,0.5,1.0,0.0,0.0,157.90199279785156,157.53152465820312
177,1,0,0.0,0.5,2.0,0.0,0.0,155.71286010742188,154.45306396484375
177,1,0,0.0,0.8,0.5,0.0,0.0,181.83761596679688,184.97470092773438
177,1,0,0.0,0.8,1.0,0.0,0.0,180.17605590820312,186.84580993652344
177,1,0,0.0,0.8,2.0,0.0,0.0,178.0949249267578,181.16729736328125
177,1,1,0.0,0.2,0.5,0.48416006565093994,0.48475581407546997,16.538164138793945,15.339629173278809
177,1,1,0.0,0.2,1.0,0.4403284192085266,0.4139242172241211,28.906005859375,26.19409942626953
177,1,1,0.0,0.2,2.0,3.2291829586029053,3.3501747846603394,12.096701622009277,11.186446189880371
177,1,1,0.0,0.5,0.5,0.34753239154815674,0.34949320554733276,42.92461395263672,46.49425506591797
177,1,1,0.0,0.5,1.0,0.0,0.0,58.5666618347168,74.04917907714844
177,1,1,0.0,0.5,2.0,0.004455626010894775,0.0050969719886779785,54.00569152832031,56.22804260253906
177,1,1,0.0,0.8,0.5,0.0,0.0,170.0631561279297,167.21275329589844
177,1,1,0.0,0.8,1.0,0.0,0.0,148.8091278076172,160.09303283691406
177,1,1,0.0,0.8,2.0,0.0,0.0,123.65593719482422,156.80055236816406
177,1,2,0.0,0.2,0.5,0.0,0.0,33.72531509399414,35.31050109863281
177,1,2,0.0,0.2,1.0,0.0,0.0,46.04021453857422,51.759822845458984
177,1,2,0.0,0.2,2.0,0.0,0.0,34.152442932128906,65.04118347167969
177,1,2,0.0,0.5,0.5,0.0,0.0,112.49421691894531,117.27226257324219
177,1,2,0.0,0.5,1.0,0.0,0.0,113.31005096435547,113.89502716064453
177,1,2,0.0,0.5,2.0,0.0,0.0,111.5167007446289,116.96226501464844
177,1,2,0.0,0.8,0.5,0.0,0.0,179.0851593017578,184.078369140625
177,1,2,0.0,0.8,1.0,0.0003508329391479492,0.0,181.29347229003906,181.9987030029297
