EI_bal,frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
20,1,0,0.8,0.2,0.5,5.439813137054443,7.267313182353973,2.932393789291382,4.012688636779785
20,1,0,0.8,0.2,1.0,4.099248886108398,6.25152450799942,3.2772738933563232,4.997187614440918
20,1,0,0.8,0.2,2.0,0.4785386323928833,1.493768334388733,3.3311641216278076,6.697927474975586
20,1,0,0.8,0.5,0.5,5.5057573318481445,8.224487781524658,3.3688313961029053,4.847711086273193
20,1,0,0.8,0.5,1.0,2.3912088871002197,4.226287126541138,4.248347282409668,7.583204746246338
20,1,0,0.8,0.5,2.0,1.6947424411773682,2.595783829689026,4.096058368682861,8.927915573120117
20,1,0,0.8,0.8,0.5,6.666948318481445,9.63432377576828,3.9078922271728516,6.162026882171631
20,1,0,0.8,0.8,1.0,5.0727009773254395,6.827112317085266,4.795280456542969,9.492220878601074
20,1,0,0.8,0.8,2.0,2.2837772369384766,2.5283958315849304,6.130643367767334,14.712873458862305
20,1,0,1.0,0.2,0.5,5.707479000091553,7.720919370651245,3.989889144897461,5.302745819091797
20,1,0,1.0,0.2,1.0,3.9577443599700928,6.284507513046265,4.572806358337402,7.994934558868408
20,1,0,1.0,0.2,2.0,1.0618658065795898,1.9605315327644348,4.306375980377197,8.784314155578613
20,1,0,1.0,0.5,0.5,5.616533279418945,8.725345432758331,5.2610039710998535,7.765860080718994
20,1,0,1.0,0.5,1.0,0.6985200047492981,1.2263529896736145,5.434237957000732,10.553154945373535
20,1,0,1.0,0.5,2.0,1.1079071760177612,1.7229830026626587,5.999327182769775,14.49034309387207
20,1,0,1.0,0.8,0.5,6.05512809753418,8.353366136550903,5.821301460266113,8.89624309539795
20,1,0,1.0,0.8,1.0,3.9619507789611816,5.581939876079559,8.183974266052246,17.400392532348633
20,1,0,1.0,0.8,2.0,2.845454692840576,4.534634292125702,8.379050254821777,21.985801696777344
20,1,0,1.2,0.2,0.5,1.285940408706665,2.087709426879883,5.987249374389648,9.269862174987793
20,1,0,1.2,0.2,1.0,1.7073670625686646,2.738306224346161,6.913695812225342,13.291162490844727
20,1,0,1.2,0.2,2.0,0.7254253029823303,0.9090674519538879,5.3926825523376465,12.488481521606445
20,1,0,1.2,0.5,0.5,1.0204458236694336,1.2931087613105774,8.362946510314941,13.040810585021973
20,1,0,1.2,0.5,1.0,2.3042263984680176,3.403058886528015,9.581535339355469,17.825305938720703
20,1,0,1.2,0.5,2.0,1.6174473762512207,1.8341392278671265,7.696229457855225,19.07171630859375
20,1,0,1.2,0.8,0.5,3.358426332473755,6.747128069400787,14.787071228027344,24.548810958862305
20,1,0,1.2,0.8,1.0,3.936288356781006,6.3646156787872314,11.614533424377441,25.6529483795166
20,1,0,1.2,0.8,2.0,4.116471767425537,5.768023312091827,11.061262130737305,31.252201080322266
20,1,1,0.8,0.2,0.5,4.100612163543701,7.447226822376251,2.948308229446411,4.026440620422363
20,1,1,0.8,0.2,1.0,5.131917476654053,7.930992424488068,3.1227548122406006,5.023039817810059
20,1,1,0.8,0.2,2.0,1.2764596939086914,2.5326284170150757,3.431682825088501,6.705219268798828
20,1,1,0.8,0.5,0.5,4.943263530731201,7.914776265621185,3.4451613426208496,5.088234901428223
20,1,1,0.8,0.5,1.0,3.3829846382141113,4.556442677974701,3.868997812271118,6.949256420135498
20,1,1,0.8,0.5,2.0,1.381453275680542,2.1570305824279785,4.854498386383057,10.91038703918457
20,1,1,0.8,0.8,0.5,4.828675270080566,7.7924113273620605,4.198290824890137,6.5831522941589355
20,1,1,0.8,0.8,1.0,4.220086574554443,6.073079407215118,5.830284118652344,12.013191223144531
20,1,1,0.8,0.8,2.0,2.4829559326171875,3.621906101703644,5.665098190307617,14.11174201965332
20,1,1,1.0,0.2,0.5,5.805332183837891,8.020439982414246,4.4787211418151855,6.458523750305176
20,1,1,1.0,0.2,1.0,3.5700271129608154,5.2152411341667175,4.94937801361084,8.117077827453613
20,1,1,1.0,0.2,2.0,0.7497513890266418,1.1616284847259521,4.0572614669799805,8.474778175354004
20,1,1,1.0,0.5,0.5,5.927608966827393,9.160009443759918,4.283005237579346,6.077478408813477
20,1,1,1.0,0.5,1.0,2.571434736251831,3.8400502800941467,6.133647918701172,12.077387809753418
20,1,1,1.0,0.5,2.0,0.8223980069160461,0.9282050728797913,5.911031246185303,15.216841697692871
20,1,1,1.0,0.8,0.5,6.248945236206055,8.527799785137177,6.433637619018555,10.082119941711426
