model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
real,0,0.95,0.8,1.0,0.0,0.0,1,odd,5.33560043126181
real,0,0.95,0.8,1.0,0.0,0.0,2,even,0.03660748061132679
real,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.8172284672241323
real,0,0.95,0.8,1.0,0.0,0.0,4,even,0.04178230859757548
real,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.32016022149014134
real,0,0.95,0.8,1.0,0.0,0.0,6,even,0.03012133246124904
real,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.2659423046020226
real,0,0.95,0.8,1.0,0.0,0.0,8,even,0.039256007753522226
real,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.06862802496149811
real,0,0.95,0.8,1.0,0.0,0.0,10,even,0.03552054509177083
real,0,0.95,0.8,1.0,0.0,0.001,1,odd,5.326078369864263
real,0,0.95,0.8,1.0,0.0,0.001,2,even,0.01606175908818841
real,0,0.95,0.8,1.0,0.0,0.001,3,odd,1.8040249325567856
real,0,0.95,0.8,1.0,0.0,0.001,4,even,0.027532341075129807
real,0,0.95,0.8,1.0,0.0,0.001,5,odd,0.305349595262669
real,0,0.95,0.8,1.0,0.0,0.001,6,even,0.014701889944262803
real,0,0.95,0.8,1.0,0.0,0.001,7,odd,0.2506622966611758
real,0,0.95,0.8,1.0,0.0,0.001,8,even,0.02761184668634087
real,0,0.95,0.8,1.0,0.0,0.001,9,odd,0.050919409026391804
real,0,0.95,0.8,1.0,0.0,0.001,10,even,0.018381941481493413
real,0,0.95,0.8,1.0,0.0,0.005,1,odd,5.285693984478712
real,0,0.95,0.8,1.0,0.0,0.005,2,even,0.0
real,0,0.95,0.8,1.0,0.0,0.005,3,odd,1.7766291499137878
real,0,0.95,0.8,1.0,0.0,0.005,4,even,0.0
real,0,0.95,0.8,1.0,0.0,0.005,5,odd,0.2809076104313135
real,0,0.95,0.8,1.0,0.0,0.005,6,even,0.0
real,0,0.95,0.8,1.0,0.0,0.005,7,odd,0.22513536363840103
real,0,0.95,0.8,1.0,0.0,0.005,8,even,0.0
real,0,0.95,0.8,1.0,0.0,0.005,9,odd,0.028161165304481983
real,0,0.95,0.8,1.0,0.0,0.005,10,even,0.0
real,0,0.95,0.8,1.0,0.0,0.01,1,odd,5.285693984478712
real,0,0.95,0.8,1.0,0.0,0.01,2,even,0.0
real,0,0.95,0.8,1.0,0.0,0.01,3,odd,1.7766291499137878
real,0,0.95,0.8,1.0,0.0,0.01,4,even,0.0
real,0,0.95,0.8,1.0,0.0,0.01,5,odd,0.2809076104313135
real,0,0.95,0.8,1.0,0.0,0.01,6,even,0.0
real,0,0.95,0.8,1.0,0.0,0.01,7,odd,0.22513536363840103
real,0,0.95,0.8,1.0,0.0,0.01,8,even,0.0
real,0,0.95,0.8,1.0,0.0,0.01,9,odd,0.019567091017961502
real,0,0.95,0.8,1.0,0.0,0.01,10,even,0.0
real,0,0.95,0.8,1.0,0.1,0.0,1,odd,3.4325662344068046
real,0,0.95,0.8,1.0,0.1,0.0,2,even,1.14011908097741
real,0,0.95,0.8,1.0,0.1,0.0,3,odd,1.1832142674282196
real,0,0.95,0.8,1.0,0.1,0.0,4,even,0.18589236220539124
real,0,0.95,0.8,1.0,0.1,0.0,5,odd,0.358528943413603
real,0,0.95,0.8,1.0,0.1,0.0,6,even,0.04937965549157752
real,0,0.95,0.8,1.0,0.1,0.0,7,odd,0.12183749137508926
real,0,0.95,0.8,1.0,0.1,0.0,8,even,0.0531982585907258
real,0,0.95,0.8,1.0,0.1,0.0,9,odd,0.053556797036173553
real,0,0.95,0.8,1.0,0.1,0.0,10,even,0.027967594207751745
real,0,0.95,0.8,1.0,0.1,0.001,1,odd,3.417464316356927
real,0,0.95,0.8,1.0,0.1,0.001,2,even,1.1272546218242496
real,0,0.95,0.8,1.0,0.1,0.001,3,odd,1.1656580059789121
real,0,0.95,0.8,1.0,0.1,0.001,4,even,0.16684901667758822
real,0,0.95,0.8,1.0,0.1,0.001,5,odd,0.3357037305831909
real,0,0.95,0.8,1.0,0.1,0.001,6,even,0.03400454728398472
real,0,0.95,0.8,1.0,0.1,0.001,7,odd,0.10887653031386435
real,0,0.95,0.8,1.0,0.1,0.001,8,even,0.03788494388572872
real,0,0.95,0.8,1.0,0.1,0.001,9,odd,0.034766073571518064
real,0,0.95,0.8,1.0,0.1,0.001,10,even,0.013561439467594028
real,0,0.95,0.8,1.0,0.1,0.005,1,odd,3.388113372027874
real,0,0.95,0.8,1.0,0.1,0.005,2,even,1.09840552136302
real,0,0.95,0.8,1.0,0.1,0.005,3,odd,1.1361212246119976
real,0,0.95,0.8,1.0,0.1,0.005,4,even,0.1421257220208645
real,0,0.95,0.8,1.0,0.1,0.005,5,odd,0.32990430761128664
real,0,0.95,0.8,1.0,0.1,0.005,6,even,0.007020742166787386
real,0,0.95,0.8,1.0,0.1,0.005,7,odd,0.075324815697968
real,0,0.95,0.8,1.0,0.1,0.005,8,even,0.008226176723837852
real,0,0.95,0.8,1.0,0.1,0.005,9,odd,0.018589848652482033
real,0,0.95,0.8,1.0,0.1,0.005,10,even,0.0
real,0,0.95,0.8,1.0,0.1,0.01,1,odd,3.388113372027874
real,0,0.95,0.8,1.0,0.1,0.01,2,even,1.0894597545266151
real,0,0.95,0.8,1.0,0.1,0.01,3,odd,1.1361212246119976
real,0,0.95,0.8,1.0,0.1,0.01,4,even,0.1421257220208645
real,0,0.95,0.8,1.0,0.1,0.01,5,odd,0.32341997139155865
real,0,0.95,0.8,1.0,0.1,0.01,6,even,0.0
real,0,0.95,0.8,1.0,0.1,0.01,7,odd,0.06435487233102322
real,0,0.95,0.8,1.0,0.1,0.01,8,even,0.0
real,0,0.95,0.8,1.0,0.1,0.01,9,odd,0.018589848652482033
real,0,0.95,0.8,1.0,0.1,0.01,10,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,1,odd,3.3851714441393987
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,2,even,0.04819158981507794
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.6577222073117355
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,4,even,0.02953180527789201
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.5125174476793717
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,6,even,0.041525459968550615
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.3248861144476725
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,8,even,0.04030388081243608
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.16272691216738622
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,10,even,0.040557321311013084
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.001,1,odd,3.368693116819486
