model,seed,rho_target,leak,input_scale,order,ipc_contrib
real,0,0.95,0.8,1.0,1,3.005929946899414
real,0,0.95,0.8,1.0,2,0.01853179931640625
real,0,0.95,0.8,1.0,3,0.9717326164245605
real,0,0.95,0.8,1.0,4,1.233816146850586e-05
real,0,0.95,0.8,1.0,5,0.7811994552612305
real,0,0.95,0.8,1.0,6,0.0
real,0,0.95,0.8,1.0,7,0.09379559755325317
real,0,0.95,0.8,1.0,8,0.0027042627334594727
real,0,0.95,0.8,1.0,9,0.052369892597198486
real,0,0.95,0.8,1.0,10,0.001377105712890625
shuffle_weights,0,0.95,0.8,1.0,1,3.441735327243805
shuffle_weights,0,0.95,0.8,1.0,2,0.0
shuffle_weights,0,0.95,0.8,1.0,3,1.7640520334243774
shuffle_weights,0,0.95,0.8,1.0,4,0.0
shuffle_weights,0,0.95,0.8,1.0,5,0.0
shuffle_weights,0,0.95,0.8,1.0,6,0.0024418234825134277
shuffle_weights,0,0.95,0.8,1.0,7,0.002498149871826172
shuffle_weights,0,0.95,0.8,1.0,8,0.0014280080795288086
shuffle_weights,0,0.95,0.8,1.0,9,0.0002022385597229004
shuffle_weights,0,0.95,0.8,1.0,10,0.0
cel_randN,0,0.95,0.8,1.0,1,5.057332992553711
cel_randN,0,0.95,0.8,1.0,2,0.004540383815765381
cel_randN,0,0.95,0.8,1.0,3,3.134298801422119
cel_randN,0,0.95,0.8,1.0,4,4.655122756958008e-05
cel_randN,0,0.95,0.8,1.0,5,1.3570356369018555
cel_randN,0,0.95,0.8,1.0,6,0.0
cel_randN,0,0.95,0.8,1.0,7,0.0
cel_randN,0,0.95,0.8,1.0,8,0.016947448253631592
cel_randN,0,0.95,0.8,1.0,9,0.0
cel_randN,0,0.95,0.8,1.0,10,0.026162445545196533
er_randN,0,0.95,0.8,1.0,1,8.669802904129028
er_randN,0,0.95,0.8,1.0,2,0.0
er_randN,0,0.95,0.8,1.0,3,3.918444812297821
er_randN,0,0.95,0.8,1.0,4,1.3113021850585938e-06
er_randN,0,0.95,0.8,1.0,5,0.9058688282966614
er_randN,0,0.95,0.8,1.0,6,0.0
er_randN,0,0.95,0.8,1.0,7,3.5762786865234375e-06
er_randN,0,0.95,0.8,1.0,8,1.3172626495361328e-05
er_randN,0,0.95,0.8,1.0,9,0.0
er_randN,0,0.95,0.8,1.0,10,0.0
ws_p01_randN,0,0.95,0.8,1.0,1,8.679557085037231
ws_p01_randN,0,0.95,0.8,1.0,2,0.0
ws_p01_randN,0,0.95,0.8,1.0,3,4.317905068397522
ws_p01_randN,0,0.95,0.8,1.0,4,1.1920928955078125e-07
ws_p01_randN,0,0.95,0.8,1.0,5,0.7053574323654175
ws_p01_randN,0,0.95,0.8,1.0,6,0.0
ws_p01_randN,0,0.95,0.8,1.0,7,0.0
ws_p01_randN,0,0.95,0.8,1.0,8,8.940696716308594e-06
ws_p01_randN,0,0.95,0.8,1.0,9,0.0
ws_p01_randN,0,0.95,0.8,1.0,10,1.1920928955078125e-05
conn_shuf,0,0.95,0.8,1.0,1,3.412591814994812
conn_shuf,0,0.95,0.8,1.0,2,0.0
conn_shuf,0,0.95,0.8,1.0,3,1.805048406124115
conn_shuf,0,0.95,0.8,1.0,4,8.165836334228516e-06
conn_shuf,0,0.95,0.8,1.0,5,0.3734787702560425
conn_shuf,0,0.95,0.8,1.0,6,0.0
conn_shuf,0,0.95,0.8,1.0,7,0.0025443434715270996
conn_shuf,0,0.95,0.8,1.0,8,0.0
conn_shuf,0,0.95,0.8,1.0,9,0.0016992688179016113
conn_shuf,0,0.95,0.8,1.0,10,0.0
local_sign,0,0.95,0.8,1.0,1,1.9916632771492004
local_sign,0,0.95,0.8,1.0,2,0.0
local_sign,0,0.95,0.8,1.0,3,1.2325181365013123
local_sign,0,0.95,0.8,1.0,4,1.8417835235595703e-05
local_sign,0,0.95,0.8,1.0,5,0.7636334896087646
local_sign,0,0.95,0.8,1.0,6,3.2067298889160156e-05
local_sign,0,0.95,0.8,1.0,7,0.10560935735702515
local_sign,0,0.95,0.8,1.0,8,0.0003787875175476074
local_sign,0,0.95,0.8,1.0,9,0.04197269678115845
local_sign,0,0.95,0.8,1.0,10,0.0
conn_shuf_only,0,0.95,0.8,1.0,1,3.317590117454529
conn_shuf_only,0,0.95,0.8,1.0,2,0.0
conn_shuf_only,0,0.95,0.8,1.0,3,1.4220010638237
conn_shuf_only,0,0.95,0.8,1.0,4,1.2814998626708984e-05
conn_shuf_only,0,0.95,0.8,1.0,5,0.0
conn_shuf_only,0,0.95,0.8,1.0,6,0.004215657711029053
conn_shuf_only,0,0.95,0.8,1.0,7,0.004564642906188965
conn_shuf_only,0,0.95,0.8,1.0,8,0.0
conn_shuf_only,0,0.95,0.8,1.0,9,0.006442427635192871
conn_shuf_only,0,0.95,0.8,1.0,10,0.0
cel_sample,0,0.95,0.8,1.0,1,3.1872050166130066
cel_sample,0,0.95,0.8,1.0,2,0.0
cel_sample,0,0.95,0.8,1.0,3,1.477238416671753
cel_sample,0,0.95,0.8,1.0,4,3.8623809814453125e-05
cel_sample,0,0.95,0.8,1.0,5,0.000666499137878418
cel_sample,0,0.95,0.8,1.0,6,0.0
cel_sample,0,0.95,0.8,1.0,7,0.0
cel_sample,0,0.95,0.8,1.0,8,0.0014687180519104004
cel_sample,0,0.95,0.8,1.0,9,0.00017720460891723633
cel_sample,0,0.95,0.8,1.0,10,0.0
local_sign+flat,0,0.95,0.8,1.0,1,2.374652683734894
local_sign+flat,0,0.95,0.8,1.0,2,0.001976907253265381
local_sign+flat,0,0.95,0.8,1.0,3,0.824368417263031
local_sign+flat,0,0.95,0.8,1.0,4,2.187490463256836e-05
local_sign+flat,0,0.95,0.8,1.0,5,0.3712660074234009
local_sign+flat,0,0.95,0.8,1.0,6,0.0
local_sign+flat,0,0.95,0.8,1.0,7,0.0063988566398620605
local_sign+flat,0,0.95,0.8,1.0,8,0.0
local_sign+flat,0,0.95,0.8,1.0,9,0.002839505672454834
local_sign+flat,0,0.95,0.8,1.0,10,0.0
local_sign+sample,0,0.95,0.8,1.0,1,1.9937956929206848
local_sign+sample,0,0.95,0.8,1.0,2,0.00027501583099365234
local_sign+sample,0,0.95,0.8,1.0,3,0.9883303046226501
local_sign+sample,0,0.95,0.8,1.0,4,1.2695789337158203e-05
