t,input_u,avg_network_signal,legendre_p2_even,legendre_p3_odd,readout_p2,readout_p3
0.000000000000000000e+00,6.659625768661499023e-01,1.859812415204942226e-03,1.613868176937103271e-01,-2.640738189220428467e-01,nan,nan
1.000000000000000000e+00,-5.221515893936157227e-01,8.406525477766990662e-03,-7.486323267221450806e-02,4.213432073593139648e-01,nan,nan
2.000000000000000000e+00,9.861826896667480469e-03,-9.974222630262374878e-04,-4.999831914901733398e-01,-5.019392352551221848e-03,nan,nan
3.000000000000000000e+00,4.134989976882934570e-01,-1.494733733125030994e-03,-2.480988055467605591e-01,-4.426489770412445068e-01,nan,nan
4.000000000000000000e+00,7.837784290313720703e-02,7.918328046798706055e-03,-4.921503663063049316e-01,-1.075637936592102051e-01,nan,nan
5.000000000000000000e+00,8.353149890899658203e-02,9.796076454222202301e-03,-4.909837245941162109e-01,-1.151294484734535217e-01,nan,nan
6.000000000000000000e+00,1.248654127120971680e-01,9.610480628907680511e-03,-4.787043035030364990e-01,-1.744985431432723999e-01,nan,nan
7.000000000000000000e+00,-7.861477136611938477e-01,5.129063967615365982e-03,4.557160139083862305e-01,-7.412207871675491333e-02,nan,nan
8.000000000000000000e+00,7.858824729919433594e-02,-7.533624302595853806e-03,-4.921043217182159424e-01,-1.078732013702392578e-01,nan,nan
9.000000000000000000e+00,6.924698352813720703e-01,-2.787925768643617630e-03,2.156278043985366821e-01,-2.122472971677780151e-01,nan,nan
1.000000000000000000e+01,9.011137485504150391e-01,9.069565683603286743e-03,7.171937823295593262e-01,4.762200117111206055e-01,nan,nan
1.100000000000000000e+01,5.877509117126464844e-01,1.967046968638896942e-02,1.380191370844841003e-02,-3.767134249210357666e-01,nan,nan
1.200000000000000000e+01,1.340030431747436523e-01,2.764407359063625336e-02,-4.752882122993469238e-01,-1.872432827949523926e-01,-4.536066651344299316e-01,-1.865114569664001465e-01
1.300000000000000000e+01,4.670141935348510742e-01,2.292450331151485443e-02,-1.774929612874984741e-01,-4.462923109531402588e-01,-1.814071834087371826e-01,-4.485062360763549805e-01
1.400000000000000000e+01,-4.864796400070190430e-01,2.083824574947357178e-02,-1.302977502346038818e-01,4.387821853160858154e-01,-6.763305515050888062e-02,4.515610933303833008e-01
1.500000000000000000e+01,-8.286883831024169922e-01,5.809624679386615753e-03,5.610483884811401367e-01,-2.257496267557144165e-01,6.016921997070312500e-01,-2.367898225784301758e-01
1.600000000000000000e+01,-8.599210977554321289e-01,-7.490453310310840607e-03,6.418863534927368164e-01,-3.517434298992156982e-01,5.942332148551940918e-01,-3.483494520187377930e-01
