model,seed,rho_target,leak,input_scale,order,ipc_contrib
cel,0,0.95,0.8,1.0,1,2.6097689270973206
cel,0,0.95,0.8,1.0,2,0.009165942668914795
cel,0,0.95,0.8,1.0,3,1.672107458114624
cel,0,0.95,0.8,1.0,4,0.0
cel,0,0.95,0.8,1.0,5,0.02372056245803833
cel,0,0.95,0.8,1.0,6,0.0
cel,0,0.95,0.8,1.0,7,0.012934505939483643
cel,0,0.95,0.8,1.0,8,0.00879591703414917
cel,0,0.95,0.8,1.0,9,0.0
cel,0,0.95,0.8,1.0,10,0.0
er,0,0.95,0.8,1.0,1,5.001918792724609
er,0,0.95,0.8,1.0,2,1.2218952178955078e-05
er,0,0.95,0.8,1.0,3,1.611953616142273
er,0,0.95,0.8,1.0,4,0.0
er,0,0.95,0.8,1.0,5,0.00033032894134521484
er,0,0.95,0.8,1.0,6,0.0
er,0,0.95,0.8,1.0,7,0.0
er,0,0.95,0.8,1.0,8,0.0
er,0,0.95,0.8,1.0,9,0.0004259347915649414
er,0,0.95,0.8,1.0,10,0.0
cel,1,0.95,0.8,1.0,1,1.9898855686187744
cel,1,0.95,0.8,1.0,2,3.9458274841308594e-05
cel,1,0.95,0.8,1.0,3,1.3571364879608154
cel,1,0.95,0.8,1.0,4,0.0
cel,1,0.95,0.8,1.0,5,0.0
cel,1,0.95,0.8,1.0,6,0.000334322452545166
cel,1,0.95,0.8,1.0,7,0.00012445449829101562
cel,1,0.95,0.8,1.0,8,7.05718994140625e-05
cel,1,0.95,0.8,1.0,9,0.0
cel,1,0.95,0.8,1.0,10,0.0
er,1,0.95,0.8,1.0,1,5.166335225105286
er,1,0.95,0.8,1.0,2,0.0001646280288696289
er,1,0.95,0.8,1.0,3,1.8006891012191772
er,1,0.95,0.8,1.0,4,0.0
er,1,0.95,0.8,1.0,5,0.0
er,1,0.95,0.8,1.0,6,0.00023096799850463867
er,1,0.95,0.8,1.0,7,0.0
er,1,0.95,0.8,1.0,8,8.130073547363281e-05
er,1,0.95,0.8,1.0,9,0.0
er,1,0.95,0.8,1.0,10,2.3186206817626953e-05
cel,2,0.95,0.8,1.0,1,2.631227135658264
cel,2,0.95,0.8,1.0,2,0.0
cel,2,0.95,0.8,1.0,3,0.37530457973480225
cel,2,0.95,0.8,1.0,4,0.00011897087097167969
cel,2,0.95,0.8,1.0,5,0.15418338775634766
cel,2,0.95,0.8,1.0,6,0.0
cel,2,0.95,0.8,1.0,7,0.0
cel,2,0.95,0.8,1.0,8,0.0017414689064025879
cel,2,0.95,0.8,1.0,9,0.0
cel,2,0.95,0.8,1.0,10,0.0008563399314880371
er,2,0.95,0.8,1.0,1,5.5008233189582825
er,2,0.95,0.8,1.0,2,4.744529724121094e-05
er,2,0.95,0.8,1.0,3,1.5361061692237854
er,2,0.95,0.8,1.0,4,1.0132789611816406e-06
er,2,0.95,0.8,1.0,5,5.5789947509765625e-05
er,2,0.95,0.8,1.0,6,6.008148193359375e-05
er,2,0.95,0.8,1.0,7,0.0
er,2,0.95,0.8,1.0,8,0.0
er,2,0.95,0.8,1.0,9,0.00011026859283447266
er,2,0.95,0.8,1.0,10,5.602836608886719e-06
cel,3,0.95,0.8,1.0,1,2.6081575751304626
cel,3,0.95,0.8,1.0,2,0.0
cel,3,0.95,0.8,1.0,3,1.700605869293213
cel,3,0.95,0.8,1.0,4,1.71661376953125e-05
cel,3,0.95,0.8,1.0,5,0.002680480480194092
cel,3,0.95,0.8,1.0,6,0.0
cel,3,0.95,0.8,1.0,7,0.0
cel,3,0.95,0.8,1.0,8,0.0012733936309814453
cel,3,0.95,0.8,1.0,9,0.0
cel,3,0.95,0.8,1.0,10,0.0012572407722473145
er,3,0.95,0.8,1.0,1,5.139661014080048
er,3,0.95,0.8,1.0,2,3.170967102050781e-05
er,3,0.95,0.8,1.0,3,1.4365405440330505
er,3,0.95,0.8,1.0,4,0.0
er,3,0.95,0.8,1.0,5,0.0
er,3,0.95,0.8,1.0,6,0.0001246929168701172
er,3,0.95,0.8,1.0,7,0.00018894672393798828
er,3,0.95,0.8,1.0,8,5.6803226470947266e-05
er,3,0.95,0.8,1.0,9,0.0
er,3,0.95,0.8,1.0,10,0.0
cel,4,0.95,0.8,1.0,1,3.205503225326538
cel,4,0.95,0.8,1.0,2,0.0
cel,4,0.95,0.8,1.0,3,1.4117828011512756
cel,4,0.95,0.8,1.0,4,5.0067901611328125e-05
cel,4,0.95,0.8,1.0,5,0.34293031692504883
cel,4,0.95,0.8,1.0,6,7.259845733642578e-05
cel,4,0.95,0.8,1.0,7,0.0001691579818725586
cel,4,0.95,0.8,1.0,8,0.0
cel,4,0.95,0.8,1.0,9,0.0
cel,4,0.95,0.8,1.0,10,0.0002474188804626465
er,4,0.95,0.8,1.0,1,5.159958183765411
er,4,0.95,0.8,1.0,2,1.8358230590820312e-05
er,4,0.95,0.8,1.0,3,1.1953753232955933
er,4,0.95,0.8,1.0,4,0.0
er,4,0.95,0.8,1.0,5,0.00010842084884643555
er,4,0.95,0.8,1.0,6,0.0
er,4,0.95,0.8,1.0,7,0.0
er,4,0.95,0.8,1.0,8,7.969141006469727e-05
er,4,0.95,0.8,1.0,9,0.0
er,4,0.95,0.8,1.0,10,0.0001366734504699707
cel,5,0.95,0.8,1.0,1,3.0812817215919495
cel,5,0.95,0.8,1.0,2,0.0424346923828125
cel,5,0.95,0.8,1.0,3,1.131704866886139
cel,5,0.95,0.8,1.0,4,0.0001716017723083496
cel,5,0.95,0.8,1.0,5,0.36721545457839966
cel,5,0.95,0.8,1.0,6,0.0
cel,5,0.95,0.8,1.0,7,0.0030826926231384277
cel,5,0.95,0.8,1.0,8,0.0
cel,5,0.95,0.8,1.0,9,0.0022135376930236816
cel,5,0.95,0.8,1.0,10,0.0
er,5,0.95,0.8,1.0,1,5.140739917755127
er,5,0.95,0.8,1.0,2,0.0
er,5,0.95,0.8,1.0,3,1.1327064633369446
er,5,0.95,0.8,1.0,4,1.1920928955078125e-07
er,5,0.95,0.8,1.0,5,0.0
er,5,0.95,0.8,1.0,6,6.836652755737305e-05
er,5,0.95,0.8,1.0,7,0.0
er,5,0.95,0.8,1.0,8,0.00018858909606933594
er,5,0.95,0.8,1.0,9,0.0
er,5,0.95,0.8,1.0,10,0.00017434358596801758
cel,6,0.95,0.8,1.0,1,3.1276503801345825
cel,6,0.95,0.8,1.0,2,0.0
cel,6,0.95,0.8,1.0,3,1.8745302557945251
cel,6,0.95,0.8,1.0,4,0.0
cel,6,0.95,0.8,1.0,5,0.6982758641242981
cel,6,0.95,0.8,1.0,6,0.00030916929244995117
cel,6,0.95,0.8,1.0,7,0.25466489791870117
cel,6,0.95,0.8,1.0,8,0.023372769355773926
cel,6,0.95,0.8,1.0,9,5.257129669189453e-05
cel,6,0.95,0.8,1.0,10,0.0007769465446472168
er,6,0.95,0.8,1.0,1,5.768397808074951
er,6,0.95,0.8,1.0,2,0.0
er,6,0.95,0.8,1.0,3,2.2150819301605225
er,6,0.95,0.8,1.0,4,1.3113021850585938e-06
er,6,0.95,0.8,1.0,5,6.854534149169922e-05
er,6,0.95,0.8,1.0,6,0.0
er,6,0.95,0.8,1.0,7,0.0
er,6,0.95,0.8,1.0,8,0.00012677907943725586
er,6,0.95,0.8,1.0,9,0.0
er,6,0.95,0.8,1.0,10,0.00016200542449951172
cel,7,0.95,0.8,1.0,1,2.6274683475494385
cel,7,0.95,0.8,1.0,2,0.0004284381866455078
cel,7,0.95,0.8,1.0,3,2.0168047547340393
cel,7,0.95,0.8,1.0,4,9.97781753540039e-05
cel,7,0.95,0.8,1.0,5,0.0
cel,7,0.95,0.8,1.0,6,0.0
cel,7,0.95,0.8,1.0,7,0.001325368881225586
cel,7,0.95,0.8,1.0,8,0.0
cel,7,0.95,0.8,1.0,9,0.0
cel,7,0.95,0.8,1.0,10,0.0
er,7,0.95,0.8,1.0,1,4.888523995876312
er,7,0.95,0.8,1.0,2,5.799531936645508e-05
er,7,0.95,0.8,1.0,3,2.034955084323883
er,7,0.95,0.8,1.0,4,0.0
er,7,0.95,0.8,1.0,5,0.0
er,7,0.95,0.8,1.0,6,0.0002753734588623047
er,7,0.95,0.8,1.0,7,0.0001519322395324707
er,7,0.95,0.8,1.0,8,0.0
er,7,0.95,0.8,1.0,9,0.000280916690826416
er,7,0.95,0.8,1.0,10,0.0
cel,8,0.95,0.8,1.0,1,1.9939555525779724
cel,8,0.95,0.8,1.0,2,0.003898322582244873
cel,8,0.95,0.8,1.0,3,0.4822266101837158
cel,8,0.95,0.8,1.0,4,0.00010061264038085938
cel,8,0.95,0.8,1.0,5,0.04134047031402588
cel,8,0.95,0.8,1.0,6,0.0
cel,8,0.95,0.8,1.0,7,0.008454442024230957
cel,8,0.95,0.8,1.0,8,0.0018532276153564453
cel,8,0.95,0.8,1.0,9,0.0
cel,8,0.95,0.8,1.0,10,0.0
er,8,0.95,0.8,1.0,1,5.431752502918243
er,8,0.95,0.8,1.0,2,9.79304313659668e-05
er,8,0.95,0.8,1.0,3,2.1236205101013184
er,8,0.95,0.8,1.0,4,1.0132789611816406e-06
er,8,0.95,0.8,1.0,5,0.00024896860122680664
er,8,0.95,0.8,1.0,6,0.0
er,8,0.95,0.8,1.0,7,0.0
er,8,0.95,0.8,1.0,8,0.0
er,8,0.95,0.8,1.0,9,0.0001805424690246582
er,8,0.95,0.8,1.0,10,3.129243850708008e-05
cel,9,0.95,0.8,1.0,1,1.8272151947021484
cel,9,0.95,0.8,1.0,2,0.0008886456489562988
cel,9,0.95,0.8,1.0,3,0.0
cel,9,0.95,0.8,1.0,4,3.814697265625e-06
cel,9,0.95,0.8,1.0,5,0.0
cel,9,0.95,0.8,1.0,6,0.0
cel,9,0.95,0.8,1.0,7,0.004096627235412598
cel,9,0.95,0.8,1.0,8,0.0
cel,9,0.95,0.8,1.0,9,0.0023443102836608887
cel,9,0.95,0.8,1.0,10,0.0
er,9,0.95,0.8,1.0,1,5.053399205207825
er,9,0.95,0.8,1.0,2,0.0
er,9,0.95,0.8,1.0,3,1.033826231956482
er,9,0.95,0.8,1.0,4,2.2649765014648438e-06
er,9,0.95,0.8,1.0,5,1.0848045349121094e-05
er,9,0.95,0.8,1.0,6,8.940696716308594e-07
er,9,0.95,0.8,1.0,7,0.0001348257064819336
er,9,0.95,0.8,1.0,8,0.0
er,9,0.95,0.8,1.0,9,0.00013643503189086914
er,9,0.95,0.8,1.0,10,0.0
cel,10,0.95,0.8,1.0,1,1.9737942218780518
cel,10,0.95,0.8,1.0,2,0.0
cel,10,0.95,0.8,1.0,3,0.46092575788497925
cel,10,0.95,0.8,1.0,4,4.2557716369628906e-05
cel,10,0.95,0.8,1.0,5,0.002575218677520752
cel,10,0.95,0.8,1.0,6,0.0
cel,10,0.95,0.8,1.0,7,0.0
cel,10,0.95,0.8,1.0,8,0.019472599029541016
cel,10,0.95,0.8,1.0,9,0.0
cel,10,0.95,0.8,1.0,10,0.009550333023071289
er,10,0.95,0.8,1.0,1,5.025737404823303
er,10,0.95,0.8,1.0,2,0.0
er,10,0.95,0.8,1.0,3,1.2515095472335815
er,10,0.95,0.8,1.0,4,0.0
er,10,0.95,0.8,1.0,5,5.7220458984375e-05
er,10,0.95,0.8,1.0,6,0.0
er,10,0.95,0.8,1.0,7,0.0003185868263244629
er,10,0.95,0.8,1.0,8,0.0
er,10,0.95,0.8,1.0,9,0.00023871660232543945
er,10,0.95,0.8,1.0,10,0.0
cel,11,0.95,0.8,1.0,1,2.3038524389266968
cel,11,0.95,0.8,1.0,2,3.635883331298828e-06
cel,11,0.95,0.8,1.0,3,1.3879303932189941
cel,11,0.95,0.8,1.0,4,0.00010520219802856445
cel,11,0.95,0.8,1.0,5,0.5500831007957458
cel,11,0.95,0.8,1.0,6,0.0
cel,11,0.95,0.8,1.0,7,0.0
cel,11,0.95,0.8,1.0,8,0.0005598068237304688
cel,11,0.95,0.8,1.0,9,0.00100785493850708
