model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
real,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.388941527979114
real,0,0.95,0.8,1.0,0.0,0.0,2,even,0.0769933101994944
real,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.0034288620590814
real,0,0.95,0.8,1.0,0.0,0.0,4,even,0.10360527299673095
real,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.9074695476501802
real,0,0.95,0.8,1.0,0.0,0.0,6,even,0.10138180608737457
real,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.42668350161875424
real,0,0.95,0.8,1.0,0.0,0.0,8,even,0.0978600940850356
real,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.1317961977695603
real,0,0.95,0.8,1.0,0.0,0.0,10,even,0.10113959456907651
cel_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,7.9756406341632555
cel_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.05425935844485252
cel_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,4.2793676377281145
cel_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.15320419311905198
cel_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.5919635222362558
cel_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.10964922474727246
cel_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.49469266982441695
cel_randN,0,0.95,0.8,1.0,0.0,0.0,8,even,0.1501328745074204
cel_randN,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.15338481406433857
cel_randN,0,0.95,0.8,1.0,0.0,0.0,10,even,0.11562858131901521
er_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,9.088817602701965
er_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.10561147241196522
er_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,4.067943245567449
er_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.13428888843554887
er_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.2402247559924149
er_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.15956264391320474
er_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.384303321464472
