model,seed,rho_target,leak,input_scale,d_max,mc_total,capture_pct_vs_ref
real,0,0.95,0.8,1.0,30,4.2010884284973145,97.19391210989815
real,0,0.95,0.8,1.0,50,4.236808776855469,98.02031708992834
real,0,0.95,0.8,1.0,80,4.322378158569336,100.0
cel_randN,0,0.95,0.8,1.0,30,7.935806751251221,98.46257253975399
cel_randN,0,0.95,0.8,1.0,50,7.953334331512451,98.68004389421277
cel_randN,0,0.95,0.8,1.0,80,8.05971908569336,100.0
er_randN,0,0.95,0.8,1.0,30,9.056591987609863,98.95353254793136
er_randN,0,0.95,0.8,1.0,50,9.089987754821777,99.31841915674494
er_randN,0,0.95,0.8,1.0,80,9.152368545532227,100.0
ws_p01_randN,0,0.95,0.8,1.0,30,8.799434661865234,98.72947887640127
ws_p01_randN,0,0.95,0.8,1.0,50,8.85513973236084,99.35448864033974
ws_p01_randN,0,0.95,0.8,1.0,80,8.91267204284668,100.0
local_sign,0,0.95,0.8,1.0,30,6.0604448318481445,98.102353868512
local_sign,0,0.95,0.8,1.0,50,6.116469860076904,99.00924887329914
local_sign,0,0.95,0.8,1.0,80,6.177675247192383,100.0
local_sign+flat,0,0.95,0.8,1.0,30,5.124626636505127,98.01076054290073
local_sign+flat,0,0.95,0.8,1.0,50,5.158980369567871,98.667790946049
local_sign+flat,0,0.95,0.8,1.0,80,5.228636741638184,100.0
local_sign+binary,0,0.95,0.8,1.0,30,5.1425652503967285,98.04485589423737
local_sign+binary,0,0.95,0.8,1.0,50,5.179353713989258,98.746241182683
local_sign+binary,0,0.95,0.8,1.0,80,5.245114803314209,100.0
global_sign_pres,0,0.95,0.8,1.0,30,3.852027654647827,98.28828968584577
global_sign_pres,0,0.95,0.8,1.0,50,3.8691258430480957,98.72456684822829
global_sign_pres,0,0.95,0.8,1.0,80,3.919111490249634,100.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,30,4.673145771026611,98.25865868162131
global_sign_pres_real_weight,0,0.95,0.8,1.0,50,4.70934534072876,99.01979932179518
global_sign_pres_real_weight,0,0.95,0.8,1.0,80,4.755963325500488,100.0
binary_base,0,0.95,0.8,1.0,30,2.248419761657715,95.3127007146414
binary_base,0,0.95,0.8,1.0,50,2.278726100921631,96.59741591474635
binary_base,0,0.95,0.8,1.0,80,2.3589928150177,100.0
real,1,0.95,0.8,1.0,30,4.324586391448975,97.81363014552575
real,1,0.95,0.8,1.0,50,4.357402324676514,98.55586194876724
real,1,0.95,0.8,1.0,80,4.42125129699707,100.0
cel_randN,1,0.95,0.8,1.0,30,7.737243175506592,98.90599904801107
cel_randN,1,0.95,0.8,1.0,50,7.764923095703125,99.25983439976451
cel_randN,1,0.95,0.8,1.0,80,7.822824954986572,100.0
er_randN,1,0.95,0.8,1.0,30,8.74698257446289,99.1123853686875
er_randN,1,0.95,0.8,1.0,50,8.774964332580566,99.4294477122149
er_randN,1,0.95,0.8,1.0,80,8.8253173828125,100.0
ws_p01_randN,1,0.95,0.8,1.0,30,8.605707168579102,99.30360008011428
ws_p01_randN,1,0.95,0.8,1.0,50,8.624432563781738,99.51967751804222
ws_p01_randN,1,0.95,0.8,1.0,80,8.666057586669922,100.0
local_sign,1,0.95,0.8,1.0,30,5.890727519989014,98.73545892453387
local_sign,1,0.95,0.8,1.0,50,5.913542747497559,99.1178687289052
local_sign,1,0.95,0.8,1.0,80,5.966172218322754,100.0
local_sign+flat,1,0.95,0.8,1.0,30,3.306936740875244,95.36143614124904
local_sign+flat,1,0.95,0.8,1.0,50,3.358962059020996,96.8616792492473
local_sign+flat,1,0.95,0.8,1.0,80,3.467792510986328,100.0
local_sign+binary,1,0.95,0.8,1.0,30,3.478163480758667,97.21062306662076
local_sign+binary,1,0.95,0.8,1.0,50,3.514702081680298,98.23183445625894
local_sign+binary,1,0.95,0.8,1.0,80,3.5779664516448975,100.0
global_sign_pres,1,0.95,0.8,1.0,30,3.8446943759918213,97.44737081278532
global_sign_pres,1,0.95,0.8,1.0,50,3.8896710872650146,98.58734757888335
global_sign_pres,1,0.95,0.8,1.0,80,3.945405960083008,100.0
global_sign_pres_real_weight,1,0.95,0.8,1.0,30,4.145020961761475,97.47947492499866
global_sign_pres_real_weight,1,0.95,0.8,1.0,50,4.183650970458984,98.38794631728352
global_sign_pres_real_weight,1,0.95,0.8,1.0,80,4.252198696136475,100.0
binary_base,1,0.95,0.8,1.0,30,3.3678972721099854,97.11724551383988
binary_base,1,0.95,0.8,1.0,50,3.3956258296966553,97.91683080914852
binary_base,1,0.95,0.8,1.0,80,3.467867374420166,100.0
real,2,0.95,0.8,1.0,30,3.241957187652588,97.03146008372629
real,2,0.95,0.8,1.0,50,3.299461603164673,98.75256158983194
real,2,0.95,0.8,1.0,80,3.3411402702331543,100.0
cel_randN,2,0.95,0.8,1.0,30,7.803282260894775,98.8908351208372
cel_randN,2,0.95,0.8,1.0,50,7.839984893798828,99.35596683050306
cel_randN,2,0.95,0.8,1.0,80,7.890804290771484,100.0
er_randN,2,0.95,0.8,1.0,30,8.148083686828613,99.07472194578693
er_randN,2,0.95,0.8,1.0,50,8.178871154785156,99.44907497705735
er_randN,2,0.95,0.8,1.0,80,8.224180221557617,100.0
ws_p01_randN,2,0.95,0.8,1.0,30,9.011460304260254,99.06705540581244
ws_p01_randN,2,0.95,0.8,1.0,50,9.045336723327637,99.43947418938211
ws_p01_randN,2,0.95,0.8,1.0,80,9.09632396697998,100.0
local_sign,2,0.95,0.8,1.0,30,6.251924514770508,98.22542640500062
local_sign,2,0.95,0.8,1.0,50,6.303980827331543,99.04329512467235
local_sign,2,0.95,0.8,1.0,80,6.364873886108398,100.0
local_sign+flat,2,0.95,0.8,1.0,30,4.306483268737793,97.93031418353561
local_sign+flat,2,0.95,0.8,1.0,50,4.352853775024414,98.98478902208048
local_sign+flat,2,0.95,0.8,1.0,80,4.397497653961182,100.0
local_sign+binary,2,0.95,0.8,1.0,30,3.1962499618530273,96.90649125343357
local_sign+binary,2,0.95,0.8,1.0,50,3.2433223724365234,98.3336706664739
local_sign+binary,2,0.95,0.8,1.0,80,3.2982826232910156,100.0
global_sign_pres,2,0.95,0.8,1.0,30,3.3400120735168457,96.35492386228115
