normalization,sign_frac,metric,mean,std,n_groups,sem
original_radius,0.0,GR,0.5643234991634626,0.033852707103684716,50,0.004787495750907494
original_radius,0.0,IPC,0.26493855981777115,0.067169936545441,50,0.009499263524630286
original_radius,0.0,KR,0.4188409491418634,0.034659135538385566,50,0.004901541953851219
original_radius,0.0,MC,0.30118976711824486,0.058061753733642495,50,0.00821117195852839
original_radius,0.1,GR,0.4880847868024134,0.03440046314031408,50,0.004864960152494792
original_radius,0.1,IPC,0.25704403684613114,0.03557969048177784,50,0.005031728082436714
original_radius,0.1,KR,0.32559809164375936,0.04111696444764634,50,0.005814816876547383
original_radius,0.1,MC,0.3187193026258884,0.041579047895754166,50,0.005880165344473604
original_radius,0.2,GR,0.4816601468901948,0.02312109178674307,50,0.0032698161581685226
original_radius,0.2,IPC,0.2807815610675258,0.04073526004963804,50,0.005760835722899303
original_radius,0.2,KR,0.2917022981785458,0.02686392461550841,50,0.0037991326529820423
original_radius,0.2,MC,0.3757146427850983,0.04180376389807541,50,0.005911944986290101
original_radius,0.22058823529411764,GR,0.4868656686426689,0.02120275290549021,50,0.0029985220718589797
original_radius,0.22058823529411764,IPC,0.2872836415339709,0.04533394365373186,50,0.00641118779509653
original_radius,0.22058823529411764,KR,0.2927237032255704,0.02416467743577835,50,0.0034174014560048845
original_radius,0.22058823529411764,MC,0.3884802434656457,0.045254405219755704,50,0.00639993936189063
original_radius,0.3,GR,0.5003865180449475,0.016378728006480173,50,0.0023163019281184304
original_radius,0.3,IPC,0.2823508176717598,0.037777802587865845,50,0.005342588077641329
original_radius,0.3,KR,0.3035646855973042,0.01913922681325922,50,0.0027066954132645977
original_radius,0.3,MC,0.38248970995122955,0.03847565186635381,50,0.005441278869054324
original_radius,0.4,GR,0.5045734937643879,0.014780647616761792,50,0.002090299232028209
original_radius,0.4,IPC,0.2852213394265104,0.038349086457300945,50,0.005423379817253338
original_radius,0.4,KR,0.3088280198460456,0.01671156039610134,50,0.0023633715360583604
original_radius,0.4,MC,0.38707299245988613,0.03611260572051695,50,0.005107093678258729
original_radius,0.5,GR,0.5073115393443379,0.012426383660958551,50,0.0017573560304579015
original_radius,0.5,IPC,0.2744347477502374,0.036834181257626275,50,0.005209139869344394
original_radius,0.5,KR,0.310937156435293,0.014726573443894659,50,0.0020826519891639283
original_radius,0.5,MC,0.38857028052815756,0.03214422635163555,50,0.004545880085847363
original_radius,0.6,GR,0.5061928196077469,0.014151145734607944,50,0.002001274222100073
original_radius,0.6,IPC,0.2815700649011378,0.039639359952399304,50,0.005605852044847202
original_radius,0.6,KR,0.310745562534501,0.017440235586070156,50,0.0024664217696802296
original_radius,0.6,MC,0.3827892292206924,0.03684520082514913,50,0.005210698271528625
original_radius,0.7,GR,0.5063812373313887,0.01598495012669734,50,0.0022606133263032902
original_radius,0.7,IPC,0.28827940610529657,0.03741029961108095,50,0.00529061530824316
original_radius,0.7,KR,0.3119173281599955,0.018509854572238544,50,0.002617688737361339
original_radius,0.7,MC,0.3822148913929415,0.03424615720241017,50,0.004843137997480951
original_radius,0.8,GR,0.509761465567596,0.018136134263139325,50,0.002564836704395101
original_radius,0.8,IPC,0.27039951220138986,0.048077982215234676,50,0.006799253450031734
original_radius,0.8,KR,0.3234510328013363,0.02708939894123866,50,0.0038310195379235076
original_radius,0.8,MC,0.37375566060653076,0.04255167021483291,50,0.006017714911944397
original_radius,0.9,GR,0.5311102828585669,0.026794504707695132,50,0.0037893151954692195
original_radius,0.9,IPC,0.24567006356169696,0.034216802420331566,50,0.004838986604387344
original_radius,0.9,KR,0.37902190330941615,0.04101808314882174,50,0.005800832949161102
original_radius,0.9,MC,0.3453688162581803,0.03604236483377415,50,0.00509716011679225
original_radius,1.0,GR,0.5937384146155132,0.02489619470431616,50,0.0035208536202325142
original_radius,1.0,IPC,0.23568108487445003,0.035946306289566986,50,0.005083575387192292
original_radius,1.0,KR,0.4637335983160506,0.0283720891247652,50,0.0040124193233101145
original_radius,1.0,MC,0.33147459631355,0.03960483020548505,50,0.005600968801208057
spectral_radius,0.0,GR,0.40379554293570485,0.023068545099557428,50,0.0032623849344009513
spectral_radius,0.0,IPC,0.23279366857220624,0.03271928117425439,50,0.004627205118772924
spectral_radius,0.0,KR,0.21017441881080937,0.028735228401101914,50,0.004063774972272687
spectral_radius,0.0,MC,0.32613185468537914,0.03413751235274862,50,0.004827773295493615
spectral_radius,0.1,GR,0.4380855328896203,0.023250795806177022,50,0.0032881590765063023
