mode,src,group_id,metric,dispersion,n_hparams
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,GR,0.42944180466624426,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,IPC,0.2630205319591056,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,KR,0.22960691676699302,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,MC,0.2519472774530395,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,GR,0.41316599653974895,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,IPC,0.2982719277185168,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,KR,0.21933154437519922,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,MC,0.2365425946951018,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,GR,0.4195552521843962,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,IPC,0.20340918380853792,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,KR,0.2346510720568575,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,MC,0.18824807204341598,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,3,GR,0.407389824140092,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,3,IPC,0.2744610767584102,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,3,KR,0.21091301901728804,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,3,MC,0.31510830137946916,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,4,GR,0.41030458717775004,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,4,IPC,0.24589835952110234,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,4,KR,0.20615085010554063,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,4,MC,0.2715160577473188,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,5,GR,0.4312308181768206,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,5,IPC,0.2926765788338664,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,5,KR,0.21247750254444764,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_1,5,MC,0.28583047818359586,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,30,GR,0.42556081959140146,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,30,IPC,0.27640404698976556,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,30,KR,0.21311462482951518,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,30,MC,0.2905866787793414,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,31,GR,0.43053107498993554,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,31,IPC,0.20212733909558642,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,31,KR,0.23186561548776685,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_10,31,MC,0.1932157560769899,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,32,GR,0.4153707997175184,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,32,IPC,0.21737996883307614,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,32,KR,0.2044018090737881,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,32,MC,0.283599027809233,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,33,GR,0.4243569236845053,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,33,IPC,0.25583392656044207,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,33,KR,0.22043140482270615,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_11,33,MC,0.27775342267961195,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,34,GR,0.42731891911481146,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,34,IPC,0.29615961579412703,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,34,KR,0.2352613641307336,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,34,MC,0.22723232061096996,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,35,GR,0.4154702657841655,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,35,IPC,0.3596481053516412,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,35,KR,0.21473373142052787,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_12,35,MC,0.2908210842817744,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,36,GR,0.4302309927460646,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,36,IPC,0.2546324651604304,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,36,KR,0.21538909756201144,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,36,MC,0.21786406634489855,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,37,GR,0.41599506847098777,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,37,IPC,0.19282581166104956,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,37,KR,0.2292768990837921,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_13,37,MC,0.21527670766905177,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,38,GR,0.41191191965192203,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,38,IPC,0.2981349027269832,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,38,KR,0.2416011313552557,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,38,MC,0.28175479190558994,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,39,GR,0.427795443335211,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,39,IPC,0.24811205444070716,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,39,KR,0.21503272324007325,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_14,39,MC,0.24905136237781225,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,40,GR,0.39902456704149325,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,40,IPC,0.25986755554038915,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,40,KR,0.18723812516626076,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,40,MC,0.38174920818292823,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,41,GR,0.4166977619964174,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,41,IPC,0.3491273610171802,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,41,KR,0.21998857560028637,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_15,41,MC,0.3109642442388679,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,42,GR,0.40398128273272965,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,42,IPC,0.28409359083840025,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,42,KR,0.1996493165443894,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,42,MC,0.27935559046459524,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,43,GR,0.4206203163126772,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,43,IPC,0.20052190707926074,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,43,KR,0.1985185503881766,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_16,43,MC,0.290958771425899,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,44,GR,0.4134483389063412,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,44,IPC,0.23272146104582922,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,44,KR,0.21925374897422895,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,44,MC,0.31559606771680593,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,45,GR,0.43132104807585886,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,45,IPC,0.16471140910093288,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,45,KR,0.19914989106906247,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_17,45,MC,0.2715229697478013,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,46,GR,0.4226438472044265,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,46,IPC,0.16099467755434907,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,46,KR,0.20660497633948324,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,46,MC,0.2359824855781614,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,47,GR,0.43495608281229575,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,47,IPC,0.24023432815290988,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,47,KR,0.21740108693630386,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_18,47,MC,0.28834603072803056,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,48,GR,0.4296634340890618,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,48,IPC,0.22930252691903505,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,48,KR,0.21985310229369318,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,48,MC,0.32292791519111985,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,49,GR,0.427490694851016,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,49,IPC,0.30169961124588845,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,49,KR,0.21555118388444913,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_19,49,MC,0.3716202874193275,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,6,GR,0.42475576333043824,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,6,IPC,0.3122181572186455,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,6,KR,0.24351197136809546,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,6,MC,0.22820255867427736,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,7,GR,0.4229865585123312,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,7,IPC,0.24636411223083277,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,7,KR,0.20422866785696073,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,7,MC,0.3002956985846481,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,8,GR,0.41290963516895596,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,8,IPC,0.27667417886190804,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,8,KR,0.18476220073584587,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_2,8,MC,0.3687175888548585,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,10,GR,0.42734997890808685,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,10,IPC,0.263492528817362,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,10,KR,0.21644063122432905,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,10,MC,0.25330802250354073,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,11,GR,0.4094796594323225,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,11,IPC,0.2166243159084723,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,11,KR,0.19507608428930384,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,11,MC,0.2609883305879949,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,9,GR,0.4450488091432621,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,9,IPC,0.2333268812060273,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,9,KR,0.23073736731794164,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_3,9,MC,0.27941510596313274,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,12,GR,0.4276897400155774,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,12,IPC,0.3016273044385117,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,12,KR,0.20872614705239528,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,12,MC,0.3043683957823453,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,13,GR,0.4271248387527538,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,13,IPC,0.28825070783400686,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,13,KR,0.21216326117319181,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,13,MC,0.2465860888464527,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,14,GR,0.4501343571120914,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,14,IPC,0.3684589015029642,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,14,KR,0.23146139546551073,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_4,14,MC,0.39676650809847486,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,15,GR,0.425697676945429,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,15,IPC,0.1989521469285971,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,15,KR,0.1999483339451486,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,15,MC,0.2519697677899078,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,16,GR,0.4304274883098343,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,16,IPC,0.3582364120544614,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,16,KR,0.21718008771385322,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,16,MC,0.3337876114239775,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,17,GR,0.41316435736690743,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,17,IPC,0.19581892281003244,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,17,KR,0.1934815824426003,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_5,17,MC,0.2911206378299682,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,18,GR,0.4324978860550967,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,18,IPC,0.2153650295330976,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,18,KR,0.2076100242234569,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,18,MC,0.28713583067195303,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,19,GR,0.41149829057527887,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,19,IPC,0.33133427218563183,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,19,KR,0.20429234838782892,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,19,MC,0.29809069245797337,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,20,GR,0.4399023328770726,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,20,IPC,0.2113916052238213,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,20,KR,0.20789216729465554,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_6,20,MC,0.27741691466682455,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,21,GR,0.41489874650311676,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,21,IPC,0.26876131325182795,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,21,KR,0.20078556875910183,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,21,MC,0.25608056356672476,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,22,GR,0.41952920058241666,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,22,IPC,0.2952925221673334,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,22,KR,0.2367092034031025,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,22,MC,0.2785585369393608,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,23,GR,0.4223013124426948,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,23,IPC,0.2038765164521152,12
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_7,23,KR,0.2085271183319514,12
