mode,src,group_id,metric,dispersion,n_hparams
binary+conshuffle+wshuffle,chunk_0,0,GR,0.628755842261379,96
binary+conshuffle+wshuffle,chunk_0,0,IPC,0.3306550026046632,96
binary+conshuffle+wshuffle,chunk_0,0,KR,0.4141350598625006,96
binary+conshuffle+wshuffle,chunk_0,0,MC,0.36007048076591935,96
binary+conshuffle+wshuffle,chunk_0,1,GR,0.6120888460558506,96
binary+conshuffle+wshuffle,chunk_0,1,IPC,0.30460381963677025,96
binary+conshuffle+wshuffle,chunk_0,1,KR,0.3963268137293386,96
binary+conshuffle+wshuffle,chunk_0,1,MC,0.3494514431633121,96
binary+conshuffle+wshuffle,chunk_0,2,GR,0.6282355088321329,96
binary+conshuffle+wshuffle,chunk_0,2,IPC,0.2935676641866059,96
binary+conshuffle+wshuffle,chunk_0,2,KR,0.41055929076554964,96
binary+conshuffle+wshuffle,chunk_0,2,MC,0.33417471204402627,96
binary+conshuffle+wshuffle,chunk_1,3,GR,0.6046584533237733,96
binary+conshuffle+wshuffle,chunk_1,3,IPC,0.30205916147386463,96
binary+conshuffle+wshuffle,chunk_1,3,KR,0.3916467889151168,96
binary+conshuffle+wshuffle,chunk_1,3,MC,0.3686868405330298,96
binary+conshuffle+wshuffle,chunk_1,4,GR,0.6039277428355606,96
binary+conshuffle+wshuffle,chunk_1,4,IPC,0.29045346652540327,96
binary+conshuffle+wshuffle,chunk_1,4,KR,0.3856396510071698,96
binary+conshuffle+wshuffle,chunk_1,4,MC,0.39856937894911343,96
binary+conshuffle+wshuffle,chunk_1,5,GR,0.6478797590915912,96
binary+conshuffle+wshuffle,chunk_1,5,IPC,0.28623155083910634,96
binary+conshuffle+wshuffle,chunk_1,5,KR,0.43634588988197526,96
binary+conshuffle+wshuffle,chunk_1,5,MC,0.33448729368060603,96
binary+conshuffle+wshuffle,chunk_10,30,GR,0.6107314613675324,96
binary+conshuffle+wshuffle,chunk_10,30,IPC,0.2912808320530283,96
binary+conshuffle+wshuffle,chunk_10,30,KR,0.39763461472359635,96
binary+conshuffle+wshuffle,chunk_10,30,MC,0.3710213775098536,96
binary+conshuffle+wshuffle,chunk_10,31,GR,0.6264067861591905,96
binary+conshuffle+wshuffle,chunk_10,31,IPC,0.276435520371119,96
binary+conshuffle+wshuffle,chunk_10,31,KR,0.400695090384627,96
binary+conshuffle+wshuffle,chunk_10,31,MC,0.34490795339229197,96
binary+conshuffle+wshuffle,chunk_11,32,GR,0.6158023549204714,96
binary+conshuffle+wshuffle,chunk_11,32,IPC,0.27341001093129874,96
binary+conshuffle+wshuffle,chunk_11,32,KR,0.4087221677661341,96
binary+conshuffle+wshuffle,chunk_11,32,MC,0.3468098356953648,96
binary+conshuffle+wshuffle,chunk_11,33,GR,0.6245662215710767,96
binary+conshuffle+wshuffle,chunk_11,33,IPC,0.2836433834116613,96
binary+conshuffle+wshuffle,chunk_11,33,KR,0.4134764273330036,96
binary+conshuffle+wshuffle,chunk_11,33,MC,0.34368462101064545,96
binary+conshuffle+wshuffle,chunk_12,34,GR,0.6325131062395254,96
binary+conshuffle+wshuffle,chunk_12,34,IPC,0.3014995114544078,96
binary+conshuffle+wshuffle,chunk_12,34,KR,0.41987927457269925,96
