mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,scale_factor
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,0.1,0.0,4.0253214836120605,4.948317695692424,1.612230896949768,1.659708857536316,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,0.1,0.1,3.987154006958008,6.015309864142139,1.6691510677337646,1.7682979106903076,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,0.5,0.0,3.9498472213745117,6.706909616811487,1.8768762350082397,2.41352915763855,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,0.5,0.1,3.158069133758545,8.019189551649333,2.0945322513580322,2.892918586730957,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,1.0,0.0,3.012674331665039,5.035182556436361,2.15006160736084,3.3414320945739746,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,1.0,0.1,2.3156137466430664,6.279648331339899,2.474198341369629,4.17933988571167,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,1.5,0.0,2.151776075363159,3.9125245526274632,2.305262804031372,4.006289482116699,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.6,1.5,0.1,2.6037392616271973,5.600773797009765,2.6762266159057617,5.076416015625,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,0.1,0.0,4.567219257354736,5.798874819013832,1.7056760787963867,1.759650468826294,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,0.1,0.1,4.527514934539795,6.947096992564411,1.7686322927474976,1.8792521953582764,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,0.5,0.0,4.427264213562012,8.075635855792175,2.012787342071533,2.638080358505249,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,0.5,0.1,3.764610528945923,9.37601963963067,2.2555246353149414,3.1760923862457275,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,1.0,0.0,3.447369337081909,6.556825813037449,2.330037832260132,3.741180658340454,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,1.0,0.1,2.9600424766540527,6.565752011931622,2.6927738189697266,4.692028045654297,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,1.5,0.0,2.1456832885742188,5.083071513607948,2.50726056098938,4.532297134399414,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,0.8,1.5,0.1,2.8640196323394775,6.8626984026990385,2.922220230102539,5.748667240142822,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,1.0,0.1,0.0,5.193626403808594,6.726544151826246,1.8414827585220337,1.9042929410934448,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
sign_test_er0.0__norm_spectral_radius,spectral_radius,70,0.6,1.0,0.1,0.1,5.169780731201172,8.394470257356005,1.913131833076477,2.0391759872436523,0.002036306308582425,0.04273028299212456,0.0,7012346,matched_er_4to1_chunk_14,12.038711547851562,6.8229875564575195,0.6000003814697266,0.04983922055239179
