config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.17606725096702577,0.17606725096702577,0.0,0,0,nan,0,0,0,0
washout_x0.25,0.14888219237327577,0.17606725096702577,-0.027185058593750006,0,0,nan,0,0,0,0
t_train_x0.25,0.16513732075691223,0.17606725096702577,-0.010929930210113542,0,0,nan,0,0,0,0
t_test_x0.25,0.178147691488266,0.17606725096702577,0.0020804405212402344,0,0,nan,0,0,0,0
washout_x0.75,0.15865610241889955,0.17606725096702577,-0.017411148548126226,0,0,nan,0,0,0,0
t_train_x0.75,0.1508550524711609,0.17606725096702577,-0.025212198495864868,0,0,nan,0,0,0,0
t_test_x0.75,0.14442384243011475,0.17606725096702577,-0.03164340853691103,0,0,nan,0,0,0,0
washout_x1.25,0.16352006793022156,0.17606725096702577,-0.012547183036804216,0,0,nan,0,0,0,0
t_train_x1.25,0.17668516039848328,0.17606725096702577,0.0006179094314575084,0,0,nan,0,0,0,0
t_test_x1.25,0.14274486303329467,0.17606725096702577,-0.0333223879337311,0,0,nan,0,0,0,0
