config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,real,0,0.8,0.8,0.5,500,1500,500,4.784322738647461,100.0
baseline,shuffle_weights,0,0.8,0.8,0.5,500,1500,500,3.886749744415283,100.0
baseline,cel_randN,0,0.8,0.8,0.5,500,1500,500,6.132991790771484,100.0
baseline,er_randN,0,0.8,0.8,0.5,500,1500,500,11.748000144958496,100.0
baseline,ws_p01_randN,0,0.8,0.8,0.5,500,1500,500,11.475228309631348,100.0
baseline,conn_shuf,0,0.8,0.8,0.5,500,1500,500,5.18354606628418,100.0
baseline,local_sign,0,0.8,0.8,0.5,500,1500,500,5.097927093505859,100.0
baseline,conn_shuf_only,0,0.8,0.8,0.5,500,1500,500,5.60459566116333,100.0
baseline,cel_sample,0,0.8,0.8,0.5,500,1500,500,4.928408145904541,100.0
baseline,local_sign+flat,0,0.8,0.8,0.5,500,1500,500,4.00319242477417,100.0
baseline,local_sign+sample,0,0.8,0.8,0.5,500,1500,500,4.284725189208984,100.0
baseline,local_sign+binary,0,0.8,0.8,0.5,500,1500,500,4.412939071655273,100.0
baseline,global_sign_pres,0,0.8,0.8,0.5,500,1500,500,4.5449299812316895,100.0
baseline,binary+shuffle,0,0.8,0.8,0.5,500,1500,500,3.4236154556274414,100.0
baseline,real,0,0.8,0.8,1.0,500,1500,500,3.0964553356170654,100.0
baseline,shuffle_weights,0,0.8,0.8,1.0,500,1500,500,2.8552439212799072,100.0
baseline,cel_randN,0,0.8,0.8,1.0,500,1500,500,2.999715805053711,100.0
baseline,er_randN,0,0.8,0.8,1.0,500,1500,500,8.435770034790039,100.0
baseline,ws_p01_randN,0,0.8,0.8,1.0,500,1500,500,8.170339584350586,100.0
baseline,conn_shuf,0,0.8,0.8,1.0,500,1500,500,2.9125938415527344,100.0
baseline,local_sign,0,0.8,0.8,1.0,500,1500,500,3.2735719680786133,100.0
baseline,conn_shuf_only,0,0.8,0.8,1.0,500,1500,500,2.87398099899292,100.0
baseline,cel_sample,0,0.8,0.8,1.0,500,1500,500,2.4265904426574707,100.0
baseline,local_sign+flat,0,0.8,0.8,1.0,500,1500,500,3.709394931793213,100.0
baseline,local_sign+sample,0,0.8,0.8,1.0,500,1500,500,2.610971212387085,100.0
baseline,local_sign+binary,0,0.8,0.8,1.0,500,1500,500,2.9095587730407715,100.0
baseline,global_sign_pres,0,0.8,0.8,1.0,500,1500,500,2.2550487518310547,100.0
baseline,binary+shuffle,0,0.8,0.8,1.0,500,1500,500,3.106523036956787,100.0
baseline,real,0,0.8,1.0,0.5,500,1500,500,5.478349685668945,100.0
baseline,shuffle_weights,0,0.8,1.0,0.5,500,1500,500,5.957435607910156,100.0
baseline,cel_randN,0,0.8,1.0,0.5,500,1500,500,7.002353668212891,100.0
baseline,er_randN,0,0.8,1.0,0.5,500,1500,500,14.899709701538086,100.0
baseline,ws_p01_randN,0,0.8,1.0,0.5,500,1500,500,14.123805046081543,100.0
baseline,conn_shuf,0,0.8,1.0,0.5,500,1500,500,5.143701553344727,100.0
baseline,local_sign,0,0.8,1.0,0.5,500,1500,500,5.104989051818848,100.0
baseline,conn_shuf_only,0,0.8,1.0,0.5,500,1500,500,5.949152946472168,100.0
baseline,cel_sample,0,0.8,1.0,0.5,500,1500,500,4.282936096191406,100.0
baseline,local_sign+flat,0,0.8,1.0,0.5,500,1500,500,6.002298355102539,100.0
baseline,local_sign+sample,0,0.8,1.0,0.5,500,1500,500,4.8324737548828125,100.0
baseline,local_sign+binary,0,0.8,1.0,0.5,500,1500,500,4.457492828369141,100.0
baseline,global_sign_pres,0,0.8,1.0,0.5,500,1500,500,5.118328094482422,100.0
baseline,binary+shuffle,0,0.8,1.0,0.5,500,1500,500,4.152702808380127,100.0
baseline,real,0,0.8,1.0,1.0,500,1500,500,4.193183898925781,100.0
baseline,shuffle_weights,0,0.8,1.0,1.0,500,1500,500,5.341111183166504,100.0
baseline,cel_randN,0,0.8,1.0,1.0,500,1500,500,4.226300239562988,100.0
baseline,er_randN,0,0.8,1.0,1.0,500,1500,500,9.73901653289795,100.0
baseline,ws_p01_randN,0,0.8,1.0,1.0,500,1500,500,9.686906814575195,100.0
baseline,conn_shuf,0,0.8,1.0,1.0,500,1500,500,4.7483415603637695,100.0
baseline,local_sign,0,0.8,1.0,1.0,500,1500,500,3.9280481338500977,100.0
baseline,conn_shuf_only,0,0.8,1.0,1.0,500,1500,500,3.908769130706787,100.0
baseline,cel_sample,0,0.8,1.0,1.0,500,1500,500,4.847760200500488,100.0
baseline,local_sign+flat,0,0.8,1.0,1.0,500,1500,500,4.415953159332275,100.0
baseline,local_sign+sample,0,0.8,1.0,1.0,500,1500,500,4.314384460449219,100.0
baseline,local_sign+binary,0,0.8,1.0,1.0,500,1500,500,2.9158637523651123,100.0
baseline,global_sign_pres,0,0.8,1.0,1.0,500,1500,500,3.9060654640197754,100.0
baseline,binary+shuffle,0,0.8,1.0,1.0,500,1500,500,3.413008451461792,100.0
baseline,real,0,0.95,0.8,0.5,500,1500,500,3.8375227451324463,100.0
baseline,shuffle_weights,0,0.95,0.8,0.5,500,1500,500,4.314273834228516,100.0
baseline,cel_randN,0,0.95,0.8,0.5,500,1500,500,8.438543319702148,100.0
baseline,er_randN,0,0.95,0.8,0.5,500,1500,500,11.940719604492188,100.0
baseline,ws_p01_randN,0,0.95,0.8,0.5,500,1500,500,11.980224609375,100.0
baseline,conn_shuf,0,0.95,0.8,0.5,500,1500,500,5.335515022277832,100.0
baseline,local_sign,0,0.95,0.8,0.5,500,1500,500,4.645905494689941,100.0
baseline,conn_shuf_only,0,0.95,0.8,0.5,500,1500,500,4.786161422729492,100.0
baseline,cel_sample,0,0.95,0.8,0.5,500,1500,500,5.926571846008301,100.0
baseline,local_sign+flat,0,0.95,0.8,0.5,500,1500,500,4.425366401672363,100.0
baseline,local_sign+sample,0,0.95,0.8,0.5,500,1500,500,5.157066822052002,100.0
baseline,local_sign+binary,0,0.95,0.8,0.5,500,1500,500,3.3048596382141113,100.0
baseline,global_sign_pres,0,0.95,0.8,0.5,500,1500,500,5.044373989105225,100.0
baseline,binary+shuffle,0,0.95,0.8,0.5,500,1500,500,4.043725490570068,100.0
baseline,real,0,0.95,0.8,1.0,500,1500,500,3.944535732269287,100.0
baseline,shuffle_weights,0,0.95,0.8,1.0,500,1500,500,2.281769275665283,100.0
baseline,cel_randN,0,0.95,0.8,1.0,500,1500,500,4.842144012451172,100.0
baseline,er_randN,0,0.95,0.8,1.0,500,1500,500,8.481943130493164,100.0
baseline,ws_p01_randN,0,0.95,0.8,1.0,500,1500,500,8.623466491699219,100.0
baseline,conn_shuf,0,0.95,0.8,1.0,500,1500,500,4.5556111335754395,100.0
baseline,local_sign,0,0.95,0.8,1.0,500,1500,500,3.4400150775909424,100.0
baseline,conn_shuf_only,0,0.95,0.8,1.0,500,1500,500,3.5509297847747803,100.0
baseline,cel_sample,0,0.95,0.8,1.0,500,1500,500,3.757662773132324,100.0
baseline,local_sign+flat,0,0.95,0.8,1.0,500,1500,500,3.1202521324157715,100.0
baseline,local_sign+sample,0,0.95,0.8,1.0,500,1500,500,3.2545008659362793,100.0
baseline,local_sign+binary,0,0.95,0.8,1.0,500,1500,500,3.1031243801116943,100.0
baseline,global_sign_pres,0,0.95,0.8,1.0,500,1500,500,3.49176025390625,100.0
baseline,binary+shuffle,0,0.95,0.8,1.0,500,1500,500,2.736088514328003,100.0
baseline,real,0,0.95,1.0,0.5,500,1500,500,5.8871588706970215,100.0
baseline,shuffle_weights,0,0.95,1.0,0.5,500,1500,500,6.959377765655518,100.0
baseline,cel_randN,0,0.95,1.0,0.5,500,1500,500,11.952705383300781,100.0
baseline,er_randN,0,0.95,1.0,0.5,500,1500,500,15.710733413696289,100.0
baseline,ws_p01_randN,0,0.95,1.0,0.5,500,1500,500,15.346921920776367,100.0
baseline,conn_shuf,0,0.95,1.0,0.5,500,1500,500,6.251497268676758,100.0
baseline,local_sign,0,0.95,1.0,0.5,500,1500,500,3.998420000076294,100.0
baseline,conn_shuf_only,0,0.95,1.0,0.5,500,1500,500,6.011641979217529,100.0
baseline,cel_sample,0,0.95,1.0,0.5,500,1500,500,6.979432106018066,100.0
baseline,local_sign+flat,0,0.95,1.0,0.5,500,1500,500,3.60355544090271,100.0
baseline,local_sign+sample,0,0.95,1.0,0.5,500,1500,500,4.819307804107666,100.0
baseline,local_sign+binary,0,0.95,1.0,0.5,500,1500,500,5.179168701171875,100.0
baseline,global_sign_pres,0,0.95,1.0,0.5,500,1500,500,4.847242832183838,100.0
baseline,binary+shuffle,0,0.95,1.0,0.5,500,1500,500,3.7459592819213867,100.0
baseline,real,0,0.95,1.0,1.0,500,1500,500,4.301238059997559,100.0
baseline,shuffle_weights,0,0.95,1.0,1.0,500,1500,500,3.6838369369506836,100.0
baseline,cel_randN,0,0.95,1.0,1.0,500,1500,500,8.002763748168945,100.0
baseline,er_randN,0,0.95,1.0,1.0,500,1500,500,10.658418655395508,100.0
baseline,ws_p01_randN,0,0.95,1.0,1.0,500,1500,500,10.16558837890625,100.0
baseline,conn_shuf,0,0.95,1.0,1.0,500,1500,500,4.602835655212402,100.0
baseline,local_sign,0,0.95,1.0,1.0,500,1500,500,2.8419060707092285,100.0
baseline,conn_shuf_only,0,0.95,1.0,1.0,500,1500,500,3.7800536155700684,100.0
baseline,cel_sample,0,0.95,1.0,1.0,500,1500,500,4.108778953552246,100.0
baseline,local_sign+flat,0,0.95,1.0,1.0,500,1500,500,2.9754700660705566,100.0
baseline,local_sign+sample,0,0.95,1.0,1.0,500,1500,500,4.447805881500244,100.0
baseline,local_sign+binary,0,0.95,1.0,1.0,500,1500,500,3.484157085418701,100.0
baseline,global_sign_pres,0,0.95,1.0,1.0,500,1500,500,4.337768077850342,100.0
baseline,binary+shuffle,0,0.95,1.0,1.0,500,1500,500,4.230010509490967,100.0
washout_x0.25,real,0,0.8,0.8,0.5,125,1500,500,4.1559624671936035,86.86626497042094
washout_x0.25,shuffle_weights,0,0.8,0.8,0.5,125,1500,500,3.177194833755493,81.74426044076233
washout_x0.25,cel_randN,0,0.8,0.8,0.5,125,1500,500,7.682126998901367,125.25904584547003
washout_x0.25,er_randN,0,0.8,0.8,0.5,125,1500,500,11.99746036529541,102.12342711320076
