config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.2028876543045044,0.2028876543045044,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.1996735215187073,0.2028876543045044,-0.0032141327857971025,91,91,100.0,0,0,0,0
t_train_x0.25,0.20355403423309326,0.2028876543045044,0.0006663799285888672,91,91,100.0,0,0,0,0
t_test_x0.25,0.20216447114944458,0.2028876543045044,-0.0007231831550598145,91,91,100.0,0,0,0,0
washout_x0.75,0.20166289806365967,0.2028876543045044,-0.0012247562408447266,91,91,100.0,0,0,0,0
t_train_x0.75,0.2066368103027344,0.2028876543045044,0.0037491559982300027,91,91,100.0,0,0,0,0
t_test_x0.75,0.203642213344574,0.2028876543045044,0.0007545590400696023,91,91,100.0,0,0,0,0
washout_x1.25,0.20395026206970215,0.2028876543045044,0.0010626077651977595,91,91,100.0,0,0,0,0
t_train_x1.25,0.2027236819267273,0.2028876543045044,-0.0001639723777770996,91,91,100.0,0,0,0,0
t_test_x1.25,0.19901254773139954,0.2028876543045044,-0.0038751065731048584,91,91,100.0,0,0,0,0
