config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,real,8,0.6,0.6,0.1,500,1500,500,4.383517265319824,100.0
baseline,shuffle_weights,8,0.6,0.6,0.1,500,1500,500,4.28109884262085,100.0
baseline,cel_randN,8,0.6,0.6,0.1,500,1500,500,7.496694564819336,100.0
baseline,er_randN,8,0.6,0.6,0.1,500,1500,500,7.954901695251465,100.0
baseline,ws_p01_randN,8,0.6,0.6,0.1,500,1500,500,9.39663314819336,100.0
baseline,conn_shuf,8,0.6,0.6,0.1,500,1500,500,3.994940757751465,100.0
baseline,local_sign,8,0.6,0.6,0.1,500,1500,500,4.783729076385498,100.0
baseline,conn_shuf_only,8,0.6,0.6,0.1,500,1500,500,5.062509059906006,100.0
baseline,cel_sample,8,0.6,0.6,0.1,500,1500,500,5.153736114501953,100.0
baseline,local_sign+flat,8,0.6,0.6,0.1,500,1500,500,4.195969581604004,100.0
baseline,local_sign+sample,8,0.6,0.6,0.1,500,1500,500,4.89263391494751,100.0
baseline,local_sign+binary,8,0.6,0.6,0.1,500,1500,500,4.24936580657959,100.0
baseline,global_sign_pres,8,0.6,0.6,0.1,500,1500,500,4.808957576751709,100.0
baseline,binary+shuffle,8,0.6,0.6,0.1,500,1500,500,4.428109169006348,100.0
baseline,real,8,0.6,0.6,0.5,500,1500,500,3.5744614601135254,100.0
baseline,shuffle_weights,8,0.6,0.6,0.5,500,1500,500,3.7069311141967773,100.0
baseline,cel_randN,8,0.6,0.6,0.5,500,1500,500,5.199502944946289,100.0
baseline,er_randN,8,0.6,0.6,0.5,500,1500,500,4.759355545043945,100.0
baseline,ws_p01_randN,8,0.6,0.6,0.5,500,1500,500,6.494472503662109,100.0
baseline,conn_shuf,8,0.6,0.6,0.5,500,1500,500,3.221344470977783,100.0
baseline,local_sign,8,0.6,0.6,0.5,500,1500,500,4.396679878234863,100.0
baseline,conn_shuf_only,8,0.6,0.6,0.5,500,1500,500,3.9725213050842285,100.0
baseline,cel_sample,8,0.6,0.6,0.5,500,1500,500,4.385636329650879,100.0
baseline,local_sign+flat,8,0.6,0.6,0.5,500,1500,500,3.672644853591919,100.0
baseline,local_sign+sample,8,0.6,0.6,0.5,500,1500,500,3.567126750946045,100.0
baseline,local_sign+binary,8,0.6,0.6,0.5,500,1500,500,3.069941520690918,100.0
baseline,global_sign_pres,8,0.6,0.6,0.5,500,1500,500,3.684694766998291,100.0
baseline,binary+shuffle,8,0.6,0.6,0.5,500,1500,500,3.990572452545166,100.0
