config,model_a,model_b,tost_bound,tost_pval,tost_significant,n_model_a,n_model_b
baseline,real,shuffle_weights,0.20367014408111572,0.8826296626480985,0.0,48,48
baseline,real,cel_randN,0.20367014408111572,0.9999999680290323,0.0,48,48
baseline,real,er_randN,0.20367014408111572,0.9999999999653428,0.0,48,48
baseline,real,ws_p01_randN,0.20367014408111572,0.999999999922335,0.0,48,48
baseline,real,conn_shuf,0.20367014408111572,0.8395024301849769,0.0,48,48
baseline,real,local_sign,0.20367014408111572,0.43453864465038106,0.0,48,48
baseline,real,conn_shuf_only,0.20367014408111572,0.4852578438053598,0.0,48,48
baseline,real,cel_sample,0.20367014408111572,0.8481343617638205,0.0,48,48
baseline,real,local_sign+flat,0.20367014408111572,0.3028718078575478,0.0,48,48
baseline,real,local_sign+sample,0.20367014408111572,0.758598697585807,0.0,48,48
baseline,real,local_sign+binary,0.20367014408111572,0.3612448542027623,0.0,48,48
baseline,real,global_sign_pres,0.20367014408111572,0.4567520743117809,0.0,48,48
baseline,real,binary+shuffle,0.20367014408111572,0.4026142211894529,0.0,48,48
baseline,shuffle_weights,cel_randN,0.20367014408111572,0.9999987663201615,0.0,48,48
baseline,shuffle_weights,er_randN,0.20367014408111572,0.9999999986312266,0.0,48,48
baseline,shuffle_weights,ws_p01_randN,0.20367014408111572,0.9999999972884047,0.0,48,48
baseline,shuffle_weights,conn_shuf,0.20367014408111572,0.353029614212623,0.0,48,48
baseline,shuffle_weights,local_sign,0.20367014408111572,0.7824713568212238,0.0,48,48
baseline,shuffle_weights,conn_shuf_only,0.20367014408111572,0.7369910769832089,0.0,48,48
baseline,shuffle_weights,cel_sample,0.20367014408111572,0.3427015811909594,0.0,48,48
baseline,shuffle_weights,local_sign+flat,0.20367014408111572,0.8687932153036914,0.0,48,48
baseline,shuffle_weights,local_sign+sample,0.20367014408111572,0.4747690531377479,0.0,48,48
baseline,shuffle_weights,local_sign+binary,0.20367014408111572,0.8428187024079785,0.0,48,48
baseline,shuffle_weights,global_sign_pres,0.20367014408111572,0.963479430398767,0.0,48,48
baseline,shuffle_weights,binary+shuffle,0.20367014408111572,0.8180506132017511,0.0,48,48
baseline,cel_randN,er_randN,0.20367014408111572,0.9174612582450232,0.0,48,48
baseline,cel_randN,ws_p01_randN,0.20367014408111572,0.914656686666407,0.0,48,48
baseline,cel_randN,conn_shuf,0.20367014408111572,0.9999988462183448,0.0,48,48
baseline,cel_randN,local_sign,0.20367014408111572,0.9999999273089866,0.0,48,48
baseline,cel_randN,conn_shuf_only,0.20367014408111572,0.9999998847994543,0.0,48,48
baseline,cel_randN,cel_sample,0.20367014408111572,0.999998845267344,0.0,48,48
baseline,cel_randN,local_sign+flat,0.20367014408111572,0.9999999654400039,0.0,48,48
baseline,cel_randN,local_sign+sample,0.20367014408111572,0.9999995384129847,0.0,48,48
baseline,cel_randN,local_sign+binary,0.20367014408111572,0.99999996339214,0.0,48,48
baseline,cel_randN,global_sign_pres,0.20367014408111572,0.9999999920150576,0.0,48,48
baseline,cel_randN,binary+shuffle,0.20367014408111572,0.9999999563603954,0.0,48,48
baseline,er_randN,ws_p01_randN,0.20367014408111572,0.43386773395425066,0.0,48,48
baseline,er_randN,conn_shuf,0.20367014408111572,0.9999999986701641,0.0,48,48
baseline,er_randN,local_sign,0.20367014408111572,0.9999999999225182,0.0,48,48
baseline,er_randN,conn_shuf_only,0.20367014408111572,0.9999999998739076,0.0,48,48
baseline,er_randN,cel_sample,0.20367014408111572,0.999999998681088,0.0,48,48
baseline,er_randN,local_sign+flat,0.20367014408111572,0.9999999999631108,0.0,48,48
baseline,er_randN,local_sign+sample,0.20367014408111572,0.9999999994981982,0.0,48,48
baseline,er_randN,local_sign+binary,0.20367014408111572,0.9999999999624052,0.0,48,48
baseline,er_randN,global_sign_pres,0.20367014408111572,0.9999999999913947,0.0,48,48
baseline,er_randN,binary+shuffle,0.20367014408111572,0.9999999999554748,0.0,48,48
baseline,ws_p01_randN,conn_shuf,0.20367014408111572,0.9999999973915213,0.0,48,48
baseline,ws_p01_randN,local_sign,0.20367014408111572,0.9999999998304571,0.0,48,48
baseline,ws_p01_randN,conn_shuf_only,0.20367014408111572,0.9999999997310979,0.0,48,48
baseline,ws_p01_randN,cel_sample,0.20367014408111572,0.9999999974058714,0.0,48,48
baseline,ws_p01_randN,local_sign+flat,0.20367014408111572,0.999999999917061,0.0,48,48
baseline,ws_p01_randN,local_sign+sample,0.20367014408111572,0.999999998972347,0.0,48,48
baseline,ws_p01_randN,local_sign+binary,0.20367014408111572,0.9999999999143125,0.0,48,48
baseline,ws_p01_randN,global_sign_pres,0.20367014408111572,0.9999999999794975,0.0,48,48
baseline,ws_p01_randN,binary+shuffle,0.20367014408111572,0.9999999998989505,0.0,48,48
baseline,conn_shuf,local_sign,0.20367014408111572,0.7267645481049352,0.0,48,48
baseline,conn_shuf,conn_shuf_only,0.20367014408111572,0.6812147813168998,0.0,48,48
baseline,conn_shuf,cel_sample,0.20367014408111572,0.31808634611083203,0.0,48,48
baseline,conn_shuf,local_sign+flat,0.20367014408111572,0.8220809913984217,0.0,48,48
baseline,conn_shuf,local_sign+sample,0.20367014408111572,0.42197508256371663,0.0,48,48
baseline,conn_shuf,local_sign+binary,0.20367014408111572,0.7883449163539444,0.0,48,48
baseline,conn_shuf,global_sign_pres,0.20367014408111572,0.939031471815344,0.0,48,48
baseline,conn_shuf,binary+shuffle,0.20367014408111572,0.7601727987180372,0.0,48,48
baseline,local_sign,conn_shuf_only,0.20367014408111572,0.32620353422803616,0.0,48,48
baseline,local_sign,cel_sample,0.20367014408111572,0.7372919629077335,0.0,48,48
baseline,local_sign,local_sign+flat,0.20367014408111572,0.39488940375863185,0.0,48,48
baseline,local_sign,local_sign+sample,0.20367014408111572,0.6129963071773381,0.0,48,48
baseline,local_sign,local_sign+binary,0.20367014408111572,0.31513612769822724,0.0,48,48
baseline,local_sign,global_sign_pres,0.20367014408111572,0.6442307273207888,0.0,48,48
baseline,local_sign,binary+shuffle,0.20367014408111572,0.2767011837273998,0.0,48,48
baseline,conn_shuf_only,cel_sample,0.20367014408111572,0.6915500302570174,0.0,48,48
baseline,conn_shuf_only,local_sign+flat,0.20367014408111572,0.4479504420997704,0.0,48,48
baseline,conn_shuf_only,local_sign+sample,0.20367014408111572,0.5634892733964587,0.0,48,48
baseline,conn_shuf_only,local_sign+binary,0.20367014408111572,0.3728861884971201,0.0,48,48
baseline,conn_shuf_only,global_sign_pres,0.20367014408111572,0.6839686168360207,0.0,48,48
baseline,conn_shuf_only,binary+shuffle,0.20367014408111572,0.334086829307873,0.0,48,48
baseline,cel_sample,local_sign+flat,0.20367014408111572,0.8313477218596796,0.0,48,48
baseline,cel_sample,local_sign+sample,0.20367014408111572,0.43082964141866464,0.0,48,48
baseline,cel_sample,local_sign+binary,0.20367014408111572,0.7989828509632347,0.0,48,48
baseline,cel_sample,global_sign_pres,0.20367014408111572,0.9444171949601763,0.0,48,48
baseline,cel_sample,binary+shuffle,0.20367014408111572,0.7713091969712147,0.0,48,48
baseline,local_sign+flat,local_sign+sample,0.20367014408111572,0.7334145473788798,0.0,48,48
baseline,local_sign+flat,local_sign+binary,0.20367014408111572,0.3182612715571648,0.0,48,48
baseline,local_sign+flat,global_sign_pres,0.20367014408111572,0.4987455071258575,0.0,48,48
baseline,local_sign+flat,binary+shuffle,0.20367014408111572,0.35882159501549094,0.0,48,48
baseline,local_sign+sample,local_sign+binary,0.20367014408111572,0.6830350099216662,0.0,48,48
baseline,local_sign+sample,global_sign_pres,0.20367014408111572,0.8997086922017714,0.0,48,48
baseline,local_sign+sample,binary+shuffle,0.20367014408111572,0.6458860830003872,0.0,48,48
baseline,local_sign+binary,global_sign_pres,0.20367014408111572,0.5861252003237554,0.0,48,48
baseline,local_sign+binary,binary+shuffle,0.20367014408111572,0.269976218029651,0.0,48,48
baseline,global_sign_pres,binary+shuffle,0.20367014408111572,0.6338493046010731,0.0,48,48
washout_x0.25,real,shuffle_weights,0.20622153282165528,0.8614142963092903,0.0,48,48
washout_x0.25,real,cel_randN,0.20622153282165528,0.9999999827425203,0.0,48,48
washout_x0.25,real,er_randN,0.20622153282165528,0.9999999999623561,0.0,48,48
washout_x0.25,real,ws_p01_randN,0.20622153282165528,0.9999999999635641,0.0,48,48
washout_x0.25,real,conn_shuf,0.20622153282165528,0.8972383361269933,0.0,48,48
washout_x0.25,real,local_sign,0.20622153282165528,0.6528913329100645,0.0,48,48
washout_x0.25,real,conn_shuf_only,0.20622153282165528,0.6446299645664268,0.0,48,48
washout_x0.25,real,cel_sample,0.20622153282165528,0.8274361039079987,0.0,48,48
washout_x0.25,real,local_sign+flat,0.20622153282165528,0.3684475511696764,0.0,48,48
washout_x0.25,real,local_sign+sample,0.20622153282165528,0.8589860869901722,0.0,48,48
washout_x0.25,real,local_sign+binary,0.20622153282165528,0.4665252973517903,0.0,48,48
washout_x0.25,real,global_sign_pres,0.20622153282165528,0.28870484859032164,0.0,48,48
washout_x0.25,real,binary+shuffle,0.20622153282165528,0.3134081886202899,0.0,48,48
washout_x0.25,shuffle_weights,cel_randN,0.20622153282165528,0.9999994782511222,0.0,48,48
washout_x0.25,shuffle_weights,er_randN,0.20622153282165528,0.9999999990108619,0.0,48,48
washout_x0.25,shuffle_weights,ws_p01_randN,0.20622153282165528,0.999999999126263,0.0,48,48
washout_x0.25,shuffle_weights,conn_shuf,0.20622153282165528,0.35603595633933033,0.0,48,48
washout_x0.25,shuffle_weights,local_sign,0.20622153282165528,0.5780376864570509,0.0,48,48
washout_x0.25,shuffle_weights,conn_shuf_only,0.20622153282165528,0.57378224586609,0.0,48,48
washout_x0.25,shuffle_weights,cel_sample,0.20622153282165528,0.34149879986027365,0.0,48,48
washout_x0.25,shuffle_weights,local_sign+flat,0.20622153282165528,0.8306406277310268,0.0,48,48
washout_x0.25,shuffle_weights,local_sign+sample,0.20622153282165528,0.3052784177924681,0.0,48,48
washout_x0.25,shuffle_weights,local_sign+binary,0.20622153282165528,0.7636155998572052,0.0,48,48
washout_x0.25,shuffle_weights,global_sign_pres,0.20622153282165528,0.882706879675253,0.0,48,48
washout_x0.25,shuffle_weights,binary+shuffle,0.20622153282165528,0.8698550117762383,0.0,48,48
washout_x0.25,cel_randN,er_randN,0.20622153282165528,0.9188123798906922,0.0,48,48
washout_x0.25,cel_randN,ws_p01_randN,0.20622153282165528,0.9386261357735701,0.0,48,48
washout_x0.25,cel_randN,conn_shuf,0.20622153282165528,0.9999992851521282,0.0,48,48
washout_x0.25,cel_randN,local_sign,0.20622153282165528,0.9999999173779826,0.0,48,48
washout_x0.25,cel_randN,conn_shuf_only,0.20622153282165528,0.9999998866586568,0.0,48,48
washout_x0.25,cel_randN,cel_sample,0.20622153282165528,0.9999995346577895,0.0,48,48
washout_x0.25,cel_randN,local_sign+flat,0.20622153282165528,0.9999999851914344,0.0,48,48
washout_x0.25,cel_randN,local_sign+sample,0.20622153282165528,0.9999996016940252,0.0,48,48
washout_x0.25,cel_randN,local_sign+binary,0.20622153282165528,0.9999999780033177,0.0,48,48
washout_x0.25,cel_randN,global_sign_pres,0.20622153282165528,0.9999999912032012,0.0,48,48
washout_x0.25,cel_randN,binary+shuffle,0.20622153282165528,0.9999999903946607,0.0,48,48
washout_x0.25,er_randN,ws_p01_randN,0.20622153282165528,0.4979832544930825,0.0,48,48
washout_x0.25,er_randN,conn_shuf,0.20622153282165528,0.9999999986599224,0.0,48,48
washout_x0.25,er_randN,local_sign,0.20622153282165528,0.9999999998389802,0.0,48,48
washout_x0.25,er_randN,conn_shuf_only,0.20622153282165528,0.999999999775256,0.0,48,48
washout_x0.25,er_randN,cel_sample,0.20622153282165528,0.9999999991011115,0.0,48,48
