mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
weight_test0.0,202,0.6,0.6,0.1,4.315138816833496,4.752298474311829,1.6902683973312378,1.7586919069290161,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,0.6,0.5,4.366702079772949,5.694474399089813,2.006681203842163,2.668776512145996,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,0.6,1.0,3.039069175720215,4.44636344909668,2.2709805965423584,3.6456265449523926,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,0.6,1.5,2.0579781532287598,2.8925031423568726,2.414564371109009,4.337213039398193,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,0.8,0.1,4.9038286209106445,5.510630786418915,1.801291584968567,1.877874732017517,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,0.8,0.5,3.383869171142578,5.830755829811096,2.169330358505249,2.9335215091705322,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,0.8,1.0,3.576441764831543,5.433687806129456,2.47863507270813,4.081326484680176,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,0.8,1.5,3.2124621868133545,5.314812481403351,2.6408019065856934,4.88137149810791,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,1.0,0.1,5.628326416015625,6.471527516841888,1.9770900011062622,2.0652406215667725,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,1.0,0.5,5.303341865539551,7.821004092693329,2.4182705879211426,3.3267314434051514,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,1.0,1.0,3.607194662094116,6.02347594499588,2.7885427474975586,4.712627410888672,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.6,1.0,1.5,3.8980154991149902,6.8812360763549805,2.971679449081421,5.654567718505859,0.0009280519443564117,0.5628097057342529,1.0068600244707313,20212346,chunk_16
weight_test0.0,202,0.8,0.6,0.1,5.1418867111206055,5.709213137626648,2.0760371685028076,2.1622860431671143,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,0.6,0.5,4.584794044494629,6.650722444057465,2.463599920272827,3.3293771743774414,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,0.6,1.0,3.53009295463562,5.587667286396027,2.7600913047790527,4.588256359100342,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,0.6,1.5,1.8528897762298584,3.6160939931869507,2.9077608585357666,5.469050884246826,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,0.8,0.1,5.850076198577881,6.60301285982132,2.241398811340332,2.3410892486572266,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,0.8,0.5,4.9327311515808105,7.739516317844391,2.7245328426361084,3.7708985805511475,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,0.8,1.0,3.7480220794677734,6.495580971240997,3.1004981994628906,5.336475849151611,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,0.8,1.5,2.0970730781555176,3.6528849005699158,3.276134490966797,6.403758525848389,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,1.0,0.1,6.869142532348633,7.855559408664703,2.529149055480957,2.650381088256836,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,1.0,0.5,5.593654632568359,7.772906959056854,3.151350498199463,4.472233295440674,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,1.0,1.0,2.682297706604004,4.52164763212204,3.634051561355591,6.478985786437988,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.8,1.0,1.5,2.93033766746521,4.440705418586731,3.8390302658081055,7.793300151824951,0.0012374025536701083,0.5628095865249634,1.0045855222147748,20212346,chunk_16
weight_test0.0,202,0.95,0.6,0.1,5.4016642570495605,6.031604051589966,2.611828088760376,2.73589825630188,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,0.6,0.5,4.988729476928711,7.6354047656059265,3.0041685104370117,4.122657775878906,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,0.6,1.0,3.641719102859497,5.787799894809723,3.2651526927948,5.581229209899902,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,0.6,1.5,2.179117202758789,2.121111273765564,3.386464834213257,6.5949554443359375,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,0.8,0.1,6.346786975860596,7.163310885429382,2.8280489444732666,2.967052698135376,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,0.8,0.5,4.81674861907959,7.429993808269501,3.3642687797546387,4.759490013122559,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,0.8,1.0,3.619778633117676,5.669831216335297,3.7448015213012695,6.6734299659729,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,0.8,1.5,3.3168840408325195,4.338333368301392,3.901744842529297,7.947998046875,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,1.0,0.1,7.655195236206055,8.716440081596375,3.2346537113189697,3.4074714183807373,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,1.0,0.5,5.224546432495117,6.879654049873352,3.9827115535736084,5.818662166595459,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,1.0,1.0,4.445749759674072,7.259518206119537,4.517611980438232,8.38863468170166,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,0.95,1.0,1.5,3.499058246612549,6.368178069591522,4.708410739898682,10.005847930908203,0.0014694154961034656,0.5628095865249634,1.00686007542683,20212346,chunk_16
weight_test0.0,202,1.05,0.6,0.1,5.551645278930664,6.275775194168091,2.7629265785217285,2.9883179664611816,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,0.6,0.5,3.9090421199798584,5.864456236362457,3.6200568675994873,5.103087902069092,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,0.6,1.0,3.0939435958862305,5.539365112781525,3.716629981994629,6.4876885414123535,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,0.6,1.5,1.7018626928329468,3.6439127922058105,3.7806694507598877,7.539017200469971,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,0.8,0.1,6.422070026397705,7.320218801498413,3.0444135665893555,3.3059287071228027,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,0.8,0.5,4.97949743270874,6.54057914018631,4.054520606994629,5.90351676940918,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,0.8,1.0,2.9745230674743652,4.660733997821808,4.310229301452637,7.877659797668457,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,0.8,1.5,3.4231646060943604,5.168377161026001,4.4180450439453125,9.248651504516602,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,1.0,0.1,7.614457607269287,8.75236302614212,3.5629026889801025,3.894904851913452,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,1.0,0.5,4.730190277099609,8.06984692811966,4.820038318634033,7.274084091186523,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,1.0,1.0,3.734534978866577,4.492392599582672,5.279524803161621,10.083913803100586,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test0.0,202,1.05,1.0,1.5,2.6551995277404785,5.275378525257111,5.425694942474365,11.864130020141602,0.0016240908298641443,0.5628097057342529,1.0068595847065598,20212346,chunk_16
weight_test1.0,202,0.6,0.6,0.1,4.304698944091797,4.746775507926941,1.711745023727417,1.780574917793274,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,0.6,0.5,3.953281879425049,5.011176764965057,2.032731771469116,2.7013204097747803,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,0.6,1.0,2.7884531021118164,4.080428242683411,2.301711320877075,3.6938564777374268,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,0.6,1.5,1.7778515815734863,2.374399185180664,2.4474048614501953,4.398793697357178,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,0.8,0.1,4.9015655517578125,5.518329858779907,1.8244014978408813,1.901303768157959,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,0.8,0.5,4.599597930908203,7.009005129337311,2.198383092880249,2.9707024097442627,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,0.8,1.0,3.0388128757476807,5.22983717918396,2.514523506164551,4.140961647033691,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,0.8,1.5,3.1590514183044434,4.206215441226959,2.6806371212005615,4.961397647857666,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,1.0,0.1,5.638906002044678,6.503070712089539,2.0034327507019043,2.0920655727386475,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,1.0,0.5,4.216922283172607,6.931768715381622,2.452503204345703,3.3729474544525146,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,1.0,1.0,3.9081366062164307,5.766704499721527,2.8324294090270996,4.790999412536621,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.6,1.0,1.5,2.8892083168029785,4.610196888446808,3.021672248840332,5.762351036071777,0.0009143047500401735,0.5454038381576538,0.35116110353229546,20212346,chunk_16
weight_test1.0,202,0.8,0.6,0.1,5.144405364990234,5.7143601179122925,2.115638494491577,2.202915906906128,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,0.6,0.5,4.415613651275635,6.4165438413619995,2.5132360458374023,3.395618200302124,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,0.6,1.0,3.4212818145751953,4.853031873703003,2.818164587020874,4.685054779052734,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,0.6,1.5,0.9702128171920776,1.3741117715835571,2.9675886631011963,5.58800745010376,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,0.8,0.1,5.874362468719482,6.641206502914429,2.282764196395874,2.3837099075317383,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,0.8,0.5,4.446264266967773,6.989483833312988,2.779123067855835,3.8471291065216064,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,0.8,1.0,2.497652530670166,4.162308692932129,3.167902946472168,5.456917762756348,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,0.8,1.5,2.649338960647583,4.950090527534485,3.3489911556243896,6.5596208572387695,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,1.0,0.1,6.925525188446045,7.942635238170624,2.5778846740722656,2.701148748397827,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,1.0,0.5,6.255936145782471,8.205179631710052,3.218247890472412,4.573148250579834,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,1.0,1.0,4.460424900054932,5.3144161105155945,3.717564344406128,6.644023895263672,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.8,1.0,1.5,2.8000645637512207,4.057594001293182,3.931384801864624,8.0100679397583,0.0012190730776637793,0.5454038381576538,0.35116111674174755,20212346,chunk_16
weight_test1.0,202,0.95,0.6,0.1,5.45836877822876,6.085178434848785,2.6708104610443115,2.798360824584961,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,0.6,0.5,5.113693714141846,7.710990905761719,3.0839571952819824,4.2401604652404785,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,0.6,1.0,2.4403064250946045,3.9424357414245605,3.3563215732574463,5.742945194244385,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,0.6,1.5,2.851780414581299,3.5416431427001953,3.4774138927459717,6.784162521362305,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,0.8,0.1,6.446345329284668,7.271348834037781,2.889723062515259,3.0334725379943848,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,0.8,0.5,4.511176109313965,6.92290735244751,3.4507665634155273,4.8948588371276855,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,0.8,1.0,3.667665481567383,5.554793059825897,3.8484549522399902,6.872803211212158,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,0.8,1.5,2.5230040550231934,2.533672571182251,4.01124382019043,8.194390296936035,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,1.0,0.1,7.749537467956543,8.8520188331604,3.312347412109375,3.49337100982666,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
weight_test1.0,202,0.95,1.0,0.5,5.968583106994629,8.693192422389984,4.09295129776001,6.0047430992126465,0.0014476493233814836,0.5454037189483643,0.3511611042853713,20212346,chunk_16
